,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,21.13,50.43,4.31,25.56,0.36,0.11,8.88,2.92,2.08,---,2.63,---,59.65,1.28,0.69,0.00,51.85,43.68,159.92,1.60,2.82,2.56,---,---,---,5.24,68.59,67.12,2023-03-07 00:00:00
1,1~2,17.69,48.63,4.01,25.25,0.38,0.12,8.53,2.47,2.06,---,2.60,---,59.66,1.24,0.78,0.00,28.96,29.48,143.74,1.62,2.79,2.79,---,---,---,5.09,68.25,66.85,2023-03-07 01:00:00
2,2~3,6.93,49.06,4.25,25.56,0.37,0.12,8.67,1.86,2.07,---,2.46,---,59.63,1.35,0.81,0.00,20.69,26.28,52.95,1.69,2.92,2.65,---,---,---,5.08,68.42,66.18,2023-03-07 02:00:00
3,3~4,5.75,48.57,4.07,25.50,0.36,0.12,9.71,1.68,2.10,---,2.47,---,58.87,1.23,0.73,0.00,20.54,20.90,20.96,1.72,2.72,2.76,---,---,---,5.37,68.28,66.03,2023-03-07 03:00:00
4,4~5,5.00,49.37,4.32,25.25,0.37,0.03,10.24,1.81,2.06,---,2.72,---,59.07,1.29,0.07,0.00,14.21,17.22,18.42,1.78,2.79,2.61,---,---,---,4.90,68.16,65.48,2023-03-07 04:00:00
5,5~6,4.75,49.59,4.09,25.32,0.38,0.02,11.12,1.72,2.04,---,2.66,---,59.62,1.26,0.11,0.00,13.92,18.35,35.65,1.78,2.85,2.72,---,---,---,5.16,67.98,65.87,2023-03-07 05:00:00
6,6~7,4.44,48.69,4.91,25.75,0.22,0.02,9.47,1.44,0.90,---,2.56,---,61.50,1.01,0.17,0.00,14.52,14.19,49.42,1.75,3.66,2.66,---,---,---,4.86,67.85,68.59,2023-03-07 06:00:00
7,7~8,5.50,49.81,5.14,27.81,0.10,0.02,13.27,1.46,0.56,---,2.59,---,60.97,0.95,0.17,0.00,16.39,18.24,82.69,1.81,3.69,2.75,---,---,---,5.50,68.57,68.97,2023-03-07 07:00:00
8,8~9,7.69,54.00,5.77,33.62,0.11,0.02,28.49,2.08,0.61,---,4.81,---,63.51,0.97,0.17,0.00,20.09,21.19,94.62,1.75,3.66,3.44,---,---,---,7.85,70.57,71.06,2023-03-07 08:00:00
9,9~10,6.62,65.16,6.35,36.13,0.10,0.01,32.24,2.07,0.57,---,6.44,---,66.55,1.23,0.69,0.00,22.06,20.34,35.48,2.03,3.66,4.03,---,---,---,14.31,74.47,74.00,2023-03-07 09:00:00
10,10~11,10.44,71.63,7.38,38.75,0.11,0.06,32.09,2.60,0.60,---,6.53,---,72.28,0.99,0.89,0.00,21.53,21.44,26.80,2.07,4.76,4.31,---,---,---,14.58,76.92,76.60,2023-03-07 10:00:00
11,11~12,8.81,74.37,10.42,39.87,0.11,0.06,34.40,3.11,0.57,---,5.98,---,81.12,0.97,0.80,0.00,24.00,25.57,33.63,2.12,4.01,4.16,---,---,---,13.57,77.02,81.37,2023-03-07 11:00:00
