,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,15.50,53.35,4.58,26.81,0.38,0.14,8.70,2.59,1.89,---,2.34,---,63.56,1.14,0.75,0.00,35.43,32.41,125.66,1.34,3.32,2.72,---,---,---,3.50,73.36,76.19,2023-03-19 00:00:00
1,1~2,12.19,53.03,4.79,26.32,0.37,0.12,8.59,2.41,1.92,---,2.22,---,61.38,1.08,0.73,0.00,31.18,30.78,82.75,1.32,3.23,2.41,---,---,---,3.36,73.44,75.50,2023-03-19 01:00:00
2,2~3,9.68,52.62,4.49,26.18,0.38,0.12,8.29,2.41,1.89,---,2.16,---,60.21,1.08,0.40,0.00,26.74,22.44,26.89,1.34,3.32,2.44,---,---,---,3.43,73.64,74.21,2023-03-19 02:00:00
3,3~4,12.63,52.69,4.94,25.69,0.38,0.13,9.73,2.36,1.91,---,2.19,---,60.09,0.98,0.14,0.00,21.93,25.85,22.26,1.34,3.26,2.65,---,---,---,3.13,73.59,75.22,2023-03-19 03:00:00
4,4~5,5.50,52.25,4.96,26.13,0.37,0.12,10.52,2.39,1.89,---,2.28,---,60.13,1.03,0.15,0.00,19.09,18.02,23.42,1.41,3.29,3.00,---,---,---,3.79,73.34,75.19,2023-03-19 04:00:00
5,5~6,5.50,52.81,5.01,26.12,0.38,0.13,10.75,2.33,1.89,---,2.44,---,61.04,0.98,0.19,0.00,18.66,16.57,50.38,1.50,3.29,2.81,---,---,---,3.22,73.56,75.25,2023-03-19 05:00:00
6,6~7,4.50,53.00,4.67,26.75,0.18,0.09,9.49,2.13,0.98,---,2.28,---,62.84,1.35,0.17,0.00,17.20,17.30,26.38,1.41,3.69,2.50,---,---,---,3.44,73.40,77.65,2023-03-19 06:00:00
7,7~8,6.69,53.57,4.72,26.94,0.11,0.08,14.93,2.06,0.69,---,2.34,---,62.97,1.11,0.15,0.00,22.16,15.17,19.36,1.40,3.61,2.73,---,---,---,3.11,73.31,76.14,2023-03-19 07:00:00
8,8~9,6.56,52.96,5.03,27.44,0.11,0.06,28.58,2.37,1.64,---,2.56,---,62.43,1.24,0.16,0.00,18.81,21.14,36.18,1.44,3.44,2.74,---,---,---,3.16,73.17,77.52,2023-03-19 08:00:00
9,9~10,5.69,53.16,6.24,28.62,0.11,0.05,29.25,2.62,1.57,---,2.41,---,65.73,1.00,0.15,0.00,20.38,23.75,45.88,1.31,3.39,3.72,---,---,---,3.37,73.58,77.25,2023-03-19 09:00:00
