,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,19.75,58.28,5.43,27.69,0.38,0.12,9.13,2.56,2.14,---,3.84,---,65.10,1.07,0.18,0.00,42.25,50.37,117.56,1.41,3.47,3.41,---,---,---,3.68,72.22,80.28,2023-03-16 00:00:00
1,1~2,13.81,57.94,5.20,27.31,0.38,0.13,8.42,2.44,2.13,---,3.68,---,64.12,1.02,0.17,0.00,36.46,35.44,108.44,1.41,3.45,3.21,---,---,---,3.37,72.98,79.81,2023-03-16 01:00:00
2,2~3,6.94,56.31,5.42,27.32,0.38,0.13,8.45,2.36,2.14,---,3.60,---,65.53,1.07,0.14,0.00,29.50,25.78,83.52,1.43,3.48,2.57,---,---,---,3.51,72.86,79.72,2023-03-16 02:00:00
3,3~4,5.62,57.53,5.19,27.25,0.38,0.12,10.16,2.40,2.13,---,3.53,---,66.41,1.02,0.17,0.00,22.47,23.56,21.94,1.41,3.48,3.12,---,---,---,3.25,73.27,79.41,2023-03-16 03:00:00
4,4~5,5.57,56.54,5.62,27.75,0.38,0.02,10.21,2.39,2.14,---,3.60,---,63.53,1.10,0.17,0.00,18.28,18.66,18.38,1.50,3.52,3.28,---,---,---,3.78,73.36,77.35,2023-03-16 04:00:00
5,5~6,5.25,57.09,5.24,27.25,0.38,0.01,11.04,2.46,2.05,---,3.62,---,63.65,1.05,0.17,0.00,16.70,16.90,18.60,1.44,3.54,3.13,---,---,---,3.32,73.13,75.83,2023-03-16 05:00:00
6,6~7,4.62,56.87,7.05,28.31,0.19,0.01,10.78,1.98,0.88,---,3.53,---,65.51,1.02,0.15,0.00,15.84,16.01,44.32,1.50,4.32,3.15,---,---,---,3.15,72.65,77.91,2023-03-16 06:00:00
7,7~8,4.50,58.84,7.56,29.12,0.11,0.06,20.14,1.80,0.70,---,3.69,---,65.61,1.05,0.17,0.00,15.82,17.02,36.53,1.47,4.04,3.53,---,---,---,3.53,74.12,80.03,2023-03-16 07:00:00
8,8~9,6.13,61.35,8.17,34.57,0.11,0.05,38.61,1.70,1.60,---,5.16,---,69.07,1.11,0.16,0.00,19.47,18.75,25.70,1.43,4.04,3.63,---,---,---,4.60,73.92,84.06,2023-03-16 08:00:00
9,9~10,7.06,63.38,10.07,36.81,0.12,0.04,43.52,2.30,1.57,---,6.22,---,71.56,1.13,0.12,0.00,24.96,23.81,30.23,1.69,4.26,6.22,---,---,---,5.88,77.05,85.60,2023-03-16 09:00:00
10,10~11,9.75,70.27,10.49,39.37,0.11,0.04,46.33,2.62,1.54,---,7.56,---,76.04,1.50,0.09,0.00,24.87,25.92,35.08,1.63,4.74,5.87,---,---,---,6.39,81.97,89.97,2023-03-16 10:00:00
11,11~12,10.87,69.69,9.55,40.32,0.11,0.05,51.23,3.43,1.54,---,8.12,---,75.65,1.16,0.09,0.00,24.85,26.37,50.74,1.62,4.13,6.62,---,---,---,7.52,82.49,91.93,2023-03-16 11:00:00
12,12~13,9.50,69.69,8.49,40.25,0.12,0.06,48.44,3.65,1.53,---,6.79,---,81.97,1.27,0.05,0.00,29.07,32.33,29.31,1.69,4.04,5.79,---,---,---,6.99,84.35,100.07,2023-03-16 12:00:00
13,13~14,11.00,74.06,8.47,42.81,0.11,0.06,48.80,3.31,1.55,---,9.43,---,82.60,1.15,0.54,0.00,26.54,27.54,37.74,1.87,3.99,6.47,---,---,---,8.14,86.39,102.19,2023-03-16 13:00:00
14,14~15,11.57,75.88,8.83,45.31,0.12,0.06,46.03,3.06,1.56,---,11.38,---,82.84,1.77,0.69,0.00,27.06,23.63,37.88,1.69,4.20,6.81,---,---,---,13.63,87.03,103.50,2023-03-16 14:00:00
15,15~16,10.93,79.03,9.63,45.44,0.12,0.05,48.84,3.04,1.63,---,10.72,---,82.03,1.06,0.65,0.00,25.36,28.41,54.03,1.63,4.22,7.62,---,---,---,14.50,85.75,104.78,2023-03-16 15:00:00
