,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,16.19,49.51,5.28,25.28,0.34,0.13,9.25,3.72,1.70,78.84,2.63,18.68,57.53,2.28,0.82,0.17,46.69,45.48,208.10,2.35,4.16,2.94,4.39,1.03,140.70,2.91,55.51,62.37,2024-03-04 00:00:00
1,1~2,12.94,48.18,5.13,25.23,0.35,0.13,8.70,2.92,1.71,78.45,2.53,18.25,57.67,2.30,0.78,0.17,31.78,31.72,143.31,2.34,4.22,2.28,4.39,0.86,138.60,3.22,55.25,60.38,2024-03-04 01:00:00
2,2~3,9.44,47.57,5.06,24.99,0.35,0.14,9.55,3.05,1.50,78.86,2.68,18.89,57.29,2.29,0.90,0.17,21.79,28.71,51.65,2.31,4.16,2.34,4.40,0.99,139.24,3.18,55.36,61.25,2024-03-04 02:00:00
3,3~4,7.50,48.28,5.23,24.51,0.35,0.14,9.77,3.32,1.49,78.65,2.66,18.35,57.64,1.80,0.78,0.17,20.15,19.23,21.14,2.35,4.29,2.59,4.39,1.28,139.12,2.85,54.89,61.44,2024-03-04 03:00:00
4,4~5,6.00,48.19,4.85,24.50,0.34,0.12,11.17,2.99,1.54,78.39,2.57,18.18,57.64,1.57,0.74,0.16,16.79,16.46,17.50,2.21,4.41,3.28,4.40,0.97,138.76,3.21,54.84,60.81,2024-03-04 04:00:00
5,5~6,6.06,48.05,5.11,24.57,0.36,0.04,11.44,2.96,1.47,77.42,2.90,17.72,56.80,1.46,0.78,0.17,15.52,19.09,49.25,2.38,4.41,3.10,4.39,1.14,138.03,2.94,54.60,60.56,2024-03-04 05:00:00
6,6~7,5.12,47.29,5.24,24.79,0.20,0.04,9.99,2.70,0.90,78.10,2.47,17.23,58.40,1.30,0.81,0.17,14.78,15.17,25.46,2.37,5.53,2.59,2.13,1.30,138.81,3.28,54.73,60.13,2024-03-04 06:00:00
7,7~8,5.63,49.91,5.78,27.12,0.09,0.05,12.92,2.33,0.60,79.71,2.49,18.58,58.64,0.92,0.81,0.11,15.07,14.42,19.25,2.41,5.21,3.03,0.00,2.87,140.37,4.22,54.82,60.18,2024-03-04 07:00:00
8,8~9,6.25,51.37,7.48,33.41,0.08,0.08,21.31,2.16,0.57,86.01,3.54,20.94,61.53,1.27,0.80,0.00,21.46,16.43,45.29,2.34,5.03,3.57,0.00,1.67,146.06,7.50,56.35,61.51,2024-03-04 08:00:00
9,9~10,7.94,56.44,8.34,36.71,0.09,0.05,27.12,2.16,0.94,94.81,6.22,23.23,65.36,1.01,1.43,0.00,23.63,17.54,46.15,2.35,5.10,4.37,0.00,2.44,161.85,13.43,60.54,64.55,2024-03-04 09:00:00
