,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,23.31,61.91,5.69,29.82,0.41,0.12,9.26,4.18,1.63,90.92,4.19,23.72,63.01,1.30,2.31,0.17,58.75,41.82,107.87,2.38,2.13,3.15,4.28,0.93,177.73,5.48,67.59,79.43,2024-05-03 00:00:00
1,1~2,13.07,60.31,5.54,29.41,0.41,0.08,9.67,3.76,1.62,88.60,3.72,22.72,62.16,1.62,2.35,0.17,44.88,33.41,124.04,2.25,2.12,2.81,4.30,0.86,176.79,5.80,66.02,79.75,2024-05-03 01:00:00
2,2~3,10.68,60.51,5.44,29.43,0.41,0.12,9.40,3.35,1.65,88.14,3.65,22.43,62.06,1.23,2.09,0.17,33.68,29.25,67.40,2.31,2.13,2.69,4.27,0.93,174.59,5.45,65.57,79.69,2024-05-03 02:00:00
3,3~4,8.57,58.78,5.56,28.81,0.40,0.09,10.36,3.39,1.67,88.25,3.94,21.75,62.56,1.24,2.36,0.16,32.25,24.88,29.47,2.34,2.06,3.16,4.29,0.70,175.22,5.62,66.25,79.94,2024-05-03 03:00:00
4,4~5,7.37,58.25,5.59,29.23,0.41,0.01,11.48,3.65,1.66,87.42,3.68,22.04,61.70,1.21,2.12,0.17,27.33,28.22,25.90,2.38,2.06,3.43,4.27,0.90,174.29,6.56,66.00,78.81,2024-05-03 04:00:00
5,5~6,6.81,57.94,5.54,29.05,0.27,0.01,11.12,3.07,1.50,87.16,3.54,20.89,62.73,1.07,2.36,0.17,26.76,22.10,25.17,2.44,2.32,2.72,4.15,1.21,172.66,5.84,65.64,78.31,2024-05-03 05:00:00
6,6~7,10.32,57.71,5.88,30.23,0.14,0.07,10.15,3.03,0.65,87.64,3.59,21.07,62.98,1.51,2.42,0.13,24.02,19.48,47.27,2.50,4.57,2.94,3.74,1.64,174.93,5.88,66.21,79.44,2024-05-03 06:00:00
7,7~8,7.81,58.00,6.71,34.31,0.13,0.04,15.30,1.64,0.60,91.28,3.69,19.84,67.75,1.13,2.38,0.00,25.59,19.54,50.41,2.40,4.69,3.75,1.67,3.12,181.64,6.59,68.07,79.94,2024-05-03 07:00:00
8,8~9,8.44,63.32,6.68,40.55,0.13,0.05,35.38,1.68,1.53,98.55,4.34,22.72,71.49,1.25,2.46,0.00,31.47,25.71,30.88,2.60,5.87,6.22,0.00,2.51,191.22,8.91,67.66,85.75,2024-05-03 08:00:00
9,9~10,9.93,72.44,8.89,46.05,0.13,0.04,46.47,2.91,1.52,108.45,8.32,24.50,75.63,1.20,3.25,0.00,31.65,27.49,32.09,2.62,6.13,8.40,0.00,2.64,209.23,13.56,73.17,87.56,2024-05-03 09:00:00
10,10~11,9.88,83.75,12.41,51.12,0.16,0.04,44.59,4.22,1.48,122.60,9.84,34.20,78.56,1.39,2.85,0.00,30.61,25.57,37.07,3.09,6.51,10.81,0.00,7.98,214.86,12.75,75.29,91.06,2024-05-03 10:00:00
11,11~12,10.62,88.62,12.11,52.84,0.21,0.09,50.43,4.88,1.51,133.61,10.22,36.11,87.28,1.16,3.10,0.00,34.70,29.37,42.53,3.00,6.69,10.19,0.00,13.83,222.97,14.44,77.73,93.81,2024-05-03 11:00:00
12,12~13,15.38,91.41,11.77,50.95,0.15,0.07,48.44,5.13,1.49,126.54,8.91,35.77,81.86,1.19,3.44,0.00,33.51,24.30,42.40,2.66,6.25,9.04,0.00,11.73,224.44,15.72,79.30,96.63,2024-05-03 12:00:00
13,13~14,15.87,91.59,12.55,54.03,0.14,0.07,59.21,5.97,1.56,123.75,10.81,34.32,78.62,1.17,5.05,0.00,31.19,26.76,58.59,2.81,5.76,9.10,0.00,3.35,233.72,19.25,79.19,102.43,2024-05-03 13:00:00
14,14~15,10.07,90.68,13.88,56.24,0.15,0.09,59.53,6.60,1.53,131.87,12.03,35.35,84.49,1.34,3.40,0.00,33.91,31.81,61.16,2.88,6.25,9.15,0.00,3.53,258.55,38.34,79.59,108.32,2024-05-03 14:00:00
15,15~16,12.25,92.88,14.35,57.26,0.15,0.08,50.14,7.98,1.55,126.94,11.06,34.41,81.47,1.36,3.63,0.00,35.29,26.88,41.44,2.84,6.13,9.25,0.00,10.84,261.80,37.40,79.28,110.63,2024-05-03 15:00:00
16,16~17,10.50,87.63,13.52,56.80,0.14,0.02,45.22,7.53,2.33,128.42,12.22,35.34,80.86,1.17,3.59,0.00,35.90,37.89,37.56,2.91,5.44,7.50,0.00,10.77,245.23,26.66,78.52,106.93,2024-05-03 16:00:00
17,17~18,11.37,88.78,12.23,49.98,0.15,0.05,53.77,7.11,2.18,125.04,11.22,34.85,78.97,1.34,4.38,0.08,39.42,32.92,46.25,2.84,5.18,5.47,0.24,3.50,214.40,8.35,75.37,99.31,2024-05-03 17:00:00
18,18~19,13.94,82.78,12.81,42.15,0.41,0.12,63.22,4.47,1.65,119.41,8.40,33.53,77.48,1.71,5.21,0.17,35.44,30.97,66.97,3.03,3.63,5.00,4.38,1.86,202.76,5.47,73.39,93.31,2024-05-03 18:00:00
19,19~20,14.50,75.47,11.77,37.36,0.41,0.12,53.90,3.47,1.69,111.66,6.01,32.06,73.59,1.59,4.18,0.17,42.95,30.49,82.21,2.60,3.00,4.44,4.34,1.00,193.21,5.16,71.34,87.44,2024-05-03 19:00:00
20,20~21,19.94,73.03,7.96,34.64,0.40,0.11,48.96,3.29,1.62,104.40,5.81,29.66,68.93,1.53,4.37,0.17,42.39,37.65,115.57,2.75,2.62,4.77,4.32,0.82,190.10,4.09,70.66,86.01,2024-05-03 20:00:00
21,21~22,19.50,67.53,7.37,33.78,0.41,0.13,40.53,3.53,1.62,99.62,4.28,27.37,67.97,1.54,4.39,0.16,44.84,44.25,63.66,2.53,2.44,4.22,4.31,1.06,190.81,3.50,69.84,89.06,2024-05-03 21:00:00
22,22~23,21.00,66.34,6.01,32.79,0.41,0.12,11.86,3.33,1.65,95.69,4.69,26.75,64.25,1.59,4.19,0.17,48.77,46.02,84.13,2.53,2.31,4.22,4.30,0.93,191.15,3.62,68.60,89.25,2024-05-03 22:00:00
23,23~24,19.75,62.66,5.58,31.93,0.40,0.11,10.15,2.79,1.65,90.91,3.15,24.93,62.83,1.50,2.39,0.17,61.67,52.81,143.71,2.53,2.32,4.32,4.28,0.71,189.28,3.62,69.38,87.38,2024-05-03 23:00:00
