,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,13.00,73.54,8.33,33.75,0.46,0.10,8.97,2.79,1.64,107.56,3.72,25.47,78.37,2.71,3.09,0.17,69.85,48.40,63.34,2.90,2.90,4.47,3.98,1.05,236.95,8.03,77.89,124.80,2024-07-03 00:00:00
1,1~2,10.81,69.84,8.15,33.39,0.45,0.11,8.28,2.54,1.59,101.34,3.62,23.97,73.75,1.46,2.94,0.17,66.20,46.54,64.63,2.91,2.88,3.75,4.00,1.04,232.57,8.25,77.31,121.78,2024-07-03 01:00:00
2,2~3,8.07,69.15,8.06,33.17,0.45,0.11,9.39,2.43,1.65,96.61,3.65,24.12,68.84,1.09,2.99,0.16,56.66,38.85,52.03,2.91,2.94,3.62,4.01,0.79,228.13,7.72,76.93,118.32,2024-07-03 02:00:00
3,3~4,7.68,67.25,8.33,33.14,0.45,0.05,8.49,2.27,1.62,95.96,3.35,24.00,68.61,1.09,3.25,0.17,55.04,32.89,44.00,2.93,2.89,3.85,4.01,1.64,226.44,7.56,77.01,117.48,2024-07-03 03:00:00
4,4~5,7.75,66.25,8.14,33.02,0.44,0.00,10.11,2.29,1.57,96.51,3.25,24.83,68.43,1.07,3.18,0.17,49.54,32.39,41.84,2.88,2.94,3.62,3.72,0.91,224.74,7.87,75.80,116.50,2024-07-03 04:00:00
5,5~6,7.69,66.47,7.99,33.15,0.28,0.05,8.63,2.36,1.47,94.78,3.06,24.12,67.60,1.09,3.34,0.16,47.27,30.55,72.69,2.97,3.01,3.78,1.64,0.93,225.79,7.88,76.07,117.47,2024-07-03 05:00:00
6,6~7,7.13,66.31,8.07,35.39,0.18,0.06,11.93,1.42,0.68,96.79,2.93,24.49,69.37,1.07,2.85,0.17,47.80,30.21,55.21,3.00,3.76,3.69,0.00,3.43,232.72,7.94,79.20,119.83,2024-07-03 06:00:00
7,7~8,8.12,71.41,9.62,43.66,0.19,0.01,13.73,1.38,0.61,107.16,6.41,27.26,73.49,1.50,3.48,0.12,45.87,30.19,44.00,3.03,4.25,4.57,0.00,9.99,246.87,12.09,82.92,123.64,2024-07-03 07:00:00
8,8~9,10.81,79.81,11.32,54.92,0.18,0.03,24.15,1.77,0.60,122.75,8.56,33.09,81.10,1.27,3.89,0.00,42.67,28.58,48.45,3.22,5.01,7.15,0.00,3.95,274.44,21.41,91.95,130.71,2024-07-03 08:00:00
9,9~10,12.13,106.15,13.47,65.14,0.19,0.91,34.68,1.95,0.65,135.07,9.35,36.41,89.31,1.49,3.79,0.00,44.67,27.21,45.99,4.09,5.40,12.10,0.00,4.31,302.59,25.00,101.76,141.94,2024-07-03 09:00:00
10,10~11,12.56,131.63,19.50,74.94,0.19,2.33,35.40,4.23,0.62,152.32,10.09,40.19,102.04,1.22,3.88,0.00,46.14,26.73,43.66,4.03,7.00,13.27,0.00,12.26,314.46,23.75,104.57,152.32,2024-07-03 10:00:00
11,11~12,13.44,149.44,18.41,76.52,0.20,2.44,37.70,5.27,0.62,153.80,8.23,40.80,104.77,1.49,4.12,0.00,42.47,30.73,43.81,4.13,6.13,14.73,0.00,18.93,327.77,25.43,105.25,160.55,2024-07-03 11:00:00
12,12~13,11.31,155.38,20.59,72.50,0.20,2.47,36.32,6.79,0.71,156.31,9.15,41.21,105.95,1.20,4.17,0.00,43.47,26.39,57.22,4.18,5.77,13.71,0.00,16.80,323.36,22.69,105.30,159.40,2024-07-03 12:00:00
13,13~14,10.88,144.97,20.31,74.86,0.19,0.82,42.71,10.91,0.66,161.24,9.31,42.03,109.90,1.47,3.89,0.00,42.76,26.43,60.09,4.41,4.76,13.13,0.00,10.04,321.45,22.25,104.79,159.88,2024-07-03 13:00:00
14,14~15,14.68,144.27,19.08,80.85,0.19,0.25,40.96,12.77,0.66,161.45,8.66,45.19,107.60,1.13,4.63,0.00,42.15,28.18,119.53,4.28,5.50,14.16,0.00,15.71,334.81,23.22,105.72,167.98,2024-07-03 14:00:00
15,15~16,13.57,144.28,17.33,80.18,0.19,0.68,34.35,12.57,0.76,166.74,9.09,49.00,108.65,1.40,4.16,0.00,38.37,26.25,51.22,4.38,6.26,14.18,0.00,20.47,339.79,22.63,106.22,171.19,2024-07-03 15:00:00
16,16~17,13.12,142.89,17.14,78.40,0.19,0.47,33.01,11.20,0.85,161.70,9.38,48.34,103.98,1.22,3.68,0.10,35.77,27.92,39.53,4.34,4.45,12.72,0.00,13.45,323.16,18.03,104.60,160.55,2024-07-03 16:00:00
