,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,14.00,56.41,4.20,27.19,0.37,0.12,8.81,2.63,2.10,---,3.75,---,61.65,1.11,0.09,0.00,46.93,43.19,68.39,1.41,3.32,2.63,---,---,---,3.10,74.57,80.77,2023-03-20 00:00:00
1,1~2,9.62,55.75,4.04,27.37,0.38,0.13,9.15,2.41,2.13,---,2.78,---,60.93,1.21,0.08,0.00,33.93,35.91,64.09,1.31,3.31,3.00,---,---,---,3.39,74.73,82.41,2023-03-20 01:00:00
2,2~3,8.94,54.56,4.28,27.00,0.37,0.13,10.63,2.40,2.11,---,2.69,---,60.20,1.45,0.07,0.00,27.09,26.43,109.29,1.31,3.33,3.18,---,---,---,3.32,74.24,80.51,2023-03-20 02:00:00
3,3~4,7.44,55.16,4.25,27.07,0.38,0.13,9.97,2.48,2.12,---,2.52,---,61.19,1.08,0.11,0.00,22.92,19.79,40.34,1.35,3.32,2.73,---,---,---,3.17,74.53,80.46,2023-03-20 03:00:00
4,4~5,8.69,54.90,4.45,26.62,0.37,0.13,10.67,2.43,2.13,---,2.98,---,60.44,1.08,0.17,0.00,19.46,18.84,19.47,1.43,3.32,2.62,---,---,---,3.72,74.68,79.41,2023-03-20 04:00:00
5,5~6,4.87,54.31,4.01,26.63,0.38,0.12,11.12,2.35,2.14,---,2.68,---,59.83,1.05,0.15,0.00,18.96,17.78,18.80,1.41,3.40,2.72,---,---,---,3.45,73.80,78.25,2023-03-20 05:00:00
6,6~7,4.81,54.38,5.77,27.56,0.17,0.05,9.43,1.77,0.84,---,2.76,---,62.19,1.24,0.15,0.00,16.19,15.84,33.14,1.44,3.85,2.65,---,---,---,3.18,74.37,80.91,2023-03-20 06:00:00
7,7~8,5.07,54.82,5.34,28.81,0.11,0.03,12.41,1.65,0.63,---,2.74,---,62.88,0.96,0.14,0.00,17.34,15.63,53.64,1.37,3.75,3.31,---,---,---,3.78,73.61,84.31,2023-03-20 07:00:00
8,8~9,6.68,57.39,5.39,33.31,0.11,0.07,19.94,1.95,1.54,---,4.66,---,65.04,1.01,0.16,0.00,19.16,21.72,25.77,1.35,3.82,4.07,---,---,---,6.31,74.87,87.77,2023-03-20 08:00:00
9,9~10,7.38,62.75,6.50,35.57,0.10,0.07,26.26,2.32,1.54,---,6.09,---,70.51,1.00,0.19,0.00,26.90,20.25,26.83,1.56,3.74,4.91,---,---,---,20.11,80.03,91.17,2023-03-20 09:00:00
10,10~11,6.75,73.17,6.38,38.43,0.12,0.07,31.04,2.38,1.62,---,7.25,---,69.97,0.98,0.14,0.00,23.94,22.60,25.88,1.34,4.19,6.25,---,---,---,21.88,83.28,94.80,2023-03-20 10:00:00
11,11~12,7.62,78.25,7.65,41.07,0.11,0.08,41.48,2.74,1.60,---,9.48,---,76.17,1.10,0.61,0.00,29.78,27.16,58.27,1.50,3.96,5.93,---,---,---,9.06,85.17,96.94,2023-03-20 11:00:00
12,12~13,9.00,84.34,8.08,41.81,0.12,0.05,39.72,3.23,1.67,---,10.84,---,78.43,1.06,0.65,0.00,28.01,29.21,39.54,1.75,3.69,5.35,---,---,---,5.24,87.58,101.60,2023-03-20 12:00:00
13,13~14,6.88,83.87,9.31,44.06,0.12,0.07,40.59,3.84,1.64,---,10.74,---,77.60,1.05,0.09,0.00,26.88,34.53,31.62,1.50,3.62,5.09,---,---,---,14.91,85.01,104.46,2023-03-20 13:00:00
14,14~15,6.56,83.97,7.87,42.50,0.11,0.07,48.68,4.72,1.64,---,11.94,---,78.40,1.09,0.51,0.00,28.25,30.00,28.14,1.41,3.88,5.72,---,---,---,17.61,83.00,109.26,2023-03-20 14:00:00
15,15~16,11.00,82.28,5.92,43.38,0.12,0.05,44.47,4.03,1.67,---,10.91,---,80.10,1.46,0.65,0.00,25.44,26.81,45.44,1.47,4.18,5.22,---,---,---,12.04,81.75,106.65,2023-03-20 15:00:00
