,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,21.75,51.77,5.42,25.44,0.35,0.14,9.34,3.44,1.81,78.72,2.75,18.37,57.60,0.97,0.85,0.17,47.58,41.72,196.50,3.09,3.91,2.77,4.38,1.11,148.68,2.82,57.79,68.32,2024-02-28 00:00:00
1,1~2,18.12,50.03,5.52,25.21,0.36,0.13,8.90,3.04,1.81,80.20,2.65,18.38,59.17,0.92,1.00,0.16,36.90,29.05,182.72,3.03,3.85,2.85,4.38,0.92,148.84,2.91,57.68,67.88,2024-02-28 01:00:00
2,2~3,11.69,48.82,5.28,24.92,0.35,0.14,9.50,3.00,1.83,77.97,2.75,18.12,57.10,0.97,0.73,0.17,25.76,20.23,59.18,3.03,3.97,2.72,4.40,0.90,148.07,3.03,57.01,67.68,2024-02-28 02:00:00
3,3~4,6.06,48.53,5.55,25.03,0.36,0.14,9.87,2.88,1.84,79.25,2.59,18.67,57.99,0.95,0.89,0.17,23.08,16.98,20.50,3.10,3.97,2.53,4.38,0.88,147.55,2.68,57.00,67.31,2024-02-28 03:00:00
4,4~5,5.69,48.50,5.62,25.23,0.35,0.14,11.07,3.05,1.69,77.22,2.54,17.96,56.72,0.95,0.88,0.16,18.03,15.41,19.14,3.09,3.97,3.00,4.40,1.06,147.49,3.03,56.90,67.19,2024-02-28 04:00:00
5,5~6,5.44,48.65,5.68,25.04,0.36,0.14,11.48,2.99,1.62,76.54,2.56,17.86,56.12,0.97,0.83,0.17,17.02,15.42,22.79,3.13,3.90,2.91,4.39,1.37,147.19,2.82,56.46,67.44,2024-02-28 05:00:00
6,6~7,4.87,48.66,5.64,25.16,0.23,0.11,10.26,2.68,1.17,77.54,2.62,17.55,57.37,1.35,0.85,0.17,14.64,14.49,31.84,3.15,5.16,2.71,2.23,0.73,147.13,2.94,56.42,67.94,2024-02-28 06:00:00
7,7~8,4.94,50.25,5.97,25.18,0.09,0.06,12.09,2.60,0.62,78.09,2.42,18.17,57.50,1.20,0.84,0.08,15.82,13.99,49.31,3.13,4.90,2.85,0.00,1.03,154.09,3.22,57.13,73.19,2024-02-28 07:00:00
8,8~9,7.87,51.44,7.07,25.84,0.09,0.04,13.52,2.60,0.64,79.15,2.43,18.20,58.52,1.01,0.97,0.00,20.13,14.68,55.42,3.19,4.53,3.75,0.00,0.90,154.38,3.24,56.80,73.49,2024-02-28 08:00:00
9,9~10,9.07,51.97,7.40,26.40,0.09,0.04,13.21,2.79,0.62,83.92,2.97,20.05,60.90,1.18,1.03,0.00,19.50,21.50,38.40,3.18,4.60,3.91,0.00,0.90,155.27,2.84,58.63,72.32,2024-02-28 09:00:00
10,10~11,15.00,53.85,9.10,27.93,0.09,0.04,13.36,3.02,0.67,90.24,5.03,22.60,62.61,1.03,1.13,0.00,25.11,23.13,31.08,3.19,4.64,3.93,0.00,0.91,158.63,3.35,60.22,73.31,2024-02-28 10:00:00
11,11~12,10.68,57.93,9.82,28.42,0.09,0.03,13.09,2.66,0.62,93.00,5.12,23.53,64.35,0.96,1.09,0.00,27.20,27.36,45.73,3.22,5.04,4.22,0.00,1.09,160.21,2.97,60.34,75.31,2024-02-28 11:00:00
12,12~13,11.94,58.28,9.69,29.72,0.09,0.05,13.52,3.29,0.65,94.55,4.79,23.37,66.39,1.00,1.17,0.00,25.89,30.82,74.07,3.56,5.34,4.09,0.00,1.31,163.96,3.21,63.20,75.88,2024-02-28 12:00:00
13,13~14,9.44,60.18,8.97,31.31,0.09,0.03,13.04,3.71,0.63,100.59,5.21,25.62,69.76,1.23,1.59,0.00,27.48,26.84,109.75,3.13,5.28,4.73,0.00,0.66,172.72,3.13,69.94,77.81,2024-02-28 13:00:00
14,14~15,13.75,64.91,9.23,32.56,0.09,0.06,13.28,3.50,0.65,102.27,3.98,24.50,73.79,1.06,1.92,0.00,29.22,27.58,72.12,3.03,4.85,4.47,0.00,1.08,177.93,3.38,74.56,78.25,2024-02-28 14:00:00
15,15~16,9.69,62.13,9.88,31.91,0.09,0.06,13.18,4.19,0.63,103.85,3.46,26.21,74.18,1.36,2.77,0.15,39.56,27.01,31.95,2.94,4.72,3.75,0.00,0.92,169.42,4.06,63.45,80.32,2024-02-28 15:00:00
16,16~17,17.43,59.90,9.20,30.36,0.09,0.07,13.49,4.80,0.79,100.68,3.81,26.01,70.86,1.43,2.56,0.17,26.82,28.87,33.24,2.96,4.84,3.50,0.17,0.60,167.25,3.90,61.35,80.62,2024-02-28 16:00:00
17,17~18,17.69,57.50,8.55,30.05,0.22,0.09,15.53,5.12,1.56,100.01,4.22,25.71,70.08,1.46,2.41,0.17,29.14,24.43,39.98,3.04,4.78,3.83,4.41,0.92,160.42,3.45,57.84,77.75,2024-02-28 17:00:00
18,18~19,14.25,55.88,8.18,28.48,0.36,0.13,15.64,5.24,1.66,96.14,3.88,22.64,69.62,1.44,1.20,0.16,33.07,30.74,71.19,2.93,4.15,3.19,4.44,1.16,157.37,3.16,58.21,75.81,2024-02-28 18:00:00
19,19~20,13.81,53.88,8.63,28.18,0.35,0.13,15.88,5.87,1.64,93.57,3.71,21.73,68.13,1.46,1.05,0.17,35.04,34.42,39.04,2.94,3.90,3.09,4.43,1.29,154.47,3.05,57.18,73.75,2024-02-28 19:00:00
20,20~21,14.88,52.41,8.36,27.06,0.35,0.12,14.99,4.69,1.62,89.91,3.98,19.66,66.27,1.10,1.15,0.17,45.28,43.24,75.77,2.91,3.53,3.11,4.39,0.87,156.21,2.91,58.60,74.37,2024-02-28 20:00:00
21,21~22,15.50,52.40,8.48,27.13,0.36,0.12,15.88,5.00,1.67,89.52,4.22,19.30,66.00,1.14,0.92,0.17,49.43,45.61,191.21,2.84,3.65,2.56,4.38,1.00,152.51,3.16,56.89,72.00,2024-02-28 21:00:00
22,22~23,19.19,52.68,6.90,26.70,0.35,0.13,11.40,4.97,1.63,86.53,3.52,19.61,63.40,1.14,1.29,0.16,46.65,45.62,168.06,2.88,3.60,2.69,4.37,0.79,154.22,3.00,58.01,72.82,2024-02-28 22:00:00
