,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,18.82,62.19,5.24,32.31,0.42,0.12,9.96,3.26,2.29,104.22,10.03,30.29,63.90,1.22,1.06,0.17,67.96,64.85,65.69,0.96,3.57,4.22,4.61,0.96,199.50,3.22,80.91,87.22,2023-05-28 00:00:00
1,1~2,16.56,62.22,5.03,31.94,0.42,0.11,9.47,2.85,2.28,103.90,8.66,30.46,64.78,1.23,0.95,0.17,63.01,50.46,59.98,0.97,3.67,4.31,4.63,0.91,200.38,3.00,80.02,89.75,2023-05-28 01:00:00
2,2~3,11.44,61.07,5.50,31.56,0.42,0.08,10.06,2.78,2.22,102.90,7.85,30.49,64.56,1.06,1.01,0.16,57.14,44.03,149.83,1.00,3.66,4.50,4.61,0.90,199.14,2.97,80.66,87.62,2023-05-28 02:00:00
3,3~4,9.62,60.48,5.32,31.81,0.42,0.12,11.26,2.75,2.23,100.75,8.41,29.75,62.59,1.05,1.12,0.17,51.38,38.88,63.48,1.00,3.71,4.31,4.60,0.76,198.26,3.62,80.12,87.28,2023-05-28 03:00:00
4,4~5,9.00,60.52,5.34,30.82,0.42,0.12,11.43,2.67,2.24,99.49,5.74,29.72,64.03,1.20,0.93,0.17,49.93,34.68,42.73,1.00,3.71,4.32,4.61,1.46,195.91,3.32,79.34,85.56,2023-05-28 04:00:00
5,5~6,8.50,59.45,4.85,30.87,0.23,0.08,11.04,2.71,1.26,99.36,5.88,30.01,63.47,1.67,0.94,0.16,43.19,33.07,43.28,1.07,3.67,4.50,2.78,0.95,195.74,3.09,79.38,86.04,2023-05-28 05:00:00
6,6~7,8.50,59.94,5.41,30.94,0.16,0.07,10.59,2.56,0.96,100.98,5.75,30.01,65.22,0.98,1.03,0.17,40.56,30.03,41.99,1.03,3.64,4.34,0.00,1.03,202.06,2.91,80.39,90.71,2023-05-28 06:00:00
7,7~8,10.38,61.98,4.96,31.44,0.15,0.05,18.91,2.50,0.71,103.97,6.65,29.71,67.61,1.07,1.12,0.06,43.63,33.91,59.87,1.03,4.42,4.87,0.00,0.81,206.48,3.12,81.71,93.04,2023-05-28 07:00:00
8,8~9,7.62,66.76,6.17,32.75,0.14,0.03,65.16,4.03,0.81,106.92,7.10,32.27,67.55,1.20,1.23,0.00,47.81,40.68,66.00,1.09,5.47,6.01,0.00,1.03,212.19,2.97,82.82,97.12,2023-05-28 08:00:00
9,9~10,7.63,71.35,8.19,33.06,0.15,0.02,71.19,8.53,0.78,115.56,8.03,36.99,70.54,1.16,1.78,0.00,46.82,43.54,53.88,1.38,5.64,9.90,0.00,0.81,220.66,3.00,86.42,101.38,2023-05-28 09:00:00
10,10~11,9.43,76.71,10.45,35.00,0.16,0.02,70.43,10.55,0.77,123.58,10.53,40.34,72.71,1.00,1.76,0.00,46.07,46.18,54.17,1.09,5.67,11.87,0.00,1.14,226.49,3.94,87.45,104.46,2023-05-28 10:00:00
11,11~12,10.57,82.48,11.96,38.69,0.15,0.03,70.07,12.15,0.79,135.60,10.72,41.09,83.79,2.97,1.83,0.00,54.50,47.62,55.61,1.06,5.70,12.54,0.00,0.78,226.78,3.24,88.37,103.66,2023-05-28 11:00:00
12,12~13,11.81,84.53,11.52,40.68,0.15,0.02,63.45,13.33,0.73,136.05,11.63,44.53,79.89,3.21,2.01,0.00,59.75,47.70,60.79,1.03,5.73,10.97,0.00,1.00,230.39,3.78,89.16,105.37,2023-05-28 12:00:00
13,13~14,12.50,87.79,12.08,39.88,0.15,0.01,61.47,11.41,0.82,139.83,11.97,46.01,81.85,3.22,2.12,0.00,55.32,42.56,60.21,1.54,5.63,11.31,0.00,0.69,237.94,4.13,89.26,113.13,2023-05-28 13:00:00
14,14~15,17.31,93.78,12.07,39.62,0.16,0.02,64.39,8.17,0.78,144.28,18.56,44.71,81.01,3.33,2.07,0.00,60.19,43.27,97.32,1.71,5.54,11.13,0.00,1.55,240.60,3.57,93.03,113.32,2023-05-28 14:00:00
15,15~16,13.56,95.84,11.39,40.69,0.16,0.05,63.15,8.18,0.78,134.31,15.49,38.14,80.68,3.54,1.84,0.00,56.00,51.11,75.16,1.25,5.52,11.12,0.00,0.93,246.83,3.68,102.98,109.71,2023-05-28 15:00:00
16,16~17,14.82,92.68,12.88,41.69,0.16,0.02,62.41,9.01,0.83,134.77,17.16,37.89,79.72,3.15,1.85,0.00,64.19,48.68,62.60,1.19,5.14,10.25,0.00,0.74,245.43,3.78,101.95,109.03,2023-05-28 16:00:00
17,17~18,17.31,91.79,13.09,41.19,0.16,0.05,31.30,15.82,1.30,136.42,18.10,39.63,78.69,1.92,1.65,0.16,50.75,47.69,65.40,1.16,5.01,8.84,0.20,1.04,234.36,6.10,89.54,108.32,2023-05-28 17:00:00
18,18~19,16.19,89.64,9.72,40.37,0.36,0.09,15.05,14.78,1.92,130.88,16.37,36.95,77.56,1.66,1.45,0.16,58.76,49.44,57.50,1.12,4.52,5.32,4.38,0.86,226.58,5.21,85.27,106.06,2023-05-28 18:00:00
19,19~20,15.43,85.63,8.18,39.00,0.42,0.10,14.51,12.13,2.31,126.21,16.19,33.86,76.16,1.71,1.42,0.17,60.54,51.93,74.96,1.10,3.80,4.71,4.66,1.16,223.63,3.82,84.40,105.81,2023-05-28 19:00:00
20,20~21,15.75,82.01,7.85,38.50,0.41,0.10,13.61,12.10,2.34,123.54,16.87,34.43,72.24,1.74,1.35,0.17,63.51,63.57,91.78,1.06,3.70,4.51,4.64,0.84,222.60,2.96,84.83,104.88,2023-05-28 20:00:00
21,21~22,21.44,73.78,6.45,37.44,0.41,0.10,13.03,9.89,2.45,123.44,17.32,33.96,72.16,1.70,0.94,0.16,79.33,63.90,164.25,1.16,3.76,4.62,4.61,0.84,220.31,3.23,85.14,103.19,2023-05-28 21:00:00
22,22~23,24.69,74.42,6.63,36.31,0.42,0.10,11.29,9.24,2.33,112.45,8.53,33.48,70.44,1.82,0.94,0.17,83.22,77.43,107.08,1.09,3.70,5.41,4.61,0.93,219.31,2.93,84.92,101.55,2023-05-28 22:00:00
23,23~24,20.37,71.36,6.47,33.88,0.41,0.10,10.26,8.05,2.26,110.17,9.90,32.33,67.94,1.50,0.88,0.17,89.34,82.48,138.13,1.09,3.74,5.31,4.59,0.76,214.52,3.47,84.69,97.04,2023-05-28 23:00:00
