,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,12.07,86.14,7.91,36.25,0.10,0.10,12.12,2.94,2.12,104.66,2.50,30.72,71.44,1.13,2.11,0.17,70.42,67.56,135.67,2.66,3.55,6.74,4.67,1.01,218.69,8.63,71.38,103.65,2023-07-14 00:00:00
1,1~2,10.43,83.19,7.39,35.19,0.11,0.11,11.61,3.01,2.16,105.35,2.50,31.95,70.90,1.10,2.09,0.16,67.69,62.99,119.63,2.59,3.53,7.13,4.67,0.82,216.59,9.34,71.76,104.31,2023-07-14 01:00:00
2,2~3,12.75,83.55,7.54,34.31,0.10,0.11,12.26,3.12,2.14,102.82,2.37,30.16,70.29,1.03,1.78,0.17,60.30,53.38,72.68,2.41,3.55,6.50,4.70,0.86,211.46,8.87,71.65,99.85,2023-07-14 02:00:00
3,3~4,9.32,82.14,7.62,33.81,0.10,0.09,12.92,2.86,2.10,101.31,2.38,29.47,69.46,1.02,1.90,0.17,55.66,49.03,64.51,2.06,3.53,6.69,4.68,1.25,208.44,8.70,71.24,97.60,2023-07-14 03:00:00
4,4~5,6.93,80.20,7.08,33.69,0.10,0.01,13.27,2.95,2.15,101.91,2.50,29.53,69.88,0.96,1.73,0.16,48.73,45.81,59.10,2.03,3.38,6.47,4.66,0.82,205.69,8.68,69.84,96.06,2023-07-14 04:00:00
5,5~6,6.57,79.91,7.12,33.75,0.10,0.01,12.72,2.90,1.26,102.95,2.46,29.99,70.50,0.83,1.77,0.17,46.62,41.07,56.11,2.10,3.47,5.94,3.01,0.85,204.67,8.54,69.80,96.37,2023-07-14 05:00:00
6,6~7,6.62,80.09,7.44,34.31,0.10,0.01,13.04,2.53,0.90,103.44,2.38,29.53,71.53,1.11,1.85,0.15,44.60,39.01,54.16,2.06,3.92,5.93,0.00,7.59,212.00,8.87,69.98,100.66,2023-07-14 06:00:00
7,7~8,7.94,82.54,8.56,37.75,0.09,0.19,18.02,2.26,0.69,108.56,2.28,33.18,73.10,1.24,2.16,0.00,44.75,41.50,90.96,2.12,4.72,7.47,0.00,13.56,228.73,10.06,74.29,109.06,2023-07-14 07:00:00
8,8~9,10.06,93.05,9.84,50.07,0.11,0.04,48.28,2.37,0.77,122.50,4.31,38.66,79.53,1.03,2.36,0.00,43.95,36.67,61.77,2.97,5.55,10.91,0.00,6.86,256.32,23.79,77.60,118.87,2023-07-14 08:00:00
9,9~10,10.44,118.71,11.26,59.06,0.12,0.01,66.81,8.91,0.77,143.34,6.44,46.65,90.25,1.37,2.94,0.00,39.88,39.41,49.02,3.10,5.63,14.50,0.00,3.41,288.50,27.05,87.43,130.95,2023-07-14 09:00:00
