,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,19.00,67.50,6.55,31.06,0.36,0.10,9.31,4.44,2.20,---,7.99,---,73.31,1.23,0.07,0.00,78.60,66.84,130.23,1.72,3.17,4.44,---,---,---,4.00,78.70,99.78,2023-04-19 00:00:00
1,1~2,14.44,69.37,6.20,31.06,0.35,0.11,9.57,3.48,2.19,---,5.06,---,73.13,1.28,0.09,0.00,69.34,58.91,64.95,1.72,3.19,4.69,---,---,---,3.12,78.35,98.53,2023-04-19 01:00:00
2,2~3,10.12,68.10,6.09,30.63,0.36,0.12,9.69,3.75,2.18,---,4.60,---,73.05,1.23,0.07,0.00,56.70,53.13,53.70,1.62,3.30,4.41,---,---,---,3.48,77.14,95.35,2023-04-19 02:00:00
3,3~4,8.63,67.90,5.99,30.62,0.36,0.13,10.79,3.83,2.18,---,4.32,---,71.88,1.26,0.06,0.00,54.34,45.18,47.59,1.69,3.23,4.59,---,---,---,3.27,77.68,94.62,2023-04-19 03:00:00
4,4~5,7.56,67.54,6.00,30.69,0.36,0.03,11.19,3.77,2.18,---,4.02,---,72.13,1.27,0.08,0.00,45.81,41.29,47.06,1.63,3.27,3.81,---,---,---,3.48,78.18,91.68,2023-04-19 04:00:00
5,5~6,7.12,65.24,6.22,30.81,0.29,0.01,11.60,3.74,1.65,---,3.57,---,71.87,1.68,0.07,0.00,40.29,37.25,74.67,1.53,3.29,3.72,---,---,---,3.15,76.49,91.41,2023-04-19 05:00:00
6,6~7,6.44,66.23,7.51,31.63,0.09,0.01,10.18,3.51,0.99,---,3.44,---,74.22,1.39,0.07,0.00,38.62,35.62,40.27,1.53,4.20,3.53,---,---,---,3.53,78.22,93.67,2023-04-19 06:00:00
7,7~8,6.88,68.99,7.25,34.56,0.10,0.08,14.44,3.26,0.99,---,3.46,---,73.94,1.53,0.08,0.00,39.79,35.29,41.73,1.56,4.30,3.84,---,---,---,3.44,80.56,95.71,2023-04-19 07:00:00
8,8~9,10.37,72.94,10.85,44.50,0.10,0.01,23.33,6.26,1.88,---,5.82,---,80.15,1.44,0.07,0.00,45.94,39.03,47.58,1.66,4.83,7.13,---,---,---,10.31,81.84,100.06,2023-04-19 08:00:00
9,9~10,11.38,94.94,12.42,48.06,0.09,0.09,40.09,6.55,1.93,---,7.28,---,85.79,1.42,0.08,0.00,44.87,38.00,61.72,2.03,5.23,9.75,---,---,---,27.41,88.91,110.91,2023-04-19 09:00:00
10,10~11,11.75,108.13,11.16,51.88,0.11,0.13,53.71,7.04,1.82,---,11.41,---,92.37,2.31,0.07,0.00,45.20,41.71,51.06,1.97,6.45,11.78,---,---,---,29.57,91.60,115.25,2023-04-19 10:00:00
11,11~12,11.81,115.59,12.03,54.43,0.10,0.03,61.75,7.21,1.89,---,11.02,---,98.09,2.42,0.09,0.00,40.78,39.07,44.69,1.84,5.36,10.84,---,---,---,28.12,92.40,117.78,2023-04-19 11:00:00
12,12~13,14.00,111.56,10.68,56.88,0.10,0.33,50.92,10.78,1.86,---,15.92,---,95.92,2.70,0.05,0.00,45.69,38.84,46.24,2.13,5.01,8.19,---,---,---,10.19,94.57,117.66,2023-04-19 12:00:00
13,13~14,13.31,112.34,11.42,57.19,0.10,0.01,48.02,12.61,1.78,---,19.43,---,94.53,2.70,0.08,0.00,40.70,38.23,135.44,1.96,4.78,10.31,---,---,---,11.58,96.01,124.65,2023-04-19 13:00:00
14,14~15,12.31,114.95,12.18,57.87,0.10,0.00,55.72,11.84,1.91,---,17.84,---,99.33,2.61,0.06,0.00,46.12,31.62,68.85,2.00,4.32,10.13,---,---,---,27.63,93.81,120.07,2023-04-19 14:00:00
15,15~16,11.07,100.33,11.43,54.06,0.10,0.00,54.95,10.95,1.86,---,20.50,---,93.88,2.73,0.08,0.00,37.06,33.46,42.53,2.04,4.58,10.31,---,---,---,36.69,91.67,116.65,2023-04-19 15:00:00
16,16~17,11.62,99.57,11.24,52.25,0.10,0.05,55.39,10.40,2.05,---,21.48,---,89.66,1.51,0.07,0.00,43.46,33.95,50.28,2.37,4.18,7.82,---,---,---,28.34,90.17,103.00,2023-04-19 16:00:00
17,17~18,15.50,96.97,11.38,46.63,0.13,0.06,77.16,9.18,2.26,---,18.96,---,90.00,1.43,0.06,0.00,45.48,38.70,54.84,2.09,3.91,5.62,---,---,---,10.00,87.85,99.07,2023-04-19 17:00:00
18,18~19,16.69,87.34,10.10,40.62,0.36,0.11,81.62,11.24,2.60,---,19.28,---,86.62,1.64,0.38,0.00,56.58,40.95,71.73,2.10,3.37,4.60,---,---,---,6.78,83.15,86.22,2023-04-19 18:00:00
19,19~20,19.25,79.06,8.92,38.75,0.36,0.10,78.66,12.84,2.63,---,20.22,---,82.53,1.94,0.78,0.00,55.83,50.12,77.83,2.03,3.30,4.58,---,---,---,6.76,80.61,78.34,2023-04-19 19:00:00
20,20~21,17.87,74.85,7.60,35.82,0.35,0.12,72.55,12.40,2.59,---,19.04,---,77.75,1.69,0.70,0.00,58.13,46.37,63.40,1.97,3.33,4.38,---,---,---,7.65,55.76,67.81,2023-04-19 20:00:00
21,21~22,19.75,68.78,6.71,34.00,0.36,0.12,56.08,11.70,2.62,---,16.87,---,69.26,1.62,0.75,0.00,66.88,54.63,172.69,1.94,3.35,4.51,---,---,---,6.22,48.31,46.62,2023-04-19 21:00:00
22,22~23,25.07,65.93,6.46,32.75,0.35,0.11,16.43,7.12,2.48,---,15.62,---,66.96,1.58,0.20,0.00,66.51,72.72,94.51,1.90,3.22,5.21,---,---,---,7.09,34.92,39.85,2023-04-19 22:00:00
23,23~24,25.25,64.32,6.04,29.43,0.36,0.08,12.34,6.35,2.27,---,12.53,---,62.85,1.17,0.07,0.00,78.56,70.03,176.67,1.72,3.10,5.16,---,---,---,7.29,19.80,33.37,2023-04-19 23:00:00
