,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,18.87,73.44,6.61,32.57,0.42,0.11,10.83,3.86,1.60,93.68,2.65,17.75,73.28,1.00,2.63,0.01,90.92,65.45,89.60,3.63,2.50,4.74,4.48,0.97,210.48,7.63,83.00,89.68,2024-09-16 00:00:00
1,1~2,11.32,71.00,6.62,32.80,0.41,0.10,10.71,3.29,1.63,88.10,2.78,17.56,67.76,1.26,2.38,0.00,81.88,56.00,73.97,3.59,2.38,4.47,4.48,1.03,207.35,7.19,82.60,87.57,2024-09-16 01:00:00
2,2~3,9.31,72.75,6.60,32.47,0.42,0.11,11.36,2.58,1.59,84.95,2.72,16.44,65.79,3.77,2.38,0.00,67.86,48.89,60.31,3.59,2.37,4.38,4.48,0.78,207.44,7.56,82.72,87.29,2024-09-16 02:00:00
3,3~4,8.62,71.31,6.56,32.53,0.42,0.05,11.09,2.41,1.60,84.15,2.63,16.59,64.93,3.50,2.26,0.00,66.46,40.78,55.13,3.63,2.31,4.57,4.47,1.06,206.76,7.93,82.83,85.78,2024-09-16 03:00:00
4,4~5,8.32,71.57,6.79,32.08,0.42,0.01,11.72,2.28,1.64,83.81,2.59,16.16,65.06,3.47,2.14,0.00,61.57,36.94,50.62,3.53,2.32,4.83,4.48,1.27,202.95,7.03,81.93,84.23,2024-09-16 04:00:00
5,5~6,7.81,70.93,6.59,32.31,0.39,0.01,12.01,2.30,1.54,83.30,2.53,16.28,64.49,3.33,1.95,0.00,57.79,34.90,49.41,3.56,2.93,5.01,1.98,1.15,204.09,8.10,82.18,84.05,2024-09-16 05:00:00
6,6~7,7.81,72.25,7.07,35.83,0.15,0.03,15.40,1.91,0.75,83.53,2.28,15.96,65.29,2.95,2.29,0.00,54.15,35.59,58.46,3.60,3.44,5.69,0.00,9.44,208.44,6.78,83.69,86.81,2024-09-16 06:00:00
7,7~8,9.06,76.63,7.14,45.25,0.16,0.12,17.38,1.87,0.70,89.80,2.32,20.13,67.35,3.43,2.63,0.00,58.85,36.91,90.69,3.65,3.63,7.34,0.00,12.55,219.90,9.53,85.21,91.63,2024-09-16 07:00:00
8,8~9,13.69,89.75,11.58,60.34,0.17,0.54,37.23,1.96,1.69,114.61,4.96,28.47,81.18,1.21,3.91,0.00,60.78,40.03,68.13,4.10,4.75,9.38,0.00,13.45,247.60,21.82,89.60,100.11,2024-09-16 08:00:00
9,9~10,13.31,112.24,12.84,72.75,0.17,0.37,47.92,8.08,1.72,133.51,8.79,35.20,89.52,1.25,4.80,0.00,59.68,39.69,53.84,4.56,5.50,11.58,0.00,13.97,313.15,60.12,101.46,107.71,2024-09-16 09:00:00
10,10~11,18.82,131.07,12.65,81.91,0.18,0.52,62.74,8.45,1.73,152.50,11.46,45.44,95.60,1.11,4.85,0.00,54.89,38.87,48.97,4.62,6.56,13.13,0.00,17.51,339.48,68.37,106.24,118.24,2024-09-16 10:00:00
11,11~12,14.43,139.81,15.41,80.31,0.18,0.85,59.16,12.77,1.72,156.24,9.50,49.69,97.05,1.02,5.70,0.00,54.21,40.60,53.65,5.25,5.95,12.84,0.00,17.55,326.85,43.98,108.66,126.06,2024-09-16 11:00:00
12,12~13,17.57,148.81,17.26,80.25,0.18,0.82,68.89,13.24,1.74,169.64,20.10,52.56,96.98,1.04,5.01,0.00,48.35,53.65,59.66,5.35,5.25,12.10,0.00,16.67,320.25,30.03,109.86,137.25,2024-09-16 12:00:00
13,13~14,15.06,147.51,18.41,80.47,0.19,0.81,75.65,12.16,1.72,175.22,26.41,50.28,98.53,1.03,4.42,0.00,41.74,47.21,54.78,5.50,4.68,13.59,0.00,14.68,332.66,37.87,109.64,141.39,2024-09-16 13:00:00
14,14~15,13.12,151.81,19.40,85.10,0.18,0.76,68.22,12.59,1.73,176.19,26.65,48.91,100.63,1.10,5.03,0.00,43.77,35.10,55.76,5.53,5.08,13.63,0.00,14.86,362.06,57.25,112.77,147.06,2024-09-16 14:00:00
15,15~16,13.44,150.37,19.00,82.21,0.19,0.53,55.75,16.50,1.72,174.11,25.97,47.41,100.73,1.00,4.69,0.00,50.96,40.41,73.68,5.62,5.25,12.53,0.00,18.84,353.72,54.69,111.32,141.83,2024-09-16 15:00:00
16,16~17,14.00,147.44,19.35,76.71,0.18,0.04,59.00,15.63,1.78,166.89,27.00,43.06,96.83,1.25,4.36,0.00,53.32,43.87,52.78,5.50,4.37,9.81,0.00,13.77,328.67,37.74,106.85,140.08,2024-09-16 16:00:00
17,17~18,14.88,137.57,17.98,68.29,0.31,0.07,84.00,19.81,1.77,152.57,19.46,41.29,91.82,1.10,4.36,0.00,52.49,50.33,52.59,5.19,3.00,8.72,0.27,2.67,304.62,16.38,105.07,141.03,2024-09-16 17:00:00
18,18~19,18.81,128.81,16.34,58.38,0.43,0.10,88.62,22.32,1.66,143.24,13.01,40.61,89.62,1.14,4.23,0.00,53.84,47.27,60.10,4.59,2.82,7.87,4.40,0.85,284.66,12.00,96.48,135.85,2024-09-16 18:00:00
19,19~20,21.94,115.74,11.17,47.36,0.44,0.10,75.99,21.13,1.67,131.97,12.65,33.65,85.67,1.23,4.15,0.00,55.28,46.23,61.91,3.97,2.75,7.16,4.54,1.11,278.18,16.75,92.07,131.31,2024-09-16 19:00:00
20,20~21,15.75,101.38,8.94,42.05,0.43,0.11,69.04,20.46,1.74,122.25,12.79,28.59,80.87,1.14,4.52,0.00,66.35,61.35,142.44,3.94,2.75,7.13,4.50,0.97,263.43,11.81,92.08,125.54,2024-09-16 20:00:00
21,21~22,14.75,98.56,8.70,40.34,0.43,0.06,59.03,17.79,1.67,127.13,18.43,28.46,80.24,1.11,4.54,0.00,71.64,67.20,90.55,3.94,2.75,7.06,4.49,0.89,251.30,8.66,90.63,118.69,2024-09-16 21:00:00
22,22~23,17.75,96.19,8.79,39.62,0.44,0.11,14.30,11.63,1.73,116.72,16.19,24.98,75.55,1.04,3.26,0.00,92.97,68.51,84.59,3.94,2.69,7.31,4.49,1.12,246.41,9.13,90.94,113.00,2024-09-16 22:00:00
23,23~24,21.12,87.19,8.55,37.61,0.43,0.09,13.63,6.00,1.69,104.11,11.37,20.62,72.12,1.02,3.05,0.00,98.14,70.78,118.91,3.96,2.69,6.47,4.47,0.87,241.81,8.02,90.15,110.52,2024-09-16 23:00:00
