,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,14.82,76.31,9.20,35.55,0.41,0.14,11.44,2.87,1.68,73.69,1.56,20.06,52.07,0.91,3.09,0.00,74.64,49.37,77.31,3.91,2.88,7.06,3.94,0.79,189.56,8.34,86.49,101.90,2024-08-07 00:00:00
1,1~2,13.01,72.48,8.69,35.02,0.42,0.13,11.62,2.94,1.67,73.64,1.47,20.02,52.15,1.39,2.84,0.00,74.43,42.31,65.90,3.81,2.68,6.91,3.95,0.94,183.80,8.00,84.92,100.68,2024-08-07 01:00:00
2,2~3,7.79,66.91,8.78,34.51,0.41,0.14,11.38,2.31,1.67,72.33,1.56,19.99,50.78,3.56,2.80,0.00,71.14,40.06,56.66,3.78,2.63,6.11,3.94,0.72,184.48,8.22,84.79,99.70,2024-08-07 02:00:00
3,3~4,7.28,65.11,8.54,34.03,0.43,0.04,11.21,2.17,1.71,72.32,1.60,20.50,50.22,3.34,2.75,0.00,67.44,37.37,53.59,3.75,2.62,6.45,4.19,1.00,183.23,8.40,83.93,98.72,2024-08-07 03:00:00
4,4~5,7.16,64.38,8.82,34.34,0.42,0.00,11.87,2.06,1.70,71.19,1.56,19.78,49.85,3.16,2.66,0.00,60.15,35.41,50.94,3.28,2.69,7.09,4.24,0.71,183.36,7.79,83.77,97.61,2024-08-07 04:00:00
5,5~6,6.97,62.92,8.41,34.35,0.30,0.03,11.52,1.98,1.54,71.15,1.53,19.65,49.97,3.11,2.56,0.00,55.34,34.66,48.69,3.28,2.75,6.38,1.50,1.44,180.83,7.81,83.53,97.75,2024-08-07 05:00:00
6,6~7,12.25,63.63,8.75,38.13,0.17,0.06,14.21,1.73,0.70,71.92,1.41,20.01,50.50,3.08,2.32,0.00,53.96,39.73,53.71,3.35,4.00,6.09,0.00,8.03,184.37,7.81,84.12,100.60,2024-08-07 06:00:00
7,7~8,10.11,67.04,9.42,44.92,0.16,0.08,17.43,1.70,0.69,77.02,1.65,23.46,51.91,3.25,2.78,0.00,52.70,32.61,76.92,3.53,3.81,6.22,0.00,11.82,194.14,9.81,85.26,105.07,2024-08-07 07:00:00
8,8~9,9.80,75.02,11.79,58.45,0.16,0.10,36.43,2.50,0.67,93.99,1.81,32.34,59.84,1.25,3.43,0.00,47.24,29.90,45.46,3.91,4.82,6.75,0.00,5.68,212.92,12.82,92.27,111.72,2024-08-07 08:00:00
9,9~10,11.42,103.57,15.74,68.62,0.18,0.14,56.00,2.50,0.67,104.49,4.26,31.19,69.04,1.05,3.77,0.00,43.88,30.18,42.81,3.96,5.43,9.47,0.00,4.36,247.35,34.68,103.61,131.17,2024-08-07 09:00:00
10,10~11,12.50,115.85,17.50,78.65,0.18,0.99,57.04,10.21,0.70,111.17,6.28,33.56,71.33,1.04,4.30,0.00,37.71,31.60,41.69,4.16,7.19,10.65,0.00,13.98,265.19,39.48,106.34,141.97,2024-08-07 10:00:00
11,11~12,12.88,122.06,15.58,74.40,0.16,0.68,74.43,9.95,0.67,123.43,6.53,35.25,81.65,1.05,4.54,0.00,43.73,31.34,39.35,4.28,6.44,10.94,0.00,16.03,273.25,40.31,106.86,152.01,2024-08-07 11:00:00
12,12~13,14.06,142.44,20.37,75.03,0.20,1.00,83.66,11.40,0.67,135.90,7.28,39.32,89.30,1.11,4.20,0.00,40.33,29.72,38.09,4.35,5.75,9.44,0.00,16.49,327.93,31.93,105.70,149.53,2024-08-07 12:00:00
13,13~14,12.32,132.32,18.50,74.97,0.18,0.96,94.19,11.00,0.66,132.34,6.90,37.90,87.54,1.04,3.30,0.00,36.80,30.64,34.79,4.68,4.37,10.19,0.00,3.87,313.96,30.19,103.66,140.21,2024-08-07 13:00:00
14,14~15,11.25,136.12,19.52,81.51,0.19,0.96,88.91,13.59,0.70,133.05,6.44,38.81,87.80,1.35,3.99,0.00,35.29,29.08,36.49,4.60,6.19,10.71,0.00,5.91,320.21,28.40,106.16,145.05,2024-08-07 14:00:00
15,15~16,14.50,135.43,17.93,78.93,0.19,0.94,69.82,16.49,0.68,136.99,7.09,39.31,90.59,1.11,3.76,0.00,35.21,31.37,41.53,4.53,5.95,11.44,0.00,19.80,314.76,26.42,106.16,140.35,2024-08-07 15:00:00
16,16~17,15.81,138.57,18.37,81.48,0.19,0.77,57.72,15.72,0.76,134.08,7.54,39.00,87.54,1.39,3.92,0.00,35.19,28.43,43.94,4.40,4.19,12.09,0.00,13.31,301.34,21.43,106.19,132.46,2024-08-07 16:00:00
