,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,15.82,62.24,7.18,28.75,0.40,0.12,10.40,3.79,1.62,81.15,6.40,21.29,53.46,1.30,2.35,0.16,63.84,45.80,128.28,2.41,2.63,2.52,4.29,1.50,171.01,5.53,66.19,78.62,2024-06-05 00:00:00
1,1~2,16.25,59.91,7.54,28.42,0.40,0.11,9.78,3.78,1.66,80.09,6.06,20.72,53.31,1.21,2.71,0.17,60.57,37.08,95.88,2.22,2.50,2.53,4.29,0.78,167.40,5.56,65.38,75.88,2024-06-05 01:00:00
2,2~3,12.56,59.93,6.92,28.24,0.40,0.08,10.81,3.63,1.64,77.27,4.97,19.06,53.24,1.23,2.57,0.17,50.94,38.38,42.12,2.19,2.50,2.47,4.29,0.84,166.56,6.03,65.92,73.93,2024-06-05 02:00:00
3,3~4,8.12,59.56,7.20,28.00,0.41,0.12,10.38,3.68,1.62,74.76,5.28,16.84,52.64,1.14,2.53,0.16,45.72,27.67,37.19,2.28,2.56,2.69,4.30,1.14,164.15,6.19,64.17,73.76,2024-06-05 03:00:00
4,4~5,7.94,56.42,7.02,28.00,0.40,0.02,10.59,3.60,1.61,73.89,4.94,16.51,52.44,1.39,2.54,0.17,45.41,26.36,32.68,2.18,2.50,2.69,4.29,0.70,162.60,5.60,64.48,72.24,2024-06-05 04:00:00
5,5~6,7.69,57.00,6.95,28.29,0.21,0.02,10.54,3.46,1.50,75.01,4.41,17.27,53.33,1.57,2.47,0.17,38.28,29.61,32.16,2.22,2.44,2.75,2.32,0.88,161.68,5.68,63.24,72.57,2024-06-05 05:00:00
6,6~7,9.62,57.31,7.03,29.56,0.13,0.03,12.77,2.79,0.67,74.47,4.56,16.73,53.18,0.96,2.44,0.16,34.56,26.70,32.25,2.32,3.56,2.63,0.34,2.01,164.02,5.63,63.92,72.37,2024-06-05 06:00:00
7,7~8,7.88,57.72,6.98,35.01,0.13,0.03,14.85,2.77,0.59,76.99,4.84,18.09,54.06,1.13,2.40,0.17,32.83,26.43,70.66,2.28,3.81,2.90,0.00,2.94,167.76,7.03,63.35,73.88,2024-06-05 07:00:00
8,8~9,10.25,60.65,7.90,42.75,0.13,0.04,27.65,2.85,1.54,84.00,4.66,22.18,57.16,1.08,2.80,0.13,35.48,27.79,40.28,2.34,3.94,5.00,0.00,2.72,174.65,9.62,65.01,76.81,2024-06-05 08:00:00
9,9~10,9.81,75.78,8.88,48.03,0.13,0.09,34.89,3.86,1.59,96.94,7.16,26.22,63.56,1.15,2.55,0.00,33.99,25.39,38.03,2.53,3.95,7.94,0.00,2.73,189.93,12.66,71.42,80.69,2024-06-05 09:00:00
10,10~11,9.88,83.63,10.54,51.29,0.14,0.05,36.15,5.48,1.56,101.74,8.18,27.51,66.05,1.09,2.73,0.00,32.18,26.21,36.34,2.91,4.37,8.40,0.00,4.75,201.39,13.31,73.67,88.63,2024-06-05 10:00:00
11,11~12,13.56,86.37,11.20,52.72,0.13,0.03,38.57,5.18,1.57,103.58,8.00,29.31,66.27,1.08,2.77,0.00,35.38,29.38,59.04,3.09,3.81,8.69,0.00,11.48,205.33,13.10,74.59,91.68,2024-06-05 11:00:00
12,12~13,14.12,85.94,11.18,50.03,0.13,0.06,39.49,3.38,1.57,100.58,7.19,28.16,65.23,1.19,2.42,0.00,35.88,31.53,49.43,3.00,3.83,7.97,0.00,7.98,206.02,13.40,72.29,92.69,2024-06-05 12:00:00
13,13~14,14.13,84.16,11.22,52.62,0.14,0.06,51.39,3.49,1.55,103.26,10.37,27.77,65.12,1.16,2.57,0.00,31.90,30.29,42.78,2.78,3.57,8.16,0.01,6.29,213.85,11.15,74.79,99.56,2024-06-05 13:00:00
14,14~15,12.00,86.37,12.15,56.41,0.13,0.01,49.17,5.27,1.59,105.58,14.22,27.25,64.11,1.37,2.95,0.00,31.74,28.65,42.41,2.94,4.09,8.50,0.00,2.70,218.90,11.42,75.15,103.06,2024-06-05 14:00:00
15,15~16,11.37,88.00,13.71,55.38,0.14,0.05,44.24,4.63,1.60,102.40,9.66,28.06,64.68,1.07,2.83,0.00,30.54,34.91,39.93,2.97,4.27,9.15,0.00,7.77,222.84,12.49,77.54,102.88,2024-06-05 15:00:00
16,16~17,13.44,86.75,14.19,54.03,0.13,0.01,42.41,5.28,1.72,98.54,9.40,25.74,63.40,1.32,2.83,0.14,31.21,37.29,60.45,2.97,3.65,6.97,0.00,11.59,223.39,12.29,79.11,102.74,2024-06-05 16:00:00
17,17~18,18.13,83.91,12.47,50.10,0.14,0.03,70.73,5.58,1.65,97.11,8.76,23.49,64.86,1.20,3.07,0.17,39.13,35.24,128.90,3.06,3.58,4.97,0.30,2.24,213.61,10.87,76.02,100.07,2024-06-05 17:00:00
18,18~19,21.00,78.25,10.35,44.22,0.32,0.08,92.31,7.00,1.66,94.23,7.84,23.38,63.01,1.35,2.80,0.17,43.43,43.55,94.41,2.97,3.20,3.15,4.39,1.39,193.05,7.28,71.96,86.63,2024-06-05 18:00:00
19,19~20,19.56,71.66,9.61,37.20,0.40,0.10,85.33,7.05,1.66,91.63,9.69,22.75,59.19,1.57,3.57,0.17,46.36,42.77,56.28,2.81,2.95,2.82,4.37,1.13,188.94,7.47,69.80,86.56,2024-06-05 19:00:00
