,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,13.50,72.43,9.42,36.53,0.43,0.10,11.23,4.27,1.66,84.96,2.68,19.15,63.13,3.22,3.65,0.00,74.81,50.54,68.03,3.75,2.56,5.38,4.67,0.72,207.26,8.22,71.19,101.01,2024-07-30 00:00:00
1,1~2,10.43,70.75,9.29,35.55,0.44,0.10,12.70,3.98,1.69,82.24,2.82,18.09,61.33,1.63,3.75,0.00,67.41,43.84,65.84,3.25,2.56,4.94,4.61,0.99,206.42,8.40,71.11,100.30,2024-07-30 01:00:00
2,2~3,8.32,69.78,9.48,35.25,0.44,0.12,10.81,3.69,1.70,81.91,2.53,18.54,60.84,1.18,3.16,0.00,63.77,40.92,58.39,3.28,2.63,4.90,4.46,0.75,203.61,8.41,70.20,98.78,2024-07-30 02:00:00
3,3~4,7.50,70.47,9.27,35.48,0.44,0.04,11.00,3.75,1.66,80.54,2.43,18.34,59.77,1.16,3.77,0.00,60.16,37.47,53.12,3.13,2.56,5.35,4.60,1.18,201.71,8.16,69.30,98.25,2024-07-30 03:00:00
4,4~5,8.18,68.68,9.22,35.36,0.43,0.00,10.98,3.77,1.70,81.13,2.67,18.59,59.87,1.16,3.55,0.00,54.99,34.08,49.78,3.12,2.63,5.25,4.59,0.75,201.99,8.25,69.72,97.82,2024-07-30 04:00:00
5,5~6,10.82,68.88,9.11,36.23,0.32,0.01,10.47,3.72,1.60,78.99,2.77,17.72,58.50,1.07,2.76,0.00,49.78,34.03,47.53,3.06,2.62,5.11,1.69,1.07,200.89,8.21,68.83,97.67,2024-07-30 05:00:00
6,6~7,7.68,68.32,9.59,38.38,0.18,0.03,14.42,3.02,0.69,79.67,2.54,17.94,59.19,1.13,3.39,0.00,48.64,33.11,53.25,3.16,3.69,5.25,0.00,11.75,203.72,7.38,69.53,99.36,2024-07-30 06:00:00
7,7~8,8.94,72.68,9.60,45.94,0.17,0.11,18.34,2.60,0.69,85.21,2.21,18.91,64.09,1.42,3.80,0.00,49.27,32.61,82.84,3.19,3.87,6.63,0.00,13.40,218.78,12.12,70.85,104.18,2024-07-30 07:00:00
8,8~9,11.13,90.69,11.96,56.93,0.19,0.05,35.94,1.56,0.64,102.68,3.57,28.47,70.64,1.25,4.31,0.00,49.89,30.23,50.85,3.72,5.07,8.91,0.00,4.77,241.67,18.88,74.44,112.39,2024-07-30 08:00:00
9,9~10,12.75,123.69,14.16,66.46,0.19,0.06,62.36,8.89,0.67,115.71,4.12,32.89,78.70,1.39,3.92,0.00,44.18,27.44,41.03,3.96,5.37,9.78,0.00,4.43,276.24,27.28,85.39,120.20,2024-07-30 09:00:00
