Epoch |   LR   | Trn RMSE | Val RMSE | Trn R2 | Val R2 | Stop
-----------------------------------------------------------------
   47 | 0.0500 |   5.7212 |   6.5972 |  0.279 |  0.237 | 11/150
   48 | 0.0500 |   5.8185 |   5.7964 |  0.254 |  0.411 | 12/150
   49 | 0.0500 |   5.7680 |   5.7046 |  0.267 |  0.430 | 13/150
   50 | 0.0500 |   5.8291 |   5.6085 |  0.251 |  0.449 | 14/150
   51 | 0.0500 |   5.9231 |   6.0323 |  0.227 |  0.362 | 15/150
   52 | 0.0125 |   5.6972 |   5.6100 |  0.285 |  0.448 | 16/150
   53 | 0.0125 |   5.6838 |   5.6494 |  0.288 |  0.441 | 17/150
   54 | 0.0125 |   5.5491 |   5.4533 |  0.321 |  0.479 | 18/150
   55 | 0.0125 |   5.6187 |   5.4241 |  0.304 |  0.484 | 0/150
   56 | 0.0125 |   5.6561 |   5.4802 |  0.295 |  0.474 | 0/150
   57 | 0.0125 |   5.6568 |   5.4370 |  0.295 |  0.482 | 1/150
   58 | 0.0125 |   5.5679 |   5.3486 |  0.317 |  0.499 | 2/150
   59 | 0.0125 |   5.6683 |   5.4935 |  0.292 |  0.471 | 0/150
   60 | 0.0125 |   5.6368 |   5.4877 |  0.300 |  0.472 | 1/150
   61 | 0.0125 |   5.6769 |   5.5323 |  0.290 |  0.464 | 2/150
   62 | 0.0125 |   5.5032 |   5.5967 |  0.332 |  0.451 | 3/150
   63 | 0.0125 |   5.5705 |   5.4255 |  0.316 |  0.484 | 4/150
   64 | 0.0125 |   5.5684 |   5.4793 |  0.317 |  0.474 | 5/150
   65 | 0.0125 |   5.4971 |   5.6691 |  0.334 |  0.437 | 6/150
   66 | 0.0125 |   5.6203 |   5.4671 |  0.304 |  0.476 | 7/150
   67 | 0.0125 |   5.5782 |   5.5334 |  0.314 |  0.463 | 8/150
   68 | 0.0125 |   5.6140 |   5.5978 |  0.305 |  0.451 | 9/150
   69 | 0.0125 |   5.5028 |   5.4808 |  0.333 |  0.474 | 10/150
   70 | 0.0125 |   5.5761 |   5.3770 |  0.315 |  0.493 | 11/150
   71 | 0.0125 |   5.5587 |   5.8140 |  0.319 |  0.408 | 12/150
   72 | 0.0125 |   5.5652 |   5.3722 |  0.317 |  0.494 | 13/150
   73 | 0.0125 |   5.4670 |   5.5190 |  0.341 |  0.466 | 14/150
   74 | 0.0125 |   5.5164 |   5.3390 |  0.329 |  0.500 | 15/150
   75 | 0.0125 |   5.5207 |   5.3547 |  0.328 |  0.498 | 0/150
   76 | 0.0125 |   5.5486 |   5.4805 |  0.321 |  0.474 | 1/150
   77 | 0.0125 |   5.5646 |   5.4777 |  0.318 |  0.474 | 2/150
   78 | 0.0125 |   5.5884 |   5.4647 |  0.312 |  0.477 | 3/150
   79 | 0.0125 |   5.5280 |   5.5405 |  0.326 |  0.462 | 4/150
   80 | 0.0125 |   5.4197 |   5.4849 |  0.353 |  0.473 | 5/150
   81 | 0.0125 |   5.3759 |   5.5437 |  0.363 |  0.461 | 6/150
   82 | 0.0125 |   5.5043 |   5.3897 |  0.332 |  0.491 | 7/150
   83 | 0.0125 |   5.4407 |   5.3726 |  0.348 |  0.494 | 8/150
   84 | 0.0125 |   5.4891 |   5.5764 |  0.336 |  0.455 | 9/150
   85 | 0.0125 |   5.5334 |   5.4880 |  0.325 |  0.472 | 10/150
   86 | 0.0125 |   5.4274 |   5.4521 |  0.351 |  0.479 | 11/150
   87 | 0.0125 |   5.4185 |   5.4939 |  0.353 |  0.471 | 12/150
   88 | 0.0125 |   5.5110 |   5.6954 |  0.331 |  0.432 | 13/150
   89 | 0.0125 |   5.5232 |   5.6004 |  0.328 |  0.450 | 14/150
   90 | 0.0125 |   5.4346 |   5.4191 |  0.349 |  0.485 | 15/150
   91 | 0.0031 |   5.5928 |   5.4111 |  0.311 |  0.487 | 16/150
   92 | 0.0031 |   5.4312 |   5.5564 |  0.350 |  0.459 | 17/150
   93 | 0.0031 |   5.3346 |   5.4325 |  0.373 |  0.483 | 18/150
   94 | 0.0031 |   5.4459 |   5.5193 |  0.346 |  0.466 | 19/150
   95 | 0.0031 |   5.4315 |   5.4246 |  0.350 |  0.484 | 20/150
   96 | 0.0031 |   5.4813 |   5.4377 |  0.338 |  0.482 | 21/150
   97 | 0.0031 |   5.4584 |   5.4032 |  0.343 |  0.488 | 22/150
   98 | 0.0031 |   5.4282 |   5.4641 |  0.351 |  0.477 | 23/150
   99 | 0.0031 |   5.4147 |   5.3451 |  0.354 |  0.499 | 24/150
  100 | 0.0031 |   5.4294 |   5.3480 |  0.350 |  0.499 | 25/150
  101 | 0.0031 |   5.3796 |   5.3951 |  0.362 |  0.490 | 26/150
  102 | 0.0031 |   5.3932 |   5.3884 |  0.359 |  0.491 | 27/150
  103 | 0.0031 |   5.4593 |   5.5520 |  0.343 |  0.460 | 28/150
  104 | 0.0031 |   5.4517 |   5.2980 |  0.345 |  0.508 | 29/150
  105 | 0.0031 |   5.4320 |   5.3588 |  0.350 |  0.497 | 0/150
  106 | 0.0031 |   5.4564 |   5.3741 |  0.344 |  0.494 | 1/150
  107 | 0.0031 |   5.5327 |   5.4005 |  0.325 |  0.489 | 2/150
  108 | 0.0031 |   5.3773 |   5.3497 |  0.363 |  0.498 | 3/150
  109 | 0.0031 |   5.4712 |   5.3109 |  0.340 |  0.506 | 4/150
  110 | 0.0031 |   5.4404 |   5.4911 |  0.348 |  0.472 | 5/150
  111 | 0.0031 |   5.3774 |   5.3365 |  0.363 |  0.501 | 6/150
  112 | 0.0031 |   5.3682 |   5.3332 |  0.365 |  0.502 | 7/150
  113 | 0.0031 |   5.4097 |   5.4557 |  0.355 |  0.478 | 8/150
  114 | 0.0031 |   5.5298 |   5.3705 |  0.326 |  0.495 | 9/150
  115 | 0.0031 |   5.3922 |   5.2821 |  0.359 |  0.511 | 10/150
  116 | 0.0031 |   5.4053 |   5.5208 |  0.356 |  0.466 | 0/150
  117 | 0.0031 |   5.4225 |   5.4808 |  0.352 |  0.474 | 1/150
  118 | 0.0031 |   5.3857 |   5.4453 |  0.361 |  0.480 | 2/150
  119 | 0.0031 |   5.3217 |   5.4547 |  0.376 |  0.479 | 3/150
  120 | 0.0031 |   5.3643 |   5.4542 |  0.366 |  0.479 | 4/150
  121 | 0.0031 |   5.3628 |   5.2996 |  0.366 |  0.508 | 5/150
  122 | 0.0031 |   5.3116 |   5.3529 |  0.378 |  0.498 | 6/150
  123 | 0.0031 |   5.3280 |   5.4123 |  0.374 |  0.487 | 7/150
  124 | 0.0031 |   5.4659 |   5.2637 |  0.342 |  0.514 | 8/150
  125 | 0.0031 |   5.3903 |   5.2896 |  0.360 |  0.510 | 0/150
  126 | 0.0031 |   5.3020 |   5.2461 |  0.380 |  0.518 | 1/150
  127 | 0.0031 |   5.4063 |   5.1905 |  0.356 |  0.528 | 0/150
  128 | 0.0031 |   5.4205 |   5.2886 |  0.352 |  0.510 | 0/150
  129 | 0.0031 |   5.5266 |   5.3461 |  0.327 |  0.499 | 1/150
  130 | 0.0031 |   5.3118 |   5.1953 |  0.378 |  0.527 | 2/150
  131 | 0.0031 |   5.3635 |   5.3128 |  0.366 |  0.505 | 3/150
  132 | 0.0031 |   5.2376 |   5.2766 |  0.395 |  0.512 | 4/150
  133 | 0.0031 |   5.4257 |   5.3402 |  0.351 |  0.500 | 5/150
