datetime,stationA,stationB,total,Available
2024-02-08 06:00:00,24,20,44,44.0
2024-02-08 07:00:00,42,20,62,62.0
2024-02-08 08:00:00,24,22,46,46.0
2024-02-08 09:00:00,12,22,34,34.0
2024-02-08 10:00:00,14,20,34,34.0
2024-02-08 11:00:00,16,20,36,36.0
2024-02-08 12:00:00,18,20,38,38.0
2024-02-08 13:00:00,14,20,34,34.0
2024-02-08 14:00:00,38,20,58,58.0
2024-02-08 15:00:00,14,18,32,32.0
2024-02-08 16:00:00,12,20,32,32.0
2024-02-08 17:00:00,20,16,36,36.0
2024-02-08 18:00:00,20,16,36,36.0
2024-02-08 19:00:00,18,22,40,40.0
2024-02-08 20:00:00,18,22,40,40.0
2024-02-08 21:00:00,18,20,38,38.0
2024-02-08 22:00:00,38,20,58,58.0
2024-02-08 23:00:00,24,22,46,46.0
2024-02-09 00:00:00,24,22,46,46.0
2024-02-09 01:00:00,24,22,46,46.0
2024-02-09 02:00:00,24,22,46,46.0
2024-02-09 03:00:00,24,22,46,46.0
2024-02-09 04:00:00,24,22,46,46.0
2024-02-09 05:00:00,24,22,46,46.0
2024-02-09 06:00:00,22,22,44,44.0
2024-02-09 07:00:00,22,22,44,44.0
2024-02-09 08:00:00,22,22,44,44.0
2024-02-09 09:00:00,20,22,42,42.0
2024-02-09 10:00:00,22,22,44,44.0
2024-02-09 11:00:00,24,18,42,42.0
2024-02-09 12:00:00,22,18,40,40.0
2024-02-09 13:00:00,22,16,38,38.0
2024-02-09 14:00:00,20,16,36,36.0
2024-02-09 15:00:00,22,18,40,40.0
2024-02-09 16:00:00,18,16,34,34.0
2024-02-09 17:00:00,20,18,38,38.0
2024-02-09 18:00:00,20,20,40,40.0
2024-02-09 19:00:00,22,20,42,42.0
2024-02-09 20:00:00,24,20,44,44.0
2024-02-09 21:00:00,24,22,46,46.0
2024-02-09 22:00:00,20,22,42,42.0
2024-02-09 23:00:00,42,22,64,64.0
2024-02-10 00:00:00,20,22,42,42.0
2024-02-10 01:00:00,46,22,68,68.0
2024-02-10 02:00:00,46,22,68,68.0
2024-02-10 03:00:00,24,22,46,46.0
2024-02-10 04:00:00,46,22,68,68.0
2024-02-10 05:00:00,24,22,46,46.0
2024-02-10 06:00:00,22,22,44,44.0
2024-02-10 07:00:00,18,22,40,40.0
2024-02-10 08:00:00,20,22,42,42.0
2024-02-10 09:00:00,20,22,42,42.0
2024-02-10 10:00:00,20,22,42,42.0
2024-02-10 11:00:00,16,22,38,38.0
2024-02-10 12:00:00,22,20,42,42.0
2024-02-10 13:00:00,18,18,36,36.0
2024-02-10 14:00:00,20,16,36,36.0
2024-02-10 15:00:00,22,16,38,38.0
2024-02-10 16:00:00,22,16,38,38.0
2024-02-10 17:00:00,20,20,40,40.0
2024-02-10 18:00:00,20,16,36,36.0
2024-02-10 19:00:00,20,18,38,38.0
2024-02-10 20:00:00,22,20,42,42.0
2024-02-10 21:00:00,22,18,40,40.0
2024-02-10 22:00:00,22,16,38,38.0
2024-02-10 23:00:00,20,16,36,36.0
2024-02-11 00:00:00,22,16,38,38.0
2024-02-11 01:00:00,22,18,40,40.0
2024-02-11 02:00:00,22,22,44,44.0
2024-02-11 03:00:00,22,22,44,44.0
2024-02-11 04:00:00,44,22,66,66.0
2024-02-11 05:00:00,44,20,64,64.0
2024-02-11 06:00:00,24,20,44,44.0
2024-02-11 07:00:00,24,20,44,44.0
2024-02-11 08:00:00,24,22,46,46.0
2024-02-11 09:00:00,24,22,46,46.0
2024-02-11 10:00:00,18,22,40,40.0
2024-02-11 11:00:00,14,18,32,32.0
2024-02-11 12:00:00,18,18,36,36.0
2024-02-11 13:00:00,20,18,38,38.0
2024-02-11 14:00:00,20,14,34,34.0
2024-02-11 15:00:00,20,16,36,36.0
2024-02-11 16:00:00,16,16,32,32.0
2024-02-11 17:00:00,20,20,40,40.0
2024-02-11 18:00:00,20,16,36,36.0
2024-02-11 19:00:00,16,20,36,36.0
2024-02-11 20:00:00,20,18,38,38.0
2024-02-11 21:00:00,22,20,42,42.0
2024-02-11 22:00:00,20,18,38,38.0
2024-02-11 23:00:00,18,20,38,38.0
2024-02-12 00:00:00,42,20,62,62.0
2024-02-12 01:00:00,24,22,46,46.0
2024-02-12 02:00:00,22,22,44,44.0
2024-02-12 03:00:00,22,22,44,44.0
2024-02-12 04:00:00,22,20,42,42.0
2024-02-12 05:00:00,24,22,46,46.0
2024-02-12 06:00:00,24,24,48,48.0
2024-02-12 07:00:00,24,24,48,48.0
2024-02-12 08:00:00,42,24,66,66.0
2024-02-12 09:00:00,22,18,40,40.0
2024-02-12 10:00:00,22,18,40,40.0
2024-02-12 11:00:00,22,18,40,40.0
2024-02-12 12:00:00,22,18,40,40.0
2024-02-12 13:00:00,20,16,36,36.0
2024-02-12 14:00:00,20,18,38,38.0
2024-02-12 15:00:00,40,18,58,58.0
2024-02-12 16:00:00,24,18,42,42.0
2024-02-12 17:00:00,20,20,40,40.0
2024-02-12 18:00:00,22,22,44,44.0
2024-02-12 19:00:00,20,20,40,40.0
2024-02-12 20:00:00,20,22,42,42.0
2024-02-12 21:00:00,20,22,42,42.0
2024-02-12 22:00:00,20,20,40,40.0
2024-02-12 23:00:00,20,20,40,40.0
2024-02-13 00:00:00,20,18,38,38.0
2024-02-13 01:00:00,20,20,40,40.0
2024-02-13 02:00:00,20,22,42,42.0
2024-02-13 03:00:00,18,22,40,40.0
2024-02-13 04:00:00,20,22,42,42.0
2024-02-13 05:00:00,22,22,44,44.0
2024-02-13 06:00:00,22,22,44,44.0
2024-02-13 07:00:00,20,22,42,42.0
2024-02-13 08:00:00,20,20,40,40.0
