datetime,stationA,stationB,total,Available
2024-02-23 04:00:00,12,20,32,32.0
2024-02-23 05:00:00,12,22,34,34.0
2024-02-23 06:00:00,10,24,34,34.0
2024-02-23 07:00:00,6,22,28,28.0
2024-02-23 08:00:00,2,16,18,18.0
2024-02-23 09:00:00,2,4,6,6.0
2024-02-23 10:00:00,8,12,20,20.0
2024-02-23 11:00:00,4,14,18,18.0
2024-02-23 12:00:00,8,18,26,26.0
2024-02-23 13:00:00,6,22,28,28.0
2024-02-23 14:00:00,8,24,32,32.0
2024-02-23 15:00:00,8,16,24,24.0
2024-02-23 16:00:00,8,14,22,22.0
2024-02-23 17:00:00,10,16,26,26.0
2024-02-23 18:00:00,2,2,4,4.0
2024-02-23 19:00:00,2,10,12,12.0
2024-02-23 20:00:00,6,12,18,18.0
2024-02-23 21:00:00,8,16,24,24.0
2024-02-23 22:00:00,10,14,24,24.0
2024-02-23 23:00:00,6,18,24,24.0
2024-02-24 00:00:00,6,20,26,26.0
2024-02-24 01:00:00,6,18,24,24.0
2024-02-24 02:00:00,8,20,28,28.0
2024-02-24 03:00:00,12,22,34,34.0
2024-02-24 04:00:00,12,20,32,32.0
2024-02-24 05:00:00,14,22,36,36.0
2024-02-24 06:00:00,16,20,36,36.0
2024-02-24 07:00:00,14,14,28,28.0
2024-02-24 08:00:00,16,16,32,32.0
2024-02-24 09:00:00,12,16,28,28.0
2024-02-24 10:00:00,8,14,22,22.0
2024-02-24 11:00:00,4,12,16,16.0
2024-02-24 12:00:00,2,16,18,18.0
2024-02-24 13:00:00,4,10,14,14.0
2024-02-24 14:00:00,10,12,22,22.0
2024-02-24 15:00:00,12,18,30,30.0
2024-02-24 16:00:00,8,16,24,24.0
2024-02-24 17:00:00,4,16,20,20.0
2024-02-24 18:00:00,4,12,16,16.0
2024-02-24 19:00:00,0,16,16,16.0
2024-02-24 20:00:00,8,14,22,22.0
2024-02-24 21:00:00,12,12,24,24.0
2024-02-24 22:00:00,10,16,26,26.0
2024-02-24 23:00:00,10,18,28,28.0
2024-02-25 00:00:00,8,18,26,26.0
2024-02-25 01:00:00,12,20,32,32.0
2024-02-25 02:00:00,12,20,32,32.0
2024-02-25 03:00:00,16,22,38,38.0
2024-02-25 04:00:00,0,20,20,20.0
2024-02-25 05:00:00,16,22,38,38.0
2024-02-25 06:00:00,16,22,38,38.0
2024-02-25 07:00:00,16,20,36,36.0
2024-02-25 08:00:00,16,20,36,36.0
2024-02-25 09:00:00,12,20,32,32.0
2024-02-25 10:00:00,8,20,28,28.0
2024-02-25 11:00:00,6,12,18,18.0
2024-02-25 12:00:00,10,14,24,24.0
2024-02-25 13:00:00,14,20,34,34.0
2024-02-25 14:00:00,10,18,28,28.0
2024-02-25 15:00:00,10,20,30,30.0
2024-02-25 16:00:00,14,22,36,36.0
2024-02-25 17:00:00,10,18,28,28.0
2024-02-25 18:00:00,10,18,28,28.0
2024-02-25 19:00:00,8,18,26,26.0
2024-02-25 20:00:00,12,18,30,30.0
2024-02-25 21:00:00,10,20,30,30.0
2024-02-25 22:00:00,6,18,24,24.0
2024-02-25 23:00:00,8,20,28,28.0
2024-02-26 00:00:00,8,24,32,32.0
2024-02-26 01:00:00,8,24,32,32.0
2024-02-26 02:00:00,8,24,32,32.0
2024-02-26 03:00:00,8,24,32,32.0
2024-02-26 04:00:00,8,24,32,32.0
2024-02-26 05:00:00,,24,,37.0
2024-02-26 06:00:00,,,,37.0
2024-02-26 07:00:00,,,,27.0
2024-02-26 08:00:00,,,,15.0
2024-02-26 09:00:00,,,,5.0
2024-02-26 10:00:00,,,,11.0
2024-02-26 11:00:00,,,,23.0
2024-02-26 12:00:00,,,,26.0
2024-02-26 13:00:00,,,,20.0
2024-02-26 14:00:00,,,,28.0
2024-02-26 15:00:00,,,,35.0
2024-02-26 16:00:00,,,,22.0
2024-02-26 17:00:00,,,,26.0
2024-02-26 18:00:00,,,,16.0
2024-02-26 19:00:00,,,,9.0
2024-02-26 20:00:00,,,,14.0
2024-02-26 21:00:00,,,,20.0
2024-02-26 22:00:00,,,,23.0
2024-02-26 23:00:00,,,,20.0
2024-02-27 00:00:00,,,,25.0
2024-02-27 01:00:00,,,,31.0
2024-02-27 02:00:00,,,,35.0
2024-02-27 03:00:00,,,,43.0
2024-02-27 04:00:00,,,,37.0
2024-02-27 05:00:00,,,,36.0
2024-02-27 06:00:00,,,,39.0
2024-02-27 07:00:00,,,,34.0
2024-02-27 08:00:00,,,,20.0
2024-02-27 09:00:00,,,,7.0
2024-02-27 10:00:00,,,,16.0
2024-02-27 11:00:00,,,,21.0
2024-02-27 12:00:00,,,,23.0
2024-02-27 13:00:00,,,,24.0
2024-02-27 14:00:00,,,,24.0
2024-02-27 15:00:00,,,,13.0
2024-02-27 16:00:00,,,,20.0
2024-02-27 17:00:00,,,,22.0
2024-02-27 18:00:00,,,,12.0
2024-02-27 19:00:00,,,,9.0
2024-02-27 20:00:00,,,,19.0
2024-02-27 21:00:00,,,,22.0
2024-02-27 22:00:00,,,,21.0
2024-02-27 23:00:00,,,,23.0
2024-02-28 00:00:00,,,,24.0
2024-02-28 01:00:00,,,,28.0
2024-02-28 02:00:00,,,,34.0
2024-02-28 03:00:00,,,,36.0
2024-02-28 04:00:00,,,,37.0
2024-02-28 05:00:00,,,,36.0
2024-02-28 06:00:00,,,,32.0
2024-02-28 07:00:00,,,,31.0
2024-02-28 08:00:00,,,,22.0
2024-02-28 09:00:00,,,,6.0
2024-02-28 10:00:00,,,,13.0
2024-02-28 11:00:00,,,,14.0
2024-02-28 12:00:00,,,,21.0
2024-02-28 13:00:00,,,,27.0
2024-02-28 14:00:00,,,,22.0
2024-02-28 15:00:00,,,,29.0
2024-02-28 16:00:00,,,,31.0
2024-02-28 17:00:00,,,,27.0
2024-02-28 18:00:00,,,,22.0
2024-02-28 19:00:00,,,,19.0
2024-02-28 20:00:00,,,,24.0
2024-02-28 21:00:00,,,,24.0
2024-02-28 22:00:00,,,,20.0
2024-02-28 23:00:00,,,,21.0
2024-02-29 00:00:00,,,,24.0
2024-02-29 01:00:00,,,,27.0
2024-02-29 02:00:00,,,,34.0
2024-02-29 03:00:00,,,,35.0
2024-02-29 04:00:00,,,,36.0
2024-02-29 05:00:00,,,,36.0
2024-02-29 06:00:00,,,,35.0
2024-02-29 07:00:00,,,,31.0
2024-02-29 08:00:00,,,,21.0
2024-02-29 09:00:00,,,,5.0
2024-02-29 10:00:00,,,,18.0
2024-02-29 11:00:00,,,,21.0
2024-02-29 12:00:00,,,,33.0
2024-02-29 13:00:00,,,,20.0
2024-02-29 14:00:00,,,,17.0
2024-02-29 15:00:00,,,,24.0
2024-02-29 16:00:00,,,,23.0
2024-02-29 17:00:00,,,,23.0
2024-02-29 18:00:00,,,,20.0
2024-02-29 19:00:00,,,,20.0
2024-02-29 20:00:00,,,,12.0
2024-02-29 21:00:00,,,,24.0
2024-02-29 22:00:00,,,,18.0
2024-02-29 23:00:00,,,,18.0
2024-03-01 00:00:00,,,,19.0
2024-03-01 01:00:00,,,,24.0
2024-03-01 02:00:00,,,,37.0
2024-03-01 03:00:00,,,,29.0
2024-03-01 04:00:00,,,,31.0
2024-03-01 05:00:00,,,,32.0
2024-03-01 06:00:00,,,,34.0
2024-03-01 07:00:00,,,,30.0
2024-03-01 08:00:00,,,,15.0
2024-03-01 09:00:00,,,,4.0
2024-03-01 10:00:00,,,,16.0
2024-03-01 11:00:00,,,,16.0
2024-03-01 12:00:00,,,,17.0
2024-03-01 13:00:00,,,,15.0
2024-03-01 14:00:00,,,,24.0
2024-03-01 15:00:00,,,,16.0
2024-03-01 16:00:00,,,,19.0
2024-03-01 17:00:00,,,,20.0
2024-03-01 18:00:00,,,,18.0
2024-03-01 19:00:00,,,,10.0
2024-03-01 20:00:00,,,,14.0
2024-03-01 21:00:00,,,,17.0
2024-03-01 22:00:00,,,,17.0
2024-03-01 23:00:00,,,,18.0
2024-03-02 00:00:00,,,,15.0
2024-03-02 01:00:00,,,,18.0
2024-03-02 02:00:00,,,,20.0
2024-03-02 03:00:00,,,,29.0
2024-03-02 04:00:00,,,,28.0
2024-03-02 05:00:00,,,,31.0
2024-03-02 06:00:00,,,,31.0
2024-03-02 07:00:00,,,,25.0
2024-03-02 08:00:00,,,,27.0
2024-03-02 09:00:00,,,,20.0
2024-03-02 10:00:00,,,,19.0
2024-03-02 11:00:00,,,,17.0
2024-03-02 12:00:00,,,,16.0
2024-03-02 13:00:00,,,,15.0
2024-03-02 14:00:00,,,,19.0
2024-03-02 15:00:00,,,,17.0
2024-03-02 16:00:00,,,,20.0
2024-03-02 17:00:00,,,,15.0
2024-03-02 18:00:00,,,,13.0
2024-03-02 19:00:00,,,,18.0
2024-03-02 20:00:00,,,,29.0
2024-03-02 21:00:00,,,,19.0
2024-03-02 22:00:00,,,,20.0
2024-03-02 23:00:00,,,,22.0
2024-03-03 00:00:00,,,,29.0
2024-03-03 01:00:00,,,,35.0
2024-03-03 02:00:00,,,,35.0
2024-03-03 03:00:00,,,,30.0
2024-03-03 04:00:00,16,,,19.0
2024-03-03 05:00:00,16,24,40,40.0
2024-03-03 06:00:00,16,24,40,40.0
2024-03-03 07:00:00,16,24,40,40.0
2024-03-03 08:00:00,16,24,40,40.0
2024-03-03 09:00:00,16,24,40,40.0
2024-03-03 10:00:00,14,20,34,34.0
2024-03-03 11:00:00,4,16,20,20.0
2024-03-03 12:00:00,8,12,20,20.0
2024-03-03 13:00:00,10,16,26,26.0
2024-03-03 14:00:00,6,22,28,28.0
2024-03-03 15:00:00,10,22,32,32.0
2024-03-03 16:00:00,8,22,30,30.0
2024-03-03 17:00:00,10,22,32,32.0
2024-03-03 18:00:00,12,16,28,28.0
2024-03-03 19:00:00,8,14,22,22.0
2024-03-03 20:00:00,8,12,20,20.0
2024-03-03 21:00:00,8,10,18,18.0
2024-03-03 22:00:00,4,12,16,16.0
2024-03-03 23:00:00,8,18,26,26.0
2024-03-04 00:00:00,14,18,32,32.0
2024-03-04 01:00:00,10,14,24,24.0
2024-03-04 02:00:00,10,14,24,24.0
2024-03-04 03:00:00,10,18,28,28.0
2024-03-04 04:00:00,12,18,30,30.0
2024-03-04 05:00:00,12,22,34,34.0
2024-03-04 06:00:00,14,20,34,34.0
2024-03-04 07:00:00,6,16,22,22.0
2024-03-04 08:00:00,8,6,14,14.0
2024-03-04 09:00:00,0,4,4,4.0
2024-03-04 10:00:00,2,6,8,8.0
2024-03-04 11:00:00,10,16,26,26.0
2024-03-04 12:00:00,12,12,24,24.0
2024-03-04 13:00:00,6,12,18,18.0
2024-03-04 14:00:00,10,18,28,28.0
2024-03-04 15:00:00,26,16,42,42.0
2024-03-04 16:00:00,4,16,20,20.0
2024-03-04 17:00:00,6,20,26,26.0
2024-03-04 18:00:00,2,10,12,12.0
2024-03-04 19:00:00,2,2,4,4.0
2024-03-04 20:00:00,10,6,16,16.0
2024-03-04 21:00:00,4,14,18,18.0
2024-03-04 22:00:00,4,12,16,16.0
2024-03-04 23:00:00,0,10,10,10.0
2024-03-05 00:00:00,2,12,14,14.0
2024-03-05 01:00:00,8,18,26,26.0
2024-03-05 02:00:00,12,20,32,32.0
2024-03-05 03:00:00,30,22,52,52.0
2024-03-05 04:00:00,16,22,38,38.0
2024-03-05 05:00:00,12,22,34,34.0
2024-03-05 06:00:00,16,22,38,38.0
2024-03-05 07:00:00,14,22,36,36.0
2024-03-05 08:00:00,10,16,26,26.0
2024-03-05 09:00:00,0,6,6,6.0
2024-03-05 10:00:00,2,16,18,18.0
2024-03-05 11:00:00,4,12,16,16.0
2024-03-05 12:00:00,4,14,18,18.0
2024-03-05 13:00:00,14,12,26,26.0
2024-03-05 14:00:00,6,18,24,24.0
2024-03-05 15:00:00,0,8,8,8.0
2024-03-05 16:00:00,4,18,22,22.0
2024-03-05 17:00:00,4,20,24,24.0
2024-03-05 18:00:00,4,8,12,12.0
2024-03-05 19:00:00,0,4,4,4.0
2024-03-05 20:00:00,4,14,18,18.0
2024-03-05 21:00:00,4,20,24,24.0
2024-03-05 22:00:00,10,14,24,24.0
2024-03-05 23:00:00,4,16,20,20.0
2024-03-06 00:00:00,2,18,20,20.0
2024-03-06 01:00:00,2,22,24,24.0
2024-03-06 02:00:00,12,20,32,32.0
2024-03-06 03:00:00,12,22,34,34.0
2024-03-06 04:00:00,12,22,34,34.0
2024-03-06 05:00:00,14,20,34,34.0
2024-03-06 06:00:00,8,20,28,28.0
2024-03-06 07:00:00,8,20,28,28.0
2024-03-06 08:00:00,4,18,22,22.0
2024-03-06 09:00:00,4,0,4,4.0
2024-03-06 10:00:00,0,10,10,10.0
2024-03-06 11:00:00,4,12,16,16.0
2024-03-06 12:00:00,6,12,18,18.0
2024-03-06 13:00:00,8,14,22,22.0
2024-03-06 14:00:00,4,14,18,18.0
2024-03-06 15:00:00,8,18,26,26.0
2024-03-06 16:00:00,8,20,28,28.0
2024-03-06 17:00:00,10,18,28,28.0
2024-03-06 18:00:00,6,12,18,18.0
2024-03-06 19:00:00,8,8,16,16.0
2024-03-06 20:00:00,12,14,26,26.0
2024-03-06 21:00:00,8,18,26,26.0
2024-03-06 22:00:00,8,10,18,18.0
2024-03-06 23:00:00,8,12,20,20.0
2024-03-07 00:00:00,10,14,24,24.0
2024-03-07 01:00:00,12,14,26,26.0
2024-03-07 02:00:00,12,18,30,30.0
2024-03-07 03:00:00,12,18,30,30.0
2024-03-07 04:00:00,12,20,32,32.0
2024-03-07 05:00:00,12,20,32,32.0
2024-03-07 06:00:00,12,20,32,32.0
2024-03-07 07:00:00,12,18,30,30.0
2024-03-07 08:00:00,8,16,24,24.0
2024-03-07 09:00:00,2,2,4,4.0
2024-03-07 10:00:00,2,18,20,20.0
2024-03-07 11:00:00,8,14,22,22.0
2024-03-07 12:00:00,26,18,44,44.0
2024-03-07 13:00:00,4,12,16,16.0
2024-03-07 14:00:00,6,8,14,14.0
2024-03-07 15:00:00,10,16,26,26.0
2024-03-07 16:00:00,8,16,24,24.0
2024-03-07 17:00:00,10,12,22,22.0
2024-03-07 18:00:00,10,14,24,24.0
2024-03-07 19:00:00,12,12,24,24.0
2024-03-07 20:00:00,0,10,10,10.0
2024-03-07 21:00:00,20,14,34,34.0
2024-03-07 22:00:00,2,16,18,18.0
2024-03-07 23:00:00,0,16,16,16.0
2024-03-08 00:00:00,2,12,14,14.0
2024-03-08 01:00:00,8,16,24,24.0
2024-03-08 02:00:00,26,22,48,48.0
2024-03-08 03:00:00,8,22,30,30.0
2024-03-08 04:00:00,10,20,30,30.0
2024-03-08 05:00:00,10,20,30,30.0
2024-03-08 06:00:00,14,20,34,34.0
2024-03-08 07:00:00,12,20,32,32.0
2024-03-08 08:00:00,0,12,12,12.0
2024-03-08 09:00:00,0,2,2,2.0
2024-03-08 10:00:00,2,10,12,12.0
2024-03-08 11:00:00,0,14,14,14.0
2024-03-08 12:00:00,0,8,8,8.0
2024-03-08 13:00:00,0,2,2,2.0
2024-03-08 14:00:00,6,10,16,16.0
2024-03-08 15:00:00,0,8,8,8.0
2024-03-08 16:00:00,2,14,16,16.0
2024-03-08 17:00:00,4,10,14,14.0
2024-03-08 18:00:00,18,14,32,32.0
2024-03-08 19:00:00,0,8,8,8.0
2024-03-08 20:00:00,2,8,10,10.0
2024-03-08 21:00:00,0,10,10,10.0
2024-03-08 22:00:00,4,6,10,10.0
2024-03-08 23:00:00,2,10,12,12.0
2024-03-09 00:00:00,0,4,4,4.0
2024-03-09 01:00:00,4,8,12,12.0
2024-03-09 02:00:00,4,8,12,12.0
2024-03-09 03:00:00,6,18,24,24.0
2024-03-09 04:00:00,6,18,24,24.0
2024-03-09 05:00:00,8,18,26,26.0
2024-03-09 06:00:00,8,18,26,26.0
2024-03-09 07:00:00,6,16,22,22.0
2024-03-09 08:00:00,6,16,22,22.0
2024-03-09 09:00:00,0,12,12,12.0
2024-03-09 10:00:00,2,14,16,16.0
2024-03-09 11:00:00,6,12,18,18.0
2024-03-09 12:00:00,2,12,14,14.0
2024-03-09 13:00:00,6,10,16,16.0
2024-03-09 14:00:00,2,14,16,16.0
2024-03-09 15:00:00,2,2,4,4.0
2024-03-09 16:00:00,8,8,16,16.0
2024-03-09 17:00:00,2,8,10,10.0
2024-03-09 18:00:00,6,4,10,10.0
2024-03-09 19:00:00,10,10,20,20.0
2024-03-09 20:00:00,24,12,36,36.0
2024-03-09 21:00:00,2,12,14,14.0
2024-03-09 22:00:00,2,12,14,14.0
2024-03-09 23:00:00,6,10,16,16.0
2024-03-10 00:00:00,22,10,32,32.0
2024-03-10 01:00:00,22,16,38,38.0
2024-03-10 02:00:00,22,16,38,38.0
2024-03-10 03:00:00,6,16,22,22.0
2024-03-10 04:00:00,4,14,18,18.0
2024-03-10 05:00:00,6,16,22,22.0
2024-03-10 06:00:00,10,16,26,26.0
2024-03-10 07:00:00,8,18,26,26.0
2024-03-10 08:00:00,2,14,16,16.0
2024-03-10 09:00:00,6,12,18,18.0
2024-03-10 10:00:00,0,14,14,14.0
2024-03-10 11:00:00,4,12,16,16.0
2024-03-10 12:00:00,0,10,10,10.0
2024-03-10 13:00:00,4,14,18,18.0
2024-03-10 14:00:00,4,14,18,18.0
2024-03-10 15:00:00,2,12,14,14.0
2024-03-10 16:00:00,4,12,16,16.0
2024-03-10 17:00:00,2,18,20,20.0
2024-03-10 18:00:00,6,14,20,20.0
2024-03-10 19:00:00,10,12,22,22.0
2024-03-10 20:00:00,4,18,22,22.0
2024-03-10 21:00:00,4,12,16,16.0
2024-03-10 22:00:00,8,10,18,18.0
2024-03-10 23:00:00,0,18,18,18.0
2024-03-11 00:00:00,4,22,26,26.0
2024-03-11 01:00:00,6,24,30,30.0
2024-03-11 02:00:00,2,20,22,22.0
2024-03-11 03:00:00,4,20,24,24.0
2024-03-11 04:00:00,6,20,26,26.0
2024-03-11 05:00:00,10,22,32,32.0
2024-03-11 06:00:00,10,20,30,30.0
2024-03-11 07:00:00,8,22,30,30.0
2024-03-11 08:00:00,2,20,22,22.0
2024-03-11 09:00:00,0,2,2,2.0
2024-03-11 10:00:00,0,0,0,0.0
2024-03-11 11:00:00,6,18,24,24.0
2024-03-11 12:00:00,8,22,30,30.0
2024-03-11 13:00:00,8,20,28,28.0
2024-03-11 14:00:00,8,18,26,26.0
2024-03-11 15:00:00,6,20,26,26.0
2024-03-11 16:00:00,6,20,26,26.0
2024-03-11 17:00:00,26,22,48,48.0
2024-03-11 18:00:00,34,24,58,58.0
2024-03-11 19:00:00,4,20,24,24.0
2024-03-11 20:00:00,4,20,24,24.0
2024-03-11 21:00:00,10,18,28,28.0
2024-03-11 22:00:00,8,18,26,26.0
2024-03-11 23:00:00,8,22,30,30.0
2024-03-12 00:00:00,8,22,30,30.0
2024-03-12 01:00:00,12,22,34,34.0
2024-03-12 02:00:00,10,22,32,32.0
2024-03-12 03:00:00,14,20,34,34.0
2024-03-12 04:00:00,14,20,34,34.0
2024-03-12 05:00:00,16,18,34,34.0
2024-03-12 06:00:00,16,18,34,34.0
2024-03-12 07:00:00,14,22,36,36.0
2024-03-12 08:00:00,22,14,36,36.0
2024-03-12 09:00:00,0,4,4,4.0
2024-03-12 10:00:00,0,8,8,8.0
2024-03-12 11:00:00,0,8,8,8.0
2024-03-12 12:00:00,0,12,12,12.0
2024-03-12 13:00:00,2,12,14,14.0
2024-03-12 14:00:00,0,8,8,8.0
2024-03-12 15:00:00,2,8,10,10.0
2024-03-12 16:00:00,2,8,10,10.0
2024-03-12 17:00:00,2,8,10,10.0
2024-03-12 18:00:00,2,10,12,12.0
2024-03-12 19:00:00,2,10,12,12.0
2024-03-12 20:00:00,0,12,12,12.0
2024-03-12 21:00:00,10,16,26,26.0
2024-03-12 22:00:00,2,12,14,14.0
2024-03-12 23:00:00,4,10,14,14.0
2024-03-13 00:00:00,2,14,16,16.0
2024-03-13 01:00:00,2,14,16,16.0
2024-03-13 02:00:00,2,14,16,16.0
2024-03-13 03:00:00,8,24,32,32.0
2024-03-13 04:00:00,8,24,32,32.0
2024-03-13 05:00:00,8,22,30,30.0
2024-03-13 06:00:00,10,22,32,32.0
2024-03-13 07:00:00,10,24,34,34.0
2024-03-13 08:00:00,6,20,26,26.0
2024-03-13 09:00:00,0,16,16,16.0
2024-03-13 10:00:00,0,2,2,2.0
2024-03-13 11:00:00,2,10,12,12.0
2024-03-13 12:00:00,4,8,12,12.0
2024-03-13 13:00:00,0,16,16,16.0
2024-03-13 14:00:00,2,12,14,14.0
2024-03-13 15:00:00,4,18,22,22.0
2024-03-13 16:00:00,6,20,26,26.0
2024-03-13 17:00:00,6,20,26,26.0
2024-03-13 18:00:00,6,18,24,24.0
2024-03-13 19:00:00,2,16,18,18.0
2024-03-13 20:00:00,2,0,2,2.0
2024-03-13 21:00:00,2,14,16,16.0
2024-03-13 22:00:00,4,16,20,20.0
2024-03-13 23:00:00,2,16,18,18.0
2024-03-14 00:00:00,2,16,18,18.0
2024-03-14 01:00:00,2,24,26,26.0
2024-03-14 02:00:00,6,20,26,26.0
2024-03-14 03:00:00,8,22,30,30.0
2024-03-14 04:00:00,10,22,32,32.0
2024-03-14 05:00:00,8,26,34,34.0
2024-03-14 06:00:00,8,24,32,32.0
2024-03-14 07:00:00,34,26,60,60.0
2024-03-14 08:00:00,4,24,28,28.0
2024-03-14 09:00:00,2,20,22,22.0
2024-03-14 10:00:00,4,4,8,8.0
2024-03-14 11:00:00,0,4,4,4.0
2024-03-14 12:00:00,4,18,22,22.0
2024-03-14 13:00:00,4,24,28,28.0
2024-03-14 14:00:00,2,24,26,26.0
2024-03-14 15:00:00,4,22,26,26.0
2024-03-14 16:00:00,2,24,26,26.0
2024-03-14 17:00:00,6,18,24,24.0
2024-03-14 18:00:00,2,18,20,20.0
2024-03-14 19:00:00,1,8,9,9.0
2024-03-14 20:00:00,2,2,4,4.0
2024-03-14 21:00:00,0,20,20,20.0
2024-03-14 22:00:00,5,10,15,15.0
2024-03-14 23:00:00,10,12,22,22.0
2024-03-15 00:00:00,0,12,12,12.0
2024-03-15 01:00:00,6,14,20,20.0
2024-03-15 02:00:00,10,16,26,26.0
2024-03-15 03:00:00,12,18,30,30.0
2024-03-15 04:00:00,12,22,34,34.0
2024-03-15 05:00:00,14,22,36,36.0
2024-03-15 06:00:00,14,22,36,36.0
2024-03-15 07:00:00,14,20,34,34.0
2024-03-15 08:00:00,1,6,7,7.0
2024-03-15 09:00:00,3,16,19,19.0
2024-03-15 10:00:00,7,8,15,15.0
2024-03-15 11:00:00,7,12,19,19.0
2024-03-15 12:00:00,3,12,15,15.0
2024-03-15 13:00:00,11,10,21,21.0
2024-03-15 14:00:00,13,2,15,15.0
2024-03-15 15:00:00,10,4,14,14.0
2024-03-15 16:00:00,11,2,13,13.0
2024-03-15 17:00:00,5,14,19,19.0
2024-03-15 18:00:00,3,18,21,21.0
2024-03-15 19:00:00,2,12,14,14.0
2024-03-15 20:00:00,3,6,9,9.0
2024-03-15 21:00:00,9,16,25,25.0
2024-03-15 22:00:00,1,10,11,11.0
2024-03-15 23:00:00,3,4,7,7.0
2024-03-16 00:00:00,7,8,15,15.0
2024-03-16 01:00:00,5,16,21,21.0
2024-03-16 02:00:00,4,8,12,12.0
2024-03-16 03:00:00,4,22,26,26.0
2024-03-16 04:00:00,13,20,33,33.0
2024-03-16 05:00:00,33,22,55,55.0
2024-03-16 06:00:00,12,20,32,32.0
2024-03-16 07:00:00,32,20,52,52.0
2024-03-16 08:00:00,11,20,31,31.0
2024-03-16 09:00:00,11,22,33,33.0
2024-03-16 10:00:00,10,20,30,30.0
2024-03-16 11:00:00,10,22,32,32.0
2024-03-16 12:00:00,3,8,11,11.0
2024-03-16 13:00:00,25,16,41,41.0
2024-03-16 14:00:00,2,8,10,10.0
2024-03-16 15:00:00,4,18,22,22.0
2024-03-16 16:00:00,9,6,15,15.0
2024-03-16 17:00:00,0,10,10,10.0
2024-03-16 18:00:00,8,8,16,16.0
2024-03-16 19:00:00,10,20,30,30.0
2024-03-16 20:00:00,10,18,28,28.0
2024-03-16 21:00:00,6,20,26,26.0
2024-03-16 22:00:00,6,16,22,22.0
2024-03-16 23:00:00,10,16,26,26.0
2024-03-17 00:00:00,4,14,18,18.0
2024-03-17 01:00:00,0,16,16,16.0
2024-03-17 02:00:00,0,18,18,18.0
2024-03-17 03:00:00,6,18,24,24.0
2024-03-17 04:00:00,11,24,35,35.0
2024-03-17 05:00:00,11,24,35,35.0
2024-03-17 06:00:00,9,22,31,31.0
2024-03-17 07:00:00,10,22,32,32.0
2024-03-17 08:00:00,11,22,33,33.0
2024-03-17 09:00:00,9,22,31,31.0
2024-03-17 10:00:00,12,22,34,34.0
2024-03-17 11:00:00,10,24,34,34.0
2024-03-17 12:00:00,6,20,26,26.0
2024-03-17 13:00:00,6,22,28,28.0
2024-03-17 14:00:00,6,18,24,24.0
2024-03-17 15:00:00,3,22,25,25.0
2024-03-17 16:00:00,9,22,31,31.0
2024-03-17 17:00:00,13,18,31,31.0
2024-03-17 18:00:00,4,18,22,22.0
2024-03-17 19:00:00,10,18,28,28.0
2024-03-17 20:00:00,19,16,35,35.0
2024-03-17 21:00:00,14,20,34,34.0
2024-03-17 22:00:00,13,10,23,23.0
2024-03-17 23:00:00,12,16,28,28.0
2024-03-18 00:00:00,17,18,35,35.0
2024-03-18 01:00:00,10,12,22,22.0
2024-03-18 02:00:00,12,18,30,30.0
2024-03-18 03:00:00,17,22,39,39.0
2024-03-18 04:00:00,41,24,65,65.0
2024-03-18 05:00:00,15,20,35,35.0
2024-03-18 06:00:00,35,22,57,57.0
2024-03-18 07:00:00,15,18,33,33.0
2024-03-18 08:00:00,1,10,11,11.0
2024-03-18 09:00:00,1,16,17,17.0
2024-03-18 10:00:00,-1,10,9,9.0
2024-03-18 11:00:00,7,22,29,29.0
2024-03-18 12:00:00,11,20,31,31.0
2024-03-18 13:00:00,11,14,25,25.0
2024-03-18 14:00:00,9,12,21,21.0
2024-03-18 15:00:00,7,18,25,25.0
2024-03-18 16:00:00,3,8,11,11.0
2024-03-18 17:00:00,3,20,23,23.0
2024-03-18 18:00:00,1,8,9,9.0
2024-03-18 19:00:00,1,2,3,3.0
2024-03-18 20:00:00,5,8,13,13.0
2024-03-18 21:00:00,11,16,27,27.0
2024-03-18 22:00:00,13,6,19,19.0
2024-03-18 23:00:00,9,12,21,21.0
2024-03-19 00:00:00,27,16,43,43.0
2024-03-19 01:00:00,17,20,37,37.0
2024-03-19 02:00:00,17,24,41,41.0
2024-03-19 03:00:00,19,24,43,43.0
2024-03-19 04:00:00,21,24,45,45.0
2024-03-19 05:00:00,21,22,43,43.0
2024-03-19 06:00:00,17,18,35,35.0
2024-03-19 07:00:00,15,22,37,37.0
2024-03-19 08:00:00,1,14,15,15.0
2024-03-19 09:00:00,3,14,17,17.0
2024-03-19 10:00:00,9,18,27,27.0
2024-03-19 11:00:00,17,22,39,39.0
2024-03-19 12:00:00,17,20,37,37.0
2024-03-19 13:00:00,17,12,29,29.0
2024-03-19 14:00:00,11,18,29,29.0
2024-03-19 15:00:00,9,18,27,27.0
2024-03-19 16:00:00,9,14,23,23.0
2024-03-19 17:00:00,19,16,35,35.0
2024-03-19 18:00:00,11,10,21,21.0
2024-03-19 19:00:00,5,10,15,15.0
2024-03-19 20:00:00,3,10,13,13.0
2024-03-19 21:00:00,9,12,21,21.0
2024-03-19 22:00:00,13,14,27,27.0
2024-03-19 23:00:00,13,14,27,27.0
2024-03-20 00:00:00,29,12,41,41.0
2024-03-20 01:00:00,17,14,31,31.0
2024-03-20 02:00:00,19,20,39,39.0
2024-03-20 03:00:00,19,20,39,39.0
2024-03-20 04:00:00,19,22,41,41.0
2024-03-20 05:00:00,19,20,39,39.0
