[INFO] Starting fresh run: mode=immediate_charging
============================================================
Starting series num: 0, Datetime Index: 10536
------------------------------------------------------------
Time 0, Vehicle 71: Current SOC 0.000, Target SOC 0.900, Delta SOC 0.580
Time 0, Vehicle 72: Current SOC 0.000, Target SOC 0.900, Delta SOC 0.300
Time 0, Vehicle 73: Current SOC 0.000, Target SOC 0.900, Delta SOC 0.490
Time 0, Vehicle 74: Current SOC 0.000, Target SOC 0.900, Delta SOC 0.430
Time 0, Vehicle 75: Current SOC 0.000, Target SOC 0.900, Delta SOC 0.410
Time 1, Vehicle 2: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 1, Vehicle 3: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 1, Vehicle 4: Current SOC 0.900, Target SOC 0.900, Delta SOC -0.000
Time 1, Vehicle 5: Current SOC 0.900, Target SOC 0.900, Delta SOC -0.000
Time 1, Vehicle 6: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 1, Vehicle 7: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 1, Vehicle 8: Current SOC 0.900, Target SOC 0.900, Delta SOC -0.000
Time 1, Vehicle 9: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 1, Vehicle 10: Current SOC 0.900, Target SOC 0.900, Delta SOC -0.000
Time 1, Vehicle 11: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 1, Vehicle 12: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 1, Vehicle 13: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 1, Vehicle 14: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 1, Vehicle 15: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 1, Vehicle 16: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 1, Vehicle 17: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 1, Vehicle 18: Current SOC 0.900, Target SOC 0.900, Delta SOC -0.000
Time 1, Vehicle 19: Current SOC 0.900, Target SOC 0.900, Delta SOC -0.000
Time 1, Vehicle 20: Current SOC 0.490, Target SOC 0.900, Delta SOC 0.410
Time 1, Vehicle 21: Current SOC 0.390, Target SOC 0.900, Delta SOC 0.510
Time 1, Vehicle 22: Current SOC 0.360, Target SOC 0.900, Delta SOC 0.540
Time 1, Vehicle 23: Current SOC 0.640, Target SOC 0.900, Delta SOC 0.260
Time 1, Vehicle 24: Current SOC 0.660, Target SOC 0.900, Delta SOC 0.240
Time 1, Vehicle 25: Current SOC 0.570, Target SOC 0.900, Delta SOC 0.330
Time 1, Vehicle 26: Current SOC 0.540, Target SOC 0.900, Delta SOC 0.360
Time 1, Vehicle 27: Current SOC 0.740, Target SOC 0.900, Delta SOC 0.160
Time 1, Vehicle 28: Current SOC 0.530, Target SOC 0.900, Delta SOC 0.370
Time 1, Vehicle 29: Current SOC 0.430, Target SOC 0.900, Delta SOC 0.470
Time 1, Vehicle 30: Current SOC 0.530, Target SOC 0.900, Delta SOC 0.370
Time 1, Vehicle 31: Current SOC 0.790, Target SOC 0.900, Delta SOC 0.110
Time 1, Vehicle 32: Current SOC 0.340, Target SOC 0.900, Delta SOC 0.560
Time 1, Vehicle 33: Current SOC 0.250, Target SOC 0.900, Delta SOC 0.650
Time 1, Vehicle 34: Current SOC 0.650, Target SOC 0.900, Delta SOC 0.250
Time 1, Vehicle 35: Current SOC 0.550, Target SOC 0.900, Delta SOC 0.350
Time 1, Vehicle 36: Current SOC 0.590, Target SOC 0.900, Delta SOC 0.310
Time 1, Vehicle 37: Current SOC 0.530, Target SOC 0.900, Delta SOC 0.370
Time 1, Vehicle 38: Current SOC 0.700, Target SOC 0.900, Delta SOC 0.200
Time 1, Vehicle 39: Current SOC 0.700, Target SOC 0.900, Delta SOC 0.200
Time 1, Vehicle 40: Current SOC 0.340, Target SOC 0.900, Delta SOC 0.560
Time 1, Vehicle 41: Current SOC 0.760, Target SOC 0.900, Delta SOC 0.140
Time 1, Vehicle 42: Current SOC 0.610, Target SOC 0.900, Delta SOC 0.290
Time 1, Vehicle 43: Current SOC 0.440, Target SOC 0.900, Delta SOC 0.460
Time 1, Vehicle 44: Current SOC 0.540, Target SOC 0.900, Delta SOC 0.360
Time 1, Vehicle 45: Current SOC 0.630, Target SOC 0.900, Delta SOC 0.270
Time 1, Vehicle 46: Current SOC 0.610, Target SOC 0.900, Delta SOC 0.290
Time 1, Vehicle 47: Current SOC 0.690, Target SOC 0.900, Delta SOC 0.210
Time 1, Vehicle 48: Current SOC 0.620, Target SOC 0.900, Delta SOC 0.280
Time 1, Vehicle 49: Current SOC 0.460, Target SOC 0.900, Delta SOC 0.440
Time 1, Vehicle 50: Current SOC 0.210, Target SOC 0.900, Delta SOC 0.690
Time 1, Vehicle 51: Current SOC 0.660, Target SOC 0.900, Delta SOC 0.240
Time 1, Vehicle 52: Current SOC 0.490, Target SOC 0.900, Delta SOC 0.410
Time 1, Vehicle 53: Current SOC 0.540, Target SOC 0.900, Delta SOC 0.360
Time 1, Vehicle 54: Current SOC 0.510, Target SOC 0.900, Delta SOC 0.390
Time 1, Vehicle 55: Current SOC 0.650, Target SOC 0.900, Delta SOC 0.250
Time 1, Vehicle 56: Current SOC 0.620, Target SOC 0.900, Delta SOC 0.280
Time 1, Vehicle 57: Current SOC 0.540, Target SOC 0.900, Delta SOC 0.360
Time 1, Vehicle 58: Current SOC 0.550, Target SOC 0.900, Delta SOC 0.350
Time 1, Vehicle 59: Current SOC 0.710, Target SOC 0.900, Delta SOC 0.190
Time 1, Vehicle 60: Current SOC 0.620, Target SOC 0.900, Delta SOC 0.280
Time 1, Vehicle 61: Current SOC 0.400, Target SOC 0.900, Delta SOC 0.500
Time 1, Vehicle 62: Current SOC 0.270, Target SOC 0.900, Delta SOC 0.630
Time 1, Vehicle 63: Current SOC 0.250, Target SOC 0.900, Delta SOC 0.650
Time 1, Vehicle 64: Current SOC 0.800, Target SOC 0.900, Delta SOC 0.100
Time 1, Vehicle 65: Current SOC 0.390, Target SOC 0.900, Delta SOC 0.510
Time 1, Vehicle 66: Current SOC 0.630, Target SOC 0.900, Delta SOC 0.270
Time 1, Vehicle 67: Current SOC 0.330, Target SOC 0.900, Delta SOC 0.570
Time 1, Vehicle 68: Current SOC 0.340, Target SOC 0.900, Delta SOC 0.560
Time 1, Vehicle 69: Current SOC 0.650, Target SOC 0.900, Delta SOC 0.250
Time 1, Vehicle 70: Current SOC 0.520, Target SOC 0.900, Delta SOC 0.380
Time 1, Vehicle 71: Current SOC 0.320, Target SOC 0.900, Delta SOC 0.580
Time 1, Vehicle 72: Current SOC 0.600, Target SOC 0.900, Delta SOC 0.300
Time 1, Vehicle 73: Current SOC 0.410, Target SOC 0.900, Delta SOC 0.490
Time 1, Vehicle 74: Current SOC 0.470, Target SOC 0.900, Delta SOC 0.430
Time 1, Vehicle 75: Current SOC 0.490, Target SOC 0.900, Delta SOC 0.410
Time 1, Vehicle 76: Current SOC 0.200, Target SOC 0.900, Delta SOC 0.700
Time 1, Vehicle 77: Current SOC 0.200, Target SOC 0.900, Delta SOC 0.700
Time 2, Vehicle 2: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 3: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 4: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 5: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 6: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 7: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 8: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 9: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 10: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 11: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 12: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 13: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 14: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 15: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 16: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 17: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 18: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 19: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 20: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
