,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,20.94,64.79,7.09,31.28,0.37,0.10,10.60,3.53,1.64,108.58,12.75,27.34,68.49,1.71,3.87,0.17,80.03,57.94,160.28,2.25,3.38,3.79,4.26,0.92,188.94,3.85,67.71,87.81,2024-05-20 00:00:00
1,1~2,16.31,63.99,6.99,30.72,0.37,0.11,10.36,3.07,1.66,104.16,12.63,25.59,65.94,1.24,3.59,0.16,79.90,46.51,89.13,2.25,3.37,3.71,4.27,0.82,189.26,4.10,68.42,87.38,2024-05-20 01:00:00
2,2~3,12.69,63.04,7.03,31.01,0.37,0.12,10.63,2.87,1.62,96.48,5.06,25.03,66.39,1.30,3.79,0.17,64.10,40.12,52.97,2.35,3.38,3.85,4.26,0.89,186.87,3.77,67.84,86.93,2024-05-20 02:00:00
3,3~4,9.38,62.65,6.79,30.82,0.38,0.10,10.05,2.70,1.62,93.68,3.87,24.12,65.69,1.36,3.82,0.17,56.43,37.61,46.27,2.28,3.37,4.25,4.27,0.83,186.99,3.94,67.52,86.31,2024-05-20 03:00:00
4,4~5,8.43,63.00,7.31,30.30,0.37,0.00,12.34,2.48,1.65,93.17,3.95,23.81,65.41,1.36,3.72,0.16,52.02,32.94,44.38,2.12,3.38,4.22,4.28,1.08,186.07,4.03,67.81,85.57,2024-05-20 04:00:00
5,5~6,7.82,62.50,6.67,30.30,0.20,0.00,12.16,2.46,1.53,93.43,3.81,23.38,66.24,1.32,3.84,0.17,50.38,30.97,48.43,2.22,3.50,3.78,2.25,0.91,185.31,4.01,67.78,85.19,2024-05-20 05:00:00
6,6~7,7.62,61.81,7.37,33.89,0.11,0.06,11.24,1.82,0.66,95.15,3.75,23.47,67.93,1.51,3.59,0.17,50.23,29.12,68.00,2.25,5.31,3.78,0.00,1.61,188.40,4.21,67.82,87.12,2024-05-20 06:00:00
7,7~8,7.19,61.84,8.65,37.85,0.10,0.03,16.53,1.79,0.62,100.01,3.81,26.59,69.61,1.39,3.68,0.02,46.60,30.81,41.54,2.25,5.62,5.19,0.00,3.81,194.77,5.21,69.29,89.19,2024-05-20 07:00:00
8,8~9,9.00,71.54,9.23,46.22,0.11,0.33,37.35,4.65,0.64,116.50,5.40,36.21,74.89,1.19,4.03,0.00,45.55,32.55,45.43,2.22,5.89,7.16,0.00,6.71,207.64,9.97,71.82,94.63,2024-05-20 08:00:00
9,9~10,8.31,84.25,10.25,54.46,0.11,0.26,48.79,6.21,0.66,125.66,6.44,36.55,82.67,1.07,3.97,0.00,46.63,28.30,50.76,3.09,5.25,8.84,0.00,2.73,250.50,37.16,79.03,98.87,2024-05-20 09:00:00
