,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,16.63,59.49,6.94,30.50,0.41,0.07,8.71,6.79,1.80,80.83,1.87,24.49,54.47,1.92,0.86,0.16,65.43,53.95,71.15,2.62,2.67,4.31,4.74,0.97,189.29,6.84,68.49,85.94,2023-09-10 00:00:00
1,1~2,14.25,58.02,6.69,30.38,0.43,0.11,8.63,5.09,1.81,78.75,1.91,24.75,52.09,0.98,0.78,0.17,61.33,43.92,55.65,2.57,2.54,3.41,4.76,0.80,189.31,7.44,67.64,86.53,2023-09-10 01:00:00
2,2~3,8.93,57.97,6.87,30.06,0.42,0.12,9.10,4.90,1.78,77.68,1.84,23.50,52.34,1.10,0.74,0.17,48.28,41.65,51.63,2.53,2.55,2.88,4.76,0.95,190.29,7.25,67.90,87.38,2023-09-10 02:00:00
3,3~4,7.94,58.13,7.00,29.87,0.43,0.13,9.80,4.92,1.80,78.33,1.78,24.73,51.82,0.97,0.82,0.16,40.89,35.05,59.89,2.50,2.45,3.59,4.76,0.61,187.82,8.04,67.10,85.28,2023-09-10 03:00:00
4,4~5,7.25,57.30,6.44,29.57,0.42,0.11,11.25,4.87,1.81,77.09,1.75,24.19,51.15,0.96,0.81,0.17,37.46,32.48,58.84,2.53,2.39,3.62,4.76,1.24,183.99,6.55,66.79,83.35,2023-09-10 04:00:00
5,5~6,7.31,56.49,6.42,29.18,0.39,0.12,10.34,4.91,1.58,77.16,1.78,24.27,51.11,0.88,0.80,0.17,36.53,31.23,38.44,2.56,2.45,3.22,3.62,1.38,181.07,7.22,65.79,80.81,2023-09-10 05:00:00
6,6~7,6.32,57.34,6.36,29.94,0.16,0.08,9.90,4.57,0.95,78.10,1.54,23.88,52.68,1.09,0.77,0.06,35.00,29.99,39.65,2.50,3.02,3.44,0.00,0.80,182.53,6.66,67.21,81.18,2023-09-10 06:00:00
7,7~8,6.06,58.63,6.83,30.75,0.16,0.04,22.12,4.63,0.68,78.98,1.65,24.68,52.65,0.96,0.78,0.00,35.06,29.57,70.96,2.56,3.30,3.78,0.00,0.78,190.19,7.75,69.49,84.66,2023-09-10 07:00:00
8,8~9,6.19,60.90,8.88,32.31,0.16,0.03,58.96,5.26,0.66,85.67,1.59,28.73,55.35,1.06,1.19,0.00,40.40,39.10,55.11,2.60,4.21,6.40,0.00,1.04,197.71,6.88,72.40,88.84,2023-09-10 08:00:00
9,9~10,6.37,66.86,12.93,34.94,0.17,0.03,63.07,5.80,0.71,92.07,1.73,31.43,58.91,1.13,2.08,0.00,45.79,46.46,92.55,2.84,4.86,10.13,0.00,0.91,205.24,7.53,73.38,93.75,2023-09-10 09:00:00
10,10~11,11.75,75.38,11.16,36.56,0.16,0.02,63.63,6.16,0.68,94.98,1.83,31.59,61.56,1.36,1.73,0.00,52.40,43.08,116.76,3.10,4.88,11.66,0.00,1.05,211.76,7.75,74.65,98.63,2023-09-10 10:00:00
11,11~12,11.44,80.29,10.05,37.94,0.17,0.03,64.50,6.62,0.72,98.56,2.19,33.01,63.36,1.01,1.96,0.00,50.61,43.38,54.11,3.34,4.93,11.63,0.00,0.69,215.15,7.19,76.24,100.96,2023-09-10 11:00:00
12,12~13,10.56,78.55,10.17,38.31,0.16,0.02,60.76,5.77,0.72,116.01,3.03,34.66,78.32,1.03,1.96,0.00,53.05,50.92,53.50,3.41,4.92,9.47,0.00,0.88,220.11,8.56,77.11,104.11,2023-09-10 12:00:00
13,13~14,15.50,84.47,10.12,40.82,0.17,0.02,57.20,5.80,0.70,121.79,3.82,33.35,84.62,1.05,3.91,0.00,56.75,45.12,51.52,3.37,4.96,10.06,0.00,0.85,219.11,8.22,76.91,103.65,2023-09-10 13:00:00
14,14~15,13.06,89.96,10.18,40.43,0.17,0.02,51.80,6.11,0.75,122.18,5.90,36.03,80.25,1.30,3.27,0.00,49.07,48.75,53.02,3.41,4.92,9.59,0.00,1.01,221.66,8.59,77.60,103.87,2023-09-10 14:00:00
15,15~16,13.94,94.68,12.87,41.38,0.17,0.02,54.43,5.60,0.72,123.42,5.69,38.13,79.60,1.19,3.32,0.00,46.60,47.12,54.46,3.40,4.86,10.06,0.00,1.29,218.68,8.47,78.13,100.94,2023-09-10 15:00:00
16,16~17,12.31,89.48,11.22,40.19,0.17,0.01,43.36,7.23,0.77,124.71,6.06,39.02,79.63,1.43,2.74,0.00,45.75,49.04,81.55,3.47,4.72,9.31,0.00,0.96,222.10,8.97,77.41,104.97,2023-09-10 16:00:00
17,17~18,12.25,89.26,9.79,38.37,0.25,0.03,19.54,8.93,1.31,113.96,5.47,34.37,74.12,1.22,2.59,0.13,44.94,43.28,66.95,3.03,4.57,7.53,0.21,0.79,220.34,8.37,76.72,104.84,2023-09-10 17:00:00
18,18~19,13.38,80.69,8.42,37.50,0.43,0.02,16.49,8.82,1.83,112.06,5.29,32.83,73.94,2.24,1.66,0.17,48.37,45.88,62.27,2.50,3.61,6.35,4.82,0.91,211.24,8.82,73.42,98.69,2023-09-10 18:00:00
19,19~20,18.00,74.26,8.11,37.13,0.43,0.01,16.51,9.62,1.83,109.42,4.74,30.99,73.69,3.37,1.32,0.17,55.45,48.28,58.32,2.66,3.43,5.72,4.81,0.95,208.59,7.96,72.90,97.56,2023-09-10 19:00:00
20,20~21,21.37,69.13,7.61,35.68,0.42,0.00,15.86,9.20,1.83,106.40,3.91,30.05,72.44,3.17,1.25,0.16,59.98,56.12,67.20,2.66,2.83,5.16,4.78,0.72,203.19,8.72,72.02,92.10,2023-09-10 20:00:00
21,21~22,17.82,72.60,7.66,34.57,0.42,0.06,15.44,9.03,1.83,105.39,3.91,29.17,72.31,2.75,1.37,0.17,68.91,61.31,117.22,2.46,2.80,4.87,4.77,0.98,201.94,9.59,71.76,90.53,2023-09-10 21:00:00
22,22~23,18.37,68.69,6.86,33.75,0.43,0.05,10.87,8.66,1.83,99.20,3.59,28.96,66.65,2.45,1.15,0.17,81.18,71.17,177.70,2.35,2.81,4.69,4.76,0.69,199.33,8.13,71.70,90.12,2023-09-10 22:00:00
23,23~24,24.25,63.13,7.24,32.62,0.42,0.07,11.14,4.05,1.81,96.67,2.85,28.01,65.81,2.39,1.14,0.16,84.98,73.18,94.37,2.28,2.75,4.81,4.72,1.09,196.61,7.85,70.76,88.22,2023-09-10 23:00:00
