,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,13.37,62.25,7.58,31.40,0.43,0.01,10.75,2.25,1.65,105.69,15.05,27.12,63.52,2.25,4.98,0.16,60.85,51.68,140.00,2.12,2.71,3.94,4.29,0.96,193.91,7.23,67.96,92.98,2024-06-10 00:00:00
1,1~2,12.00,61.81,7.61,31.46,0.43,0.01,10.13,2.94,1.69,105.43,15.98,25.70,63.75,1.40,4.66,0.17,56.27,49.69,74.47,2.13,2.70,3.47,4.30,0.80,194.78,7.09,68.21,93.08,2024-06-10 01:00:00
2,2~3,12.25,61.69,7.49,31.14,0.43,0.02,9.78,3.47,1.65,101.65,13.28,24.66,63.71,1.08,4.87,0.17,52.67,39.97,45.81,2.12,2.68,2.94,4.29,1.46,193.07,7.12,67.96,91.92,2024-06-10 02:00:00
3,3~4,10.38,61.44,7.20,30.84,0.43,0.01,9.63,3.30,1.65,102.19,13.22,24.67,64.30,1.09,4.78,0.16,48.68,32.85,38.82,2.09,2.77,3.78,4.29,0.90,192.97,7.25,68.13,91.52,2024-06-10 03:00:00
4,4~5,8.93,61.03,7.39,30.78,0.43,0.01,11.21,3.17,1.68,100.39,12.53,25.34,62.52,1.07,4.76,0.17,46.51,32.69,37.03,2.13,2.76,4.12,4.31,0.92,191.89,6.69,68.19,91.42,2024-06-10 04:00:00
5,5~6,11.32,61.44,7.59,31.15,0.24,0.01,11.23,3.02,1.54,102.43,12.96,25.96,63.51,1.05,4.66,0.17,44.25,30.22,35.93,2.16,2.69,3.87,2.13,0.72,191.18,7.07,68.18,90.97,2024-06-10 05:00:00
6,6~7,7.18,61.15,7.80,31.17,0.17,0.09,12.75,2.56,0.72,100.70,11.60,24.35,64.75,1.74,4.71,0.08,45.64,26.20,48.82,2.18,3.20,3.97,0.00,0.98,194.31,6.96,68.13,93.47,2024-06-10 06:00:00
7,7~8,8.63,62.32,9.27,30.92,0.16,0.09,17.79,2.15,0.63,101.95,11.60,25.15,65.20,1.12,4.94,0.00,45.13,24.90,57.21,2.16,3.51,3.88,0.00,0.83,196.13,6.60,68.65,94.61,2024-06-10 07:00:00
8,8~9,7.19,69.88,10.23,32.82,0.17,0.09,35.10,2.15,1.63,105.39,12.55,25.76,67.08,1.31,5.21,0.00,42.67,26.90,38.63,2.19,3.51,5.78,0.00,1.00,201.43,7.56,70.25,96.99,2024-06-10 08:00:00
9,9~10,7.25,75.81,10.82,33.78,0.16,0.06,25.22,3.03,1.62,116.39,15.13,28.68,72.58,1.07,6.72,0.00,51.10,28.30,46.28,2.15,3.45,7.91,0.00,0.70,212.19,7.44,72.08,104.56,2024-06-10 09:00:00
10,10~11,10.43,83.15,11.11,37.67,0.16,0.08,22.59,3.47,1.60,131.11,17.19,38.12,75.80,1.32,6.64,0.00,48.52,37.56,46.60,2.13,3.51,7.47,0.00,0.88,227.28,7.37,73.58,118.32,2024-06-10 10:00:00
