,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,12.69,---,5.74,26.94,0.37,0.11,8.61,2.33,1.94,---,3.72,---,55.16,1.18,0.08,0.00,31.13,41.35,34.54,1.75,3.01,4.30,---,---,---,5.51,70.47,65.86,2023-01-07 00:00:00
1,1~2,9.18,---,5.55,27.18,0.38,0.10,8.50,2.30,1.91,---,3.66,---,54.19,1.14,0.06,0.00,24.72,30.56,121.96,1.75,3.04,4.04,---,---,---,5.84,70.34,65.26,2023-01-07 01:00:00
2,2~3,8.07,---,5.83,26.75,0.38,0.12,8.36,2.32,1.92,---,3.68,---,54.43,1.14,0.07,0.00,20.47,19.81,87.10,1.75,3.07,4.06,---,---,---,5.63,70.78,64.70,2023-01-07 02:00:00
3,3~4,6.50,---,5.38,26.82,0.38,0.12,10.12,2.30,1.94,---,3.47,---,54.22,1.12,0.05,0.00,18.59,15.94,22.09,1.75,3.04,3.81,---,---,---,5.78,69.26,64.71,2023-01-07 03:00:00
4,4~5,6.25,---,5.29,27.31,0.38,0.05,10.64,2.32,1.88,---,3.44,---,55.03,1.28,0.08,0.00,18.53,16.41,21.77,1.82,3.00,3.69,---,---,---,5.61,69.88,63.37,2023-01-07 04:00:00
5,5~6,5.56,---,5.68,27.00,0.38,0.01,11.03,2.40,1.85,---,3.28,---,54.48,1.16,0.06,0.00,16.43,15.84,25.19,1.84,3.16,3.37,---,---,---,6.43,70.10,62.26,2023-01-07 05:00:00
6,6~7,4.94,---,5.36,27.12,0.35,0.01,9.81,2.07,1.10,---,3.31,---,54.93,1.02,0.07,0.00,14.48,12.80,50.43,1.78,3.88,3.19,---,---,---,5.57,68.99,62.69,2023-01-07 06:00:00
7,7~8,4.93,---,5.89,28.00,0.11,0.03,12.40,1.83,0.63,---,4.41,---,54.49,1.04,0.07,0.00,14.31,12.60,23.62,1.84,4.09,3.16,---,---,---,5.49,69.62,62.18,2023-01-07 07:00:00
8,8~9,6.57,---,5.78,32.44,0.11,0.03,19.94,1.79,1.88,---,6.25,---,55.76,1.32,0.05,0.00,20.53,15.81,17.22,1.88,3.98,3.41,---,---,---,7.32,70.68,62.94,2023-01-07 08:00:00
9,9~10,7.00,---,6.55,34.38,0.12,0.02,24.62,2.62,1.82,---,6.78,---,59.50,1.12,0.07,0.00,15.66,13.82,34.79,1.81,4.24,4.19,---,---,---,8.63,71.94,64.10,2023-01-07 09:00:00
10,10~11,7.37,---,7.91,34.06,0.10,0.02,25.28,2.69,1.84,---,6.63,---,59.72,2.02,0.06,0.00,15.75,17.38,52.35,1.91,4.35,4.93,---,---,---,10.29,72.83,65.69,2023-01-07 10:00:00
11,11~12,9.56,---,8.93,35.75,0.12,0.05,25.45,3.17,1.86,---,6.84,---,61.50,1.17,0.06,0.00,18.12,17.13,21.69,1.87,3.57,6.87,---,---,---,10.09,73.67,68.16,2023-01-07 11:00:00
12,12~13,9.57,55.97,10.91,34.69,0.11,0.07,23.21,3.10,1.82,---,6.88,---,63.43,1.79,0.07,0.00,19.82,26.25,23.07,2.07,3.62,7.32,---,---,---,10.28,73.82,69.12,2023-01-07 12:00:00
13,13~14,8.25,66.87,11.38,35.56,0.11,0.08,24.74,3.19,1.85,---,6.78,---,64.54,1.49,0.11,0.00,19.44,23.56,48.57,2.12,3.54,6.71,---,---,---,10.10,73.29,70.42,2023-01-07 13:00:00
14,14~15,11.06,68.06,9.41,37.69,0.12,0.09,27.50,3.43,1.81,---,8.71,---,63.69,1.11,0.07,0.00,18.88,21.18,44.05,1.97,3.87,6.85,---,---,---,10.42,73.65,73.66,2023-01-07 14:00:00
15,15~16,6.44,66.63,9.95,37.50,0.11,0.07,28.31,3.72,1.84,---,9.38,---,63.02,1.20,0.07,0.00,22.59,21.16,29.42,1.78,4.18,6.75,---,---,---,9.89,73.91,71.80,2023-01-07 15:00:00
16,16~17,6.75,67.00,10.27,35.93,0.14,0.03,24.03,4.09,1.91,---,8.44,---,63.31,1.20,0.06,0.00,21.28,19.87,38.61,1.84,3.50,5.90,---,---,---,9.75,74.12,71.67,2023-01-07 16:00:00
