,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,16.88,64.25,6.21,29.41,0.49,0.12,10.24,4.63,1.64,85.99,3.62,21.00,61.37,1.09,2.38,0.17,53.02,45.57,133.38,2.47,3.06,2.41,4.28,1.00,178.06,2.94,69.64,82.63,2024-04-25 00:00:00
1,1~2,13.25,62.18,6.54,29.12,0.49,0.12,9.35,4.25,1.66,86.20,3.50,21.03,61.67,1.08,2.15,0.17,37.56,38.34,117.34,2.53,3.07,2.85,4.29,0.98,176.44,3.72,68.94,81.18,2024-04-25 01:00:00
2,2~3,14.25,61.63,6.25,28.61,0.48,0.13,10.02,4.20,1.66,86.31,3.57,20.90,61.84,1.08,2.09,0.16,30.26,39.43,54.21,2.50,3.12,3.06,4.29,0.77,176.37,2.97,69.49,80.75,2024-04-25 02:00:00
3,3~4,7.81,60.16,6.74,28.92,0.49,0.11,9.55,3.76,1.63,85.22,3.50,20.88,60.84,1.09,2.17,0.17,29.42,22.51,29.04,2.47,3.13,3.47,4.29,1.10,174.97,3.25,69.66,80.26,2024-04-25 03:00:00
4,4~5,7.94,59.52,6.51,28.64,0.47,0.01,11.21,3.85,1.63,85.87,3.43,20.88,61.56,1.08,2.06,0.17,26.60,22.02,27.31,2.47,3.06,3.22,4.28,1.09,174.33,3.18,70.27,80.18,2024-04-25 04:00:00
5,5~6,7.31,59.85,6.53,28.65,0.38,0.01,10.87,3.79,1.59,86.25,3.32,20.93,62.00,1.30,2.30,0.17,25.02,21.61,35.10,2.46,3.26,3.06,4.29,0.79,174.57,3.53,69.32,80.50,2024-04-25 05:00:00
6,6~7,7.44,59.88,6.28,29.61,0.20,0.06,9.85,2.90,0.68,85.53,3.21,19.73,62.59,1.23,2.05,0.16,22.96,20.16,49.00,2.47,5.62,2.88,4.17,2.30,172.77,3.07,68.66,79.88,2024-04-25 06:00:00
7,7~8,10.93,60.12,6.70,32.79,0.20,0.06,15.88,3.12,0.61,87.52,3.60,20.21,63.71,1.24,2.36,0.17,26.23,19.77,28.56,2.44,5.45,2.75,1.82,1.83,174.22,3.93,68.92,80.31,2024-04-25 07:00:00
8,8~9,8.44,63.28,7.32,39.05,0.19,0.04,48.71,3.04,1.53,92.59,4.53,21.42,66.64,1.01,2.46,0.08,25.91,22.48,30.12,2.34,5.20,4.06,0.00,2.92,180.57,5.78,70.37,82.62,2024-04-25 08:00:00
9,9~10,8.63,74.13,9.24,44.19,0.20,0.02,56.61,3.36,1.50,102.32,7.28,25.86,69.18,1.14,2.28,0.00,26.42,26.94,60.47,2.69,5.26,5.87,0.00,2.69,195.45,12.57,75.99,84.94,2024-04-25 09:00:00
10,10~11,11.50,86.49,12.16,49.67,0.19,0.05,55.42,4.64,1.56,109.53,9.25,29.96,70.32,1.00,2.51,0.00,25.29,24.77,37.94,2.69,6.88,8.38,0.00,2.63,214.64,11.18,80.02,97.06,2024-04-25 10:00:00
11,11~12,10.81,93.32,12.01,52.82,0.19,0.08,70.89,4.92,1.56,116.21,11.41,27.87,76.93,1.00,2.85,0.00,27.00,25.75,35.31,2.72,6.58,8.43,0.00,3.89,220.93,6.97,83.47,102.63,2024-04-25 11:00:00
12,12~13,13.44,91.25,11.50,52.42,0.19,0.07,72.75,5.34,1.54,124.27,13.09,31.68,79.50,1.02,2.90,0.00,32.27,26.99,38.63,2.84,6.44,7.51,0.00,2.36,228.82,6.72,84.01,108.44,2024-04-25 12:00:00
13,13~14,13.68,96.03,14.78,55.46,0.20,0.07,69.26,4.65,1.59,130.02,14.97,33.04,82.01,1.03,2.50,0.00,32.69,29.00,36.34,3.10,6.14,7.18,0.00,4.01,236.58,8.78,84.23,110.99,2024-04-25 13:00:00
14,14~15,11.69,95.87,14.41,60.15,0.19,0.06,59.10,6.87,1.57,132.77,16.59,33.94,82.24,1.35,3.11,0.06,28.25,26.30,43.75,3.15,6.63,7.63,0.00,2.71,245.43,15.97,85.54,110.69,2024-04-25 14:00:00
15,15~16,9.81,96.92,13.42,58.45,0.19,0.06,59.78,4.81,1.59,129.12,14.00,33.09,82.03,1.12,3.47,0.10,30.37,34.83,44.97,3.03,6.89,7.06,0.00,6.24,251.18,18.91,84.67,113.69,2024-04-25 15:00:00
16,16~17,10.19,94.93,14.56,56.61,0.19,0.06,59.71,4.61,1.72,127.32,13.07,34.01,80.24,1.43,4.09,0.17,32.42,28.07,62.57,3.00,6.26,6.29,0.06,2.57,241.90,16.31,85.16,110.69,2024-04-25 16:00:00
17,17~18,12.63,94.44,12.97,46.99,0.20,0.07,64.58,5.01,1.63,118.82,10.55,30.56,77.71,1.08,3.74,0.17,36.78,31.85,59.78,3.28,5.87,4.62,0.69,0.91,222.25,6.31,80.96,107.43,2024-04-25 17:00:00
18,18~19,18.37,89.84,12.13,40.94,0.46,0.11,58.28,4.59,1.63,114.25,12.13,25.19,76.93,1.30,3.76,0.17,37.65,38.31,127.65,3.32,4.70,4.59,4.37,0.78,205.48,3.72,78.66,96.63,2024-04-25 18:00:00
