,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,15.44,50.73,5.03,24.10,0.33,0.14,9.83,4.73,1.66,78.96,2.68,17.65,58.63,1.37,0.61,0.17,27.45,29.92,125.00,2.41,3.52,2.94,4.41,1.48,145.05,5.06,54.78,66.81,2024-01-27 00:00:00
1,1~2,11.62,49.87,5.31,24.15,0.33,0.14,9.53,5.56,1.69,79.96,2.59,18.14,59.23,1.34,0.71,0.17,32.21,29.29,121.62,2.38,3.60,2.75,4.41,1.09,143.92,4.78,54.91,65.62,2024-01-27 01:00:00
2,2~3,7.69,49.49,5.10,24.38,0.32,0.15,10.46,5.45,1.69,78.89,2.54,17.59,58.76,1.36,0.51,0.16,20.09,20.10,48.44,2.37,3.47,2.78,4.41,0.77,143.87,5.06,55.17,65.00,2024-01-27 02:00:00
3,3~4,6.06,49.51,5.14,24.30,0.33,0.15,10.56,5.57,1.69,79.27,2.71,18.10,58.46,1.41,0.60,0.17,17.03,15.23,17.56,2.38,3.66,2.75,4.42,0.88,144.06,4.78,55.41,65.13,2024-01-27 03:00:00
4,4~5,5.56,49.18,5.08,24.11,0.32,0.16,12.07,5.55,1.71,80.67,2.60,18.71,59.36,1.29,0.62,0.17,16.21,14.53,21.04,2.43,3.47,3.00,4.41,1.08,143.88,5.03,54.68,65.25,2024-01-27 04:00:00
5,5~6,5.57,49.41,5.10,24.22,0.33,0.15,12.49,5.45,1.67,78.80,2.53,17.79,58.48,1.59,0.57,0.16,18.48,19.60,49.33,2.50,3.60,2.84,4.41,0.91,144.64,4.85,54.79,66.50,2024-01-27 05:00:00
6,6~7,5.06,48.72,5.24,24.63,0.29,0.10,11.07,5.30,1.27,80.57,2.40,18.26,59.91,1.28,0.60,0.17,13.52,13.40,30.26,2.47,4.40,2.85,2.41,1.39,145.30,5.22,54.41,66.94,2024-01-27 06:00:00
7,7~8,5.00,48.90,5.10,24.32,0.06,0.06,13.34,4.76,0.62,80.45,2.53,17.81,60.11,1.10,0.56,0.17,12.70,12.37,13.84,2.41,4.22,2.90,0.57,1.04,144.73,4.97,54.92,66.62,2024-01-27 07:00:00
8,8~9,5.69,49.07,5.26,25.41,0.06,0.10,19.18,4.63,0.65,81.40,2.44,17.91,61.05,1.30,0.60,0.17,13.37,15.07,25.42,2.44,4.28,3.01,0.08,0.76,146.82,5.55,55.01,67.25,2024-01-27 08:00:00
9,9~10,5.56,50.06,5.15,26.00,0.07,0.09,29.11,4.58,0.64,82.14,2.48,17.94,61.72,1.28,0.59,0.16,14.45,15.99,47.61,2.37,4.15,4.21,0.00,0.67,144.53,6.22,54.33,65.57,2024-01-27 09:00:00
10,10~11,5.00,50.72,6.35,26.66,0.06,0.09,28.24,4.38,0.66,86.89,2.65,19.09,65.15,1.26,0.56,0.09,17.17,16.20,23.79,2.41,4.02,4.44,0.00,0.95,146.14,6.47,54.60,66.37,2024-01-27 10:00:00
11,11~12,4.50,51.25,7.05,27.26,0.06,0.08,29.58,3.27,0.63,90.25,2.69,21.71,65.85,1.58,0.57,0.17,18.87,18.57,19.38,2.37,4.08,4.47,0.00,0.83,146.97,6.97,54.62,67.00,2024-01-27 11:00:00
12,12~13,5.37,52.75,6.21,28.06,0.06,0.07,28.34,2.84,0.66,92.03,2.84,21.21,67.98,1.35,0.59,0.16,18.07,19.11,37.54,2.41,4.16,3.37,0.00,0.82,148.85,6.34,55.04,68.75,2024-01-27 12:00:00
13,13~14,6.63,55.00,8.05,28.70,0.06,0.03,28.01,2.37,0.65,89.62,2.63,21.50,65.49,1.25,0.60,0.17,18.42,18.90,53.80,2.37,4.09,4.45,0.00,1.77,149.19,6.50,55.21,69.06,2024-01-27 13:00:00
14,14~15,6.62,56.56,7.86,28.27,0.06,0.03,26.66,3.34,0.66,87.87,2.62,21.20,64.05,1.20,0.56,0.17,18.40,18.79,34.77,2.41,4.33,4.37,0.00,1.04,148.78,6.29,55.09,68.50,2024-01-27 14:00:00
15,15~16,5.82,62.10,7.94,28.29,0.06,0.03,26.97,5.56,0.65,90.01,3.22,22.18,64.61,1.10,0.58,0.17,18.49,17.25,24.65,2.37,4.28,4.46,0.00,0.94,150.28,6.84,55.08,69.37,2024-01-27 15:00:00
16,16~17,5.93,62.06,8.03,28.36,0.07,0.03,26.73,4.52,0.76,90.99,3.03,21.75,66.21,0.98,0.60,0.17,19.06,18.57,51.55,2.44,4.21,3.34,0.77,1.14,148.51,6.59,55.87,67.06,2024-01-27 16:00:00
17,17~18,9.63,57.24,8.59,27.22,0.29,0.11,21.22,3.09,1.62,94.16,3.16,22.32,68.68,1.75,0.55,0.16,34.50,17.38,43.12,2.44,4.09,3.07,4.48,1.06,149.07,4.98,55.95,69.25,2024-01-27 17:00:00
18,18~19,9.94,54.85,6.72,26.98,0.32,0.12,15.89,3.02,1.66,91.28,3.90,21.67,65.71,1.50,0.60,0.17,28.33,17.67,21.73,2.47,3.96,3.25,4.45,0.86,149.69,5.21,55.68,70.01,2024-01-27 18:00:00
19,19~20,11.81,54.03,6.53,26.02,0.32,0.12,14.97,3.28,1.69,87.54,4.23,20.44,62.87,1.30,0.56,0.17,26.13,18.62,38.29,2.37,3.59,2.97,4.43,1.45,145.64,4.47,55.63,67.00,2024-01-27 19:00:00
20,20~21,12.50,55.06,6.34,25.36,0.33,0.11,14.71,3.44,1.65,84.28,3.96,19.96,60.36,1.55,0.56,0.17,29.20,20.74,88.79,2.32,3.28,3.16,4.41,1.06,144.63,5.09,54.66,65.75,2024-01-27 20:00:00
21,21~22,8.12,57.19,5.28,25.03,0.33,0.11,14.32,3.65,1.66,81.10,4.03,18.94,58.13,1.53,0.59,0.16,32.69,25.05,145.75,2.31,3.39,2.99,4.39,0.63,143.24,4.88,55.02,64.43,2024-01-27 21:00:00
22,22~23,8.19,52.25,5.07,24.52,0.32,0.13,11.11,5.46,1.65,81.39,3.78,18.50,59.11,1.50,0.61,0.17,26.89,27.62,88.76,2.31,3.40,2.82,4.41,0.81,141.89,5.12,54.88,63.13,2024-01-27 22:00:00
23,23~24,8.38,51.79,5.18,24.21,0.33,0.13,9.94,5.37,1.66,80.80,3.04,17.89,59.87,1.31,0.89,0.17,25.89,35.04,32.72,2.34,3.41,2.62,4.39,0.87,142.61,4.79,55.11,63.94,2024-01-27 23:00:00
