,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,19.50,68.94,6.33,32.04,0.45,0.13,10.55,3.86,1.71,97.08,8.28,22.32,66.48,1.23,4.31,0.17,60.80,50.04,136.32,2.50,3.75,3.76,4.28,0.75,174.01,5.31,61.78,80.76,2024-04-20 00:00:00
1,1~2,12.75,65.47,7.08,30.76,0.44,0.12,11.86,3.23,1.66,88.93,4.25,21.68,63.00,1.05,4.20,0.17,54.75,41.03,69.59,2.53,3.69,3.62,4.27,1.01,171.91,5.35,61.49,79.49,2024-04-20 01:00:00
2,2~3,14.25,63.50,6.69,31.08,0.45,0.13,10.29,3.15,1.70,90.19,4.25,21.47,64.47,1.03,4.36,0.16,45.83,38.06,40.68,2.54,3.50,2.91,4.28,0.78,171.68,5.15,60.71,80.12,2024-04-20 02:00:00
3,3~4,9.62,64.59,6.63,30.51,0.45,0.12,10.70,3.27,1.66,88.27,3.66,21.47,63.14,1.05,4.32,0.17,41.31,29.57,35.91,2.37,3.38,3.21,4.28,1.35,170.31,5.16,60.71,78.19,2024-04-20 03:00:00
4,4~5,7.56,63.00,6.71,30.54,0.44,0.09,11.75,3.53,1.66,85.13,3.50,20.75,60.88,1.06,3.98,0.17,37.95,28.17,90.60,2.38,3.31,3.72,4.28,0.94,169.39,5.03,60.80,77.56,2024-04-20 04:00:00
5,5~6,7.25,62.85,6.69,30.67,0.37,0.11,11.84,3.19,1.63,85.53,3.50,20.67,61.36,1.00,4.01,0.16,33.94,25.75,90.90,2.43,3.50,2.94,4.28,1.48,167.63,5.00,60.63,76.64,2024-04-20 05:00:00
6,6~7,6.44,63.75,6.27,30.34,0.18,0.08,10.81,3.16,0.89,87.36,3.44,20.65,63.27,0.95,4.10,0.16,31.88,24.62,42.35,2.41,5.44,3.47,1.83,0.74,169.11,6.09,61.28,75.74,2024-04-20 06:00:00
7,7~8,6.44,62.84,7.74,30.47,0.17,0.08,26.50,3.22,0.61,88.18,2.96,21.00,64.22,1.85,3.55,0.00,31.97,24.52,32.40,2.44,5.43,4.00,0.00,1.11,170.78,5.13,61.18,78.06,2024-04-20 07:00:00
8,8~9,10.25,65.87,8.07,33.98,0.18,0.05,73.23,3.33,1.53,93.79,4.69,21.50,67.60,1.03,3.60,0.00,36.30,25.77,33.62,2.40,5.94,5.72,0.00,0.68,173.73,5.18,61.44,81.07,2024-04-20 08:00:00
9,9~10,11.50,68.31,8.19,33.72,0.16,0.06,95.32,3.96,1.51,100.88,9.07,21.34,70.47,1.06,3.71,0.00,36.95,28.08,39.97,2.32,6.56,9.27,0.00,0.92,180.64,7.63,64.41,81.56,2024-04-20 09:00:00
10,10~11,12.94,73.82,9.86,35.15,0.17,0.04,102.54,5.27,1.56,111.41,11.06,23.56,76.79,1.05,4.46,0.00,40.18,32.82,43.13,2.43,7.19,10.57,0.00,0.73,195.48,8.47,68.26,89.50,2024-04-20 10:00:00
11,11~12,13.62,80.19,9.28,37.72,0.17,0.03,107.86,4.55,1.56,116.23,11.37,26.87,77.99,1.33,6.11,0.00,45.83,36.16,68.69,2.57,7.19,10.22,0.00,1.14,201.91,8.53,70.43,93.87,2024-04-20 11:00:00
12,12~13,12.63,89.49,9.83,39.90,0.17,0.03,109.66,3.06,1.57,118.24,12.97,28.62,76.65,1.02,5.30,0.00,48.75,33.25,48.91,2.71,7.25,8.87,0.00,0.80,210.39,9.19,70.81,100.25,2024-04-20 12:00:00
13,13~14,15.75,90.60,9.87,40.09,0.17,0.03,99.02,4.63,1.56,119.51,11.72,27.91,79.88,0.94,5.66,0.00,36.51,31.93,46.97,2.66,7.19,11.79,0.00,0.78,205.34,8.12,69.92,99.00,2024-04-20 13:00:00
14,14~15,12.81,90.78,9.50,40.17,0.17,0.05,102.03,5.13,1.59,124.20,13.41,28.19,82.60,1.21,6.19,0.08,35.47,29.72,43.87,2.63,6.19,11.12,0.00,1.09,206.56,8.81,70.68,99.44,2024-04-20 14:00:00
15,15~16,11.37,88.35,9.98,40.53,0.17,0.04,95.55,4.73,1.60,131.55,12.34,30.43,88.78,0.92,5.13,0.17,36.41,31.04,41.38,2.75,5.94,10.72,0.25,1.38,203.65,8.79,68.80,98.44,2024-04-20 15:00:00
16,16~17,12.88,89.53,10.04,39.88,0.18,0.06,81.15,6.73,1.68,125.20,12.06,30.43,82.71,1.07,5.78,0.16,33.69,37.57,43.84,2.68,6.14,8.57,0.15,1.06,200.00,8.81,68.96,95.12,2024-04-20 16:00:00
17,17~18,17.44,90.68,10.30,38.34,0.20,0.03,64.02,8.44,2.00,123.14,11.78,28.34,83.02,1.20,5.69,0.17,39.85,37.58,69.88,2.53,6.00,4.80,4.22,0.86,194.03,5.50,68.07,92.88,2024-04-20 17:00:00
18,18~19,19.00,86.63,10.63,37.84,0.43,0.10,21.81,6.26,1.62,119.52,14.66,27.92,76.94,1.45,3.92,0.17,44.65,38.78,58.93,2.38,4.68,4.63,4.32,0.75,189.66,5.78,64.50,92.81,2024-04-20 18:00:00
19,19~20,17.50,80.84,9.87,36.65,0.44,0.11,14.87,5.72,1.67,109.32,12.72,26.09,70.51,1.67,3.49,0.16,41.94,38.25,50.09,2.28,4.26,4.28,4.33,0.92,182.79,5.44,62.91,88.76,2024-04-20 19:00:00
20,20~21,14.87,77.53,7.92,36.68,0.43,0.12,14.59,5.66,1.67,107.28,12.32,26.36,68.60,1.56,3.49,0.17,46.46,39.30,50.23,2.34,3.96,4.56,4.34,0.75,177.40,5.60,61.60,85.74,2024-04-20 20:00:00
21,21~22,17.25,77.26,6.83,35.98,0.45,0.13,14.21,6.67,1.66,106.11,11.68,24.72,69.71,1.52,3.12,0.16,54.03,41.00,106.58,2.32,3.77,3.91,4.31,1.19,175.94,5.90,61.66,84.13,2024-04-20 21:00:00
22,22~23,20.13,74.22,6.48,34.22,0.46,0.12,10.63,5.93,1.62,101.78,10.88,22.43,68.47,1.39,2.97,0.17,56.48,42.61,141.01,2.34,3.76,3.72,4.30,0.86,174.40,5.09,61.55,83.31,2024-04-20 22:00:00
23,23~24,20.87,70.94,6.49,33.15,0.46,0.13,9.11,5.11,1.63,100.40,10.68,20.73,68.99,1.41,2.95,0.17,64.46,53.00,97.56,2.31,3.70,4.41,4.29,1.01,170.39,4.94,60.84,80.56,2024-04-20 23:00:00
