,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,17.06,48.10,5.95,24.62,0.36,0.13,10.41,3.84,1.87,78.78,3.06,18.80,56.92,1.45,0.88,0.17,39.13,45.87,191.89,2.40,4.21,3.12,4.38,0.76,143.73,3.03,55.37,66.07,2024-02-27 00:00:00
1,1~2,10.82,48.12,5.89,24.33,0.35,0.13,9.77,3.60,1.86,78.43,2.69,19.13,56.61,1.43,0.88,0.17,30.87,34.07,180.78,2.35,4.15,2.89,4.37,0.96,144.61,2.71,56.08,65.75,2024-02-27 01:00:00
2,2~3,6.18,47.10,5.23,24.59,0.36,0.12,9.69,5.28,1.84,77.69,2.59,18.40,56.70,1.45,0.82,0.17,26.41,22.59,155.17,2.37,4.22,2.84,4.39,1.49,143.33,3.09,55.58,64.94,2024-02-27 02:00:00
3,3~4,6.13,47.41,5.46,24.59,0.35,0.13,10.55,2.92,1.86,77.76,2.69,18.28,56.79,1.55,0.87,0.16,19.14,17.61,52.21,2.38,4.15,2.80,4.38,1.11,144.33,2.98,55.56,65.68,2024-02-27 03:00:00
4,4~5,5.69,47.74,5.21,24.50,0.35,0.08,11.38,2.93,1.85,77.58,2.59,18.13,56.86,1.21,0.94,0.17,17.39,19.86,37.20,2.34,4.21,3.01,4.38,0.77,143.69,2.90,55.33,65.50,2024-02-27 04:00:00
5,5~6,6.18,47.54,5.39,24.27,0.36,0.02,12.18,2.73,1.83,77.22,2.60,18.43,56.19,0.97,0.93,0.17,17.77,15.17,17.12,2.44,4.22,2.68,4.37,1.22,143.79,3.07,55.71,65.19,2024-02-27 05:00:00
6,6~7,5.19,47.68,5.28,24.94,0.23,0.03,10.67,2.14,1.54,79.17,2.53,18.32,58.32,0.86,0.80,0.17,15.14,13.86,16.81,2.40,5.83,2.66,2.40,1.81,143.26,2.90,54.98,64.75,2024-02-27 06:00:00
7,7~8,5.75,49.22,5.80,27.57,0.09,0.05,14.96,2.16,0.84,81.54,2.84,20.99,57.71,1.54,0.86,0.16,15.87,15.31,48.55,2.41,5.52,2.66,0.19,2.06,146.85,4.12,55.17,66.44,2024-02-27 07:00:00
8,8~9,9.31,51.56,6.43,35.17,0.09,0.09,23.68,2.20,0.85,88.25,4.16,24.06,60.03,1.50,0.79,0.17,19.07,17.87,50.17,2.56,5.71,3.31,0.00,6.65,154.81,7.85,55.82,69.69,2024-02-27 08:00:00
9,9~10,9.75,55.13,8.44,39.30,0.09,0.11,25.86,2.48,0.85,95.94,6.53,24.23,65.18,1.44,0.80,0.05,21.50,24.44,28.78,2.66,5.53,3.31,0.00,2.41,164.54,9.15,62.18,70.87,2024-02-27 09:00:00
10,10~11,8.19,59.44,9.19,41.95,0.09,0.10,27.56,3.85,0.84,101.14,6.72,25.56,68.86,1.37,1.79,0.00,22.81,25.30,31.64,2.62,5.71,4.04,0.00,2.09,172.47,11.26,63.74,74.18,2024-02-27 10:00:00
