,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,14.38,63.09,8.25,32.47,0.48,0.11,12.50,5.07,2.11,96.54,4.84,20.94,70.76,2.66,3.32,0.17,59.11,48.79,63.69,3.06,3.06,4.12,2.56,1.02,216.23,8.19,80.35,99.57,2024-06-25 00:00:00
1,1~2,15.06,61.53,8.41,32.41,0.48,0.11,12.11,4.76,2.03,95.08,4.51,20.41,70.16,1.42,3.03,0.16,58.16,42.73,56.31,3.10,3.14,3.79,2.58,0.98,216.44,8.03,80.80,100.20,2024-06-25 01:00:00
2,2~3,9.94,59.75,8.15,31.53,0.49,0.11,12.40,4.79,2.04,92.34,4.12,19.52,68.70,1.04,2.69,0.17,55.49,35.03,48.10,3.09,3.07,3.55,2.55,2.61,202.63,8.03,74.25,94.38,2024-06-25 02:00:00
3,3~4,9.37,61.04,8.32,30.59,0.48,0.12,11.22,4.34,2.05,90.75,3.97,18.66,68.12,1.02,3.24,0.17,48.98,29.34,46.12,2.81,3.07,3.51,2.57,6.08,134.16,8.50,41.14,69.84,2024-06-25 03:00:00
4,4~5,8.82,60.80,8.05,30.74,0.48,0.01,12.79,2.90,2.08,91.26,4.22,19.03,68.01,0.99,3.41,0.16,48.06,29.08,68.94,2.85,3.07,3.87,2.55,1.66,131.12,7.44,40.07,68.24,2024-06-25 04:00:00
5,5~6,8.50,60.48,8.17,30.53,0.29,0.01,12.05,2.76,1.89,90.76,4.34,19.81,66.61,1.13,2.91,0.17,49.48,28.72,51.41,2.84,3.13,3.79,1.25,0.59,131.00,7.97,39.95,68.03,2024-06-25 05:00:00
6,6~7,8.06,60.31,8.44,33.22,0.20,0.00,15.18,2.26,1.00,94.42,4.25,24.20,65.97,1.15,3.25,0.11,46.57,28.83,40.25,2.91,3.76,3.84,0.00,1.57,134.21,7.94,40.16,70.31,2024-06-25 06:00:00
7,7~8,9.44,63.34,8.70,39.48,0.20,0.00,18.82,2.30,1.10,99.53,2.94,28.25,68.34,1.06,3.41,0.00,44.28,26.41,40.31,2.84,4.13,3.94,0.00,10.89,148.40,11.40,41.73,76.09,2024-06-25 07:00:00
8,8~9,10.50,74.56,10.15,50.83,0.21,0.00,33.20,5.74,2.07,108.15,4.09,31.52,72.54,1.10,3.39,0.00,46.58,26.48,109.99,2.72,4.70,5.56,0.00,5.23,162.14,13.69,43.03,83.65,2024-06-25 08:00:00
9,9~10,11.43,106.53,10.25,61.08,0.20,0.00,43.71,7.23,2.00,126.68,9.75,35.82,81.11,1.05,4.12,0.00,44.43,27.26,90.97,3.31,5.07,7.10,0.00,4.00,206.20,31.50,56.02,93.85,2024-06-25 09:00:00
