,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,21.56,49.65,5.13,23.88,0.35,0.10,9.45,4.71,1.66,84.40,5.34,19.44,59.62,1.10,0.83,0.17,43.33,45.04,159.81,1.53,4.28,2.59,4.42,1.08,133.93,3.16,53.72,60.69,2023-12-24 00:00:00
1,1~2,18.56,49.57,5.16,24.06,0.36,0.11,9.42,4.17,1.68,84.90,6.09,19.62,59.19,0.99,0.78,0.16,34.03,36.77,88.84,1.59,4.30,2.70,4.43,0.68,133.99,2.88,54.01,60.94,2023-12-24 01:00:00
2,2~3,10.25,49.09,5.15,23.38,0.36,0.10,9.77,3.79,1.70,84.50,7.10,18.09,59.31,1.06,0.78,0.17,33.20,36.54,77.96,1.63,4.35,2.68,4.43,0.87,132.33,3.18,53.82,58.99,2023-12-24 02:00:00
3,3~4,7.88,49.35,5.19,23.43,0.35,0.10,9.85,3.71,1.69,81.51,5.06,17.69,58.76,1.23,0.84,0.17,20.34,23.10,126.29,1.56,4.29,2.81,4.42,1.48,133.83,3.16,54.66,59.19,2023-12-24 03:00:00
4,4~5,7.31,48.75,5.20,23.50,0.36,0.12,11.18,3.64,1.65,82.00,5.50,17.56,58.94,1.04,0.78,0.16,17.65,18.53,47.53,1.59,4.30,2.91,4.42,1.10,132.26,2.88,54.57,58.50,2023-12-24 04:00:00
5,5~6,7.44,48.59,5.32,23.57,0.36,0.06,11.69,3.59,1.66,80.41,5.10,17.82,57.49,1.03,0.71,0.17,16.72,17.10,24.06,1.60,4.40,2.97,4.42,0.85,131.94,3.21,53.66,58.63,2023-12-24 05:00:00
6,6~7,6.37,47.56,5.23,23.56,0.29,0.01,10.33,3.29,1.18,83.04,4.65,18.51,59.88,1.06,0.89,0.17,14.71,23.85,23.92,1.56,5.42,3.09,2.28,0.71,131.88,2.85,53.18,59.44,2023-12-24 06:00:00
7,7~8,11.19,48.35,5.94,24.12,0.09,0.00,14.10,3.68,0.66,82.00,4.56,17.75,59.69,1.23,0.71,0.13,15.95,19.61,24.88,1.56,5.24,2.98,0.00,1.09,133.28,3.16,52.95,60.62,2023-12-24 07:00:00
8,8~9,12.44,48.75,6.55,24.32,0.10,0.00,29.90,3.73,1.62,83.29,5.10,18.13,60.06,0.92,0.76,0.00,20.94,15.75,53.43,1.57,5.15,3.37,0.00,0.86,133.84,3.15,53.12,61.06,2023-12-24 08:00:00
9,9~10,7.25,49.15,6.40,26.12,0.09,0.03,34.02,3.26,1.66,83.29,4.49,18.43,60.37,1.10,0.74,0.00,19.74,17.32,47.28,1.59,4.98,4.18,0.00,0.79,133.62,3.19,52.59,61.25,2023-12-24 09:00:00
10,10~11,7.62,49.75,6.54,27.69,0.09,0.02,54.79,3.12,1.63,87.26,5.88,19.07,62.31,0.85,1.09,0.00,21.12,25.37,33.37,1.72,4.91,4.35,0.00,1.37,132.01,3.16,53.44,59.38,2023-12-24 10:00:00
11,11~12,10.32,53.28,7.05,27.69,0.08,0.02,55.60,3.12,1.62,88.79,5.53,20.01,63.25,0.92,1.16,0.00,24.30,23.88,36.35,1.65,4.78,4.68,0.00,1.01,132.36,3.09,53.49,59.12,2023-12-24 11:00:00
12,12~13,9.00,51.07,8.43,26.81,0.09,0.02,59.58,3.23,1.63,94.27,5.41,20.05,68.81,1.10,1.69,0.00,28.11,27.76,45.90,1.60,4.66,4.19,0.00,0.59,131.23,2.85,53.31,58.81,2023-12-24 12:00:00
13,13~14,7.93,50.56,8.46,26.62,0.09,0.02,61.06,3.63,1.62,92.35,6.16,20.07,66.12,0.85,1.41,0.00,25.18,23.56,66.66,1.65,4.83,4.44,0.00,0.84,132.26,3.06,53.77,59.13,2023-12-24 13:00:00
14,14~15,9.69,51.75,7.35,28.00,0.09,0.02,59.58,4.26,1.66,95.16,6.68,20.15,68.33,1.02,1.35,0.00,35.43,30.94,53.16,1.60,4.91,4.69,0.00,1.03,133.89,3.19,53.80,60.75,2023-12-24 14:00:00
15,15~16,12.63,52.15,6.78,28.13,0.09,0.03,48.10,4.02,1.62,93.37,6.78,20.60,65.99,1.55,1.44,0.16,30.67,30.20,34.47,1.59,5.03,4.31,0.00,0.84,135.52,3.00,53.74,62.99,2023-12-24 15:00:00
16,16~17,13.62,52.69,6.58,28.00,0.17,0.04,31.65,4.07,1.81,96.20,8.66,21.16,66.38,1.40,1.84,0.17,25.74,25.31,34.77,1.56,5.21,3.41,0.69,0.82,142.48,3.12,57.66,65.70,2023-12-24 16:00:00
17,17~18,11.50,51.90,6.83,27.94,0.35,0.07,18.58,4.95,2.13,97.88,9.00,21.81,67.07,1.62,2.09,0.16,28.05,28.82,95.01,1.54,5.22,3.09,4.49,1.40,152.08,3.09,66.50,66.12,2023-12-24 17:00:00
18,18~19,10.75,53.26,6.62,26.18,0.36,0.09,15.92,6.87,1.65,96.70,8.19,21.70,66.81,1.53,1.32,0.17,29.86,28.31,134.30,1.62,5.09,2.94,4.45,0.84,148.28,2.91,62.33,67.68,2023-12-24 18:00:00
19,19~20,11.44,52.97,6.63,26.00,0.35,0.09,15.96,6.97,1.66,90.23,7.18,19.93,63.12,1.63,1.16,0.16,36.13,28.43,64.84,1.53,4.84,2.84,4.43,0.93,141.09,3.00,55.01,66.88,2023-12-24 19:00:00
20,20~21,12.87,52.74,6.06,25.44,0.35,0.09,15.79,7.56,1.65,89.18,7.53,19.72,61.93,1.65,1.28,0.17,32.50,32.18,36.60,1.56,4.46,2.59,4.42,0.87,136.46,2.59,53.26,64.56,2023-12-24 20:00:00
21,21~22,13.13,54.26,7.47,25.31,0.35,0.10,14.95,6.33,1.62,87.93,7.16,20.01,60.76,1.76,1.26,0.16,36.11,31.82,43.81,1.57,4.46,2.72,4.40,1.01,133.78,3.20,53.87,60.88,2023-12-24 21:00:00
22,22~23,18.62,51.69,5.46,24.63,0.36,0.09,10.74,5.91,1.66,87.18,6.76,19.42,61.00,1.28,1.34,0.17,41.99,43.36,144.48,1.56,4.53,2.85,4.40,1.00,134.67,3.18,55.29,60.37,2023-12-24 22:00:00
23,23~24,16.94,50.78,5.10,24.69,0.35,0.11,10.15,5.98,1.65,87.75,6.61,19.53,61.61,1.30,1.35,0.16,43.01,56.05,155.92,1.53,4.60,2.74,4.40,1.25,133.56,2.78,54.08,60.81,2023-12-24 23:00:00
