,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,20.56,49.62,5.55,25.75,0.36,0.08,11.43,4.91,1.65,85.27,6.93,19.39,58.95,1.02,0.96,0.17,48.46,39.34,88.95,1.94,2.57,3.25,4.22,0.97,139.24,3.38,59.39,59.31,2023-12-19 00:00:00
1,1~2,15.38,48.81,5.73,25.63,0.36,0.11,11.03,4.72,1.70,80.54,5.32,18.66,56.56,1.04,0.90,0.16,30.94,32.14,124.89,1.93,2.56,3.03,4.23,1.02,136.95,3.49,59.49,56.44,2023-12-19 01:00:00
2,2~3,9.12,49.29,5.66,25.50,0.35,0.13,11.22,4.06,1.66,79.94,4.19,18.78,56.97,1.01,0.96,0.17,25.71,21.16,39.14,1.94,2.61,3.21,4.22,0.69,135.66,3.25,60.11,55.18,2023-12-19 02:00:00
3,3~4,7.69,49.38,5.96,25.69,0.35,0.10,10.78,3.97,1.69,77.69,3.25,18.88,55.56,1.21,1.07,0.17,19.92,18.51,23.66,1.97,2.59,3.17,4.24,1.23,137.20,3.60,59.54,56.44,2023-12-19 03:00:00
4,4~5,7.00,48.15,5.77,25.87,0.36,0.02,11.27,3.89,1.66,78.59,3.19,18.24,57.16,1.12,0.93,0.17,17.66,23.65,22.08,1.97,2.53,3.40,4.23,0.73,137.25,3.62,59.66,56.63,2023-12-19 04:00:00
5,5~6,6.81,49.00,5.68,25.81,0.35,0.01,13.10,3.68,1.67,77.93,2.90,18.94,56.09,0.89,1.08,0.16,16.00,18.44,38.06,1.97,2.67,3.28,4.24,1.61,135.63,3.22,59.42,55.63,2023-12-19 05:00:00
6,6~7,7.88,48.29,6.05,26.25,0.30,0.03,12.33,2.86,1.22,78.53,2.84,18.34,57.35,1.00,0.87,0.17,15.40,16.73,44.14,1.93,3.92,2.57,2.25,1.46,136.71,3.72,58.59,56.43,2023-12-19 06:00:00
7,7~8,8.44,49.39,6.11,27.07,0.09,0.08,13.55,2.54,0.66,81.33,3.00,19.96,58.37,0.93,1.01,0.17,16.52,16.85,24.47,1.85,3.69,2.78,0.02,3.13,136.49,3.32,57.98,56.50,2023-12-19 07:00:00
8,8~9,8.00,51.19,6.33,33.25,0.09,0.08,22.48,3.36,1.63,85.98,3.35,22.66,59.97,0.90,0.97,0.16,18.87,18.79,27.59,2.19,3.86,3.40,0.00,7.35,141.22,5.52,59.55,56.75,2023-12-19 08:00:00
9,9~10,9.00,58.91,7.49,34.62,0.09,0.07,26.26,2.59,1.63,90.16,4.62,23.10,62.44,0.87,1.51,0.17,25.28,20.18,47.47,2.21,3.94,3.51,0.00,2.60,149.02,8.22,62.78,55.69,2023-12-19 09:00:00
10,10~11,13.56,64.01,7.10,36.00,0.09,0.07,28.02,5.01,1.62,99.69,6.57,25.78,67.34,0.90,1.78,0.17,27.13,22.44,41.24,2.63,3.81,4.50,0.00,3.00,150.34,7.13,64.19,58.56,2023-12-19 10:00:00
11,11~12,11.19,66.90,9.22,37.50,0.09,0.08,32.94,3.43,1.64,100.02,7.93,24.40,67.69,0.85,1.88,0.07,24.11,26.14,32.70,2.31,3.59,4.99,0.00,2.56,154.20,8.81,64.40,60.00,2023-12-19 11:00:00
12,12~13,14.87,67.25,9.32,36.50,0.09,0.07,33.56,3.66,1.63,104.75,8.34,25.54,70.87,0.92,1.92,0.00,30.33,27.67,36.97,2.28,3.44,4.15,0.00,1.51,155.88,7.44,65.59,62.81,2023-12-19 12:00:00
13,13~14,10.38,66.50,9.07,39.06,0.09,0.05,36.56,4.01,1.62,100.90,9.97,24.37,66.56,0.86,1.92,0.03,25.37,25.69,62.42,2.57,3.38,4.57,0.00,2.07,153.39,7.34,62.86,62.94,2023-12-19 13:00:00
14,14~15,10.31,68.99,9.70,40.38,0.09,0.08,34.30,4.32,1.67,108.60,11.00,25.18,72.42,1.01,2.61,0.17,24.50,22.92,36.15,2.46,3.93,4.62,0.00,2.11,158.77,7.87,63.31,67.69,2023-12-19 14:00:00
15,15~16,9.50,69.07,9.64,39.87,0.09,0.06,32.24,4.39,2.06,108.26,12.41,25.55,70.30,1.18,3.20,0.17,28.76,25.87,34.92,2.32,5.06,4.57,0.00,5.17,162.19,7.35,64.78,69.13,2023-12-19 15:00:00
16,16~17,8.50,67.72,8.59,39.88,0.17,0.04,30.64,4.57,2.05,112.03,10.94,26.59,74.50,0.98,3.10,0.16,25.71,28.75,50.71,2.12,4.59,4.40,0.56,3.32,165.62,7.00,65.06,73.50,2023-12-19 16:00:00
17,17~18,11.50,67.13,8.04,37.31,0.35,0.09,40.73,5.40,2.14,103.31,8.40,25.75,69.16,1.43,2.87,0.17,33.27,29.43,67.67,2.50,4.34,4.25,4.32,4.35,157.31,6.75,61.51,69.69,2023-12-19 17:00:00
18,18~19,16.37,63.99,8.95,33.69,0.36,0.10,53.55,5.17,1.68,99.83,8.32,24.89,66.62,1.46,2.83,0.17,39.05,34.97,61.00,2.50,4.09,3.91,4.28,0.75,154.87,4.88,61.58,69.68,2023-12-19 18:00:00
19,19~20,15.44,59.35,7.58,31.69,0.35,0.10,53.08,4.54,1.67,97.18,8.81,22.43,65.94,1.91,2.44,0.16,48.61,36.86,147.98,2.44,3.79,3.25,4.27,0.71,149.70,4.62,60.10,67.25,2023-12-19 19:00:00
20,20~21,18.13,56.13,6.03,29.75,0.35,0.09,49.60,3.75,1.69,95.33,8.81,22.46,64.06,1.61,1.71,0.17,43.13,38.04,93.07,2.44,3.40,3.00,4.25,1.14,148.50,3.68,58.88,68.31,2023-12-19 20:00:00
21,21~22,18.81,55.11,6.00,28.87,0.36,0.10,44.50,4.15,1.66,90.66,8.25,21.41,61.00,1.08,1.53,0.17,44.55,49.73,164.14,2.47,3.50,2.94,4.24,0.85,144.57,3.91,59.74,63.63,2023-12-19 21:00:00
