,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,20.50,53.84,5.97,29.25,0.36,0.10,9.36,3.64,1.63,88.63,4.62,23.60,60.41,1.45,0.67,0.16,43.24,39.14,56.16,2.50,2.32,3.19,4.42,0.96,175.21,6.29,66.05,75.75,2023-10-29 00:00:00
1,1~2,13.93,51.91,5.72,29.25,0.35,0.11,9.09,3.78,1.68,88.85,4.63,23.41,60.81,1.40,0.55,0.17,42.35,39.97,70.87,2.53,2.31,3.24,4.42,1.69,175.72,6.21,65.88,75.51,2023-10-29 01:00:00
2,2~3,9.44,51.77,5.81,28.75,0.36,0.12,9.46,3.45,1.67,86.72,3.90,21.29,61.53,1.06,0.63,0.17,35.21,31.74,117.32,2.50,2.35,2.76,4.42,0.70,175.80,5.88,65.83,76.06,2023-10-29 02:00:00
3,3~4,8.56,51.93,5.88,29.00,0.35,0.08,10.05,3.07,1.64,86.07,3.88,21.28,60.91,1.05,0.65,0.17,32.40,23.29,40.57,2.60,2.35,3.12,4.44,0.96,173.06,5.84,65.40,74.00,2023-10-29 03:00:00
4,4~5,8.63,51.26,5.97,28.68,0.36,0.11,11.51,3.06,1.67,85.69,3.60,21.44,60.65,1.00,0.53,0.16,27.13,24.19,31.17,2.65,2.31,3.25,4.42,0.97,174.65,6.23,66.65,73.69,2023-10-29 04:00:00
5,5~6,8.12,51.38,5.86,28.88,0.36,0.09,11.49,2.85,1.64,85.56,3.55,21.59,60.42,0.99,0.64,0.17,23.83,23.31,27.61,2.63,2.42,3.22,3.27,1.09,174.31,6.21,66.28,73.81,2023-10-29 05:00:00
6,6~7,7.44,51.79,6.02,29.00,0.14,0.08,10.10,2.34,0.95,86.44,3.51,21.10,61.83,0.84,0.65,0.17,23.56,19.50,26.55,2.53,3.06,3.12,0.30,0.93,171.65,5.72,65.37,73.06,2023-10-29 06:00:00
7,7~8,6.50,51.84,6.76,29.69,0.10,0.07,17.32,2.27,0.65,85.22,3.47,20.37,61.38,0.99,0.55,0.16,24.03,19.91,56.27,2.59,3.08,3.53,0.00,0.68,176.39,6.03,63.62,78.82,2023-10-29 07:00:00
8,8~9,7.19,52.37,7.99,31.75,0.09,0.07,58.66,2.37,1.60,86.50,3.40,20.94,62.16,1.20,0.61,0.17,25.45,21.36,49.81,2.50,3.06,4.69,0.00,0.89,176.80,6.47,63.87,78.87,2023-10-29 08:00:00
9,9~10,8.12,53.30,8.44,33.50,0.09,0.06,66.03,2.97,1.55,89.70,3.81,21.24,64.65,0.99,0.54,0.01,28.78,26.81,30.81,2.56,3.07,7.73,0.00,1.19,179.64,6.10,64.22,81.31,2023-10-29 09:00:00
10,10~11,16.69,56.53,8.10,34.06,0.10,0.05,68.20,3.11,1.57,95.87,7.07,22.60,66.20,0.93,1.21,0.00,33.13,24.96,39.26,2.50,3.04,8.96,0.00,1.42,178.77,5.84,64.33,80.81,2023-10-29 10:00:00
11,11~12,15.63,60.62,8.24,33.56,0.10,0.06,63.35,3.03,1.58,98.56,6.43,24.98,67.15,1.53,1.38,0.00,34.71,32.74,36.26,2.57,3.03,8.41,0.00,0.84,178.53,6.00,63.83,80.75,2023-10-29 11:00:00
12,12~13,13.25,61.13,8.39,35.00,0.09,0.05,67.60,3.93,1.57,96.31,5.53,23.54,67.24,0.96,1.32,0.00,36.83,28.56,60.90,2.72,3.03,7.62,0.00,0.96,183.45,6.06,64.73,84.75,2023-10-29 12:00:00
13,13~14,14.25,60.97,8.35,38.19,0.09,0.03,70.86,4.23,1.58,104.10,8.88,27.09,68.13,0.85,0.83,0.00,29.23,30.15,55.28,2.65,3.18,8.69,0.00,0.98,184.85,6.28,64.38,85.88,2023-10-29 13:00:00
14,14~15,13.31,61.62,7.88,38.19,0.10,0.05,70.34,3.82,1.61,106.78,9.50,27.56,69.72,1.13,0.63,0.00,34.40,29.29,43.71,2.72,3.04,7.40,0.00,0.88,188.37,7.50,65.90,86.00,2023-10-29 14:00:00
15,15~16,15.00,62.50,7.92,37.06,0.09,0.04,63.02,3.61,1.55,106.87,8.25,28.49,70.13,0.81,0.64,0.04,30.28,34.60,42.32,2.78,3.04,7.31,0.00,0.86,188.73,7.38,66.28,85.87,2023-10-29 15:00:00
16,16~17,12.12,59.67,7.80,36.50,0.13,0.05,60.89,4.54,1.69,107.58,7.56,27.34,72.68,0.86,0.54,0.17,32.13,35.45,55.06,2.66,3.03,5.23,0.39,0.75,189.36,7.50,65.93,87.37,2023-10-29 16:00:00
17,17~18,13.63,58.86,7.60,36.00,0.36,0.07,41.55,5.11,2.08,108.25,7.13,26.77,74.35,1.02,0.63,0.17,41.02,37.54,67.79,2.65,3.00,4.18,4.50,1.22,188.07,7.15,65.05,87.26,2023-10-29 17:00:00
18,18~19,20.06,60.35,6.43,31.87,0.35,0.01,19.50,5.62,1.64,107.84,9.77,27.01,71.06,1.11,0.53,0.16,40.90,37.86,48.10,2.66,2.85,3.72,4.46,0.96,181.16,6.31,64.98,81.63,2023-10-29 18:00:00
19,19~20,15.44,60.07,5.66,31.50,0.36,0.02,14.72,5.47,1.64,109.12,10.82,27.25,71.05,1.17,0.65,0.17,40.12,42.75,60.16,2.63,2.84,3.48,4.45,1.34,177.22,5.75,65.51,77.24,2023-10-29 19:00:00
20,20~21,14.25,54.64,5.70,31.19,0.35,0.02,14.61,5.24,1.68,105.04,10.81,26.41,67.82,1.52,0.61,0.17,53.45,47.37,148.91,2.59,2.24,3.46,4.43,0.93,174.91,6.07,64.95,75.94,2023-10-29 20:00:00
21,21~22,15.31,53.09,5.50,31.19,0.35,0.01,13.45,7.33,1.63,101.17,9.63,26.94,64.60,1.16,0.64,0.16,54.27,46.49,64.76,2.56,2.29,3.19,4.41,0.75,172.59,5.91,63.03,75.37,2023-10-29 21:00:00
22,22~23,22.63,53.19,5.51,30.25,0.36,0.03,10.27,5.57,1.64,97.48,8.43,26.56,62.49,1.15,0.54,0.17,52.60,50.84,165.43,2.50,2.29,3.37,4.41,1.14,173.62,5.66,63.41,76.26,2023-10-29 22:00:00
23,23~24,22.62,51.63,5.54,28.75,0.35,0.11,9.29,5.80,1.65,93.04,5.88,24.25,62.91,1.11,0.62,0.17,63.82,57.62,71.12,2.72,2.31,3.19,4.40,0.97,175.35,5.87,63.37,78.05,2023-10-29 23:00:00
