,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,21.56,53.88,4.09,28.19,0.38,0.12,9.52,2.80,2.14,---,3.37,---,63.31,1.61,0.13,0.00,44.66,44.84,99.22,1.69,3.10,2.72,---,---,---,2.91,71.50,76.96,2023-03-11 00:00:00
1,1~2,13.25,53.16,4.55,26.69,0.38,0.13,10.21,2.90,2.13,---,2.84,---,61.68,1.42,0.07,0.00,33.26,31.56,135.37,1.78,3.10,3.12,---,---,---,3.00,71.85,76.87,2023-03-11 01:00:00
2,2~3,7.19,52.59,4.70,26.87,0.38,0.12,11.22,2.88,2.14,---,2.97,---,61.20,1.53,0.09,0.00,25.04,30.06,55.98,1.75,3.17,2.88,---,---,---,3.39,70.91,74.67,2023-03-11 02:00:00
3,3~4,6.13,52.35,4.90,26.25,0.38,0.12,10.56,2.95,2.10,---,3.00,---,60.97,1.35,0.15,0.00,23.56,20.67,27.58,1.72,3.07,3.06,---,---,---,2.89,71.86,75.65,2023-03-11 03:00:00
4,4~5,5.62,50.62,4.22,26.82,0.38,0.13,11.28,2.72,2.12,---,3.04,---,60.78,1.44,0.17,0.00,20.77,17.05,20.73,1.78,3.11,2.88,---,---,---,3.22,71.16,74.37,2023-03-11 04:00:00
5,5~6,5.19,49.06,4.19,26.81,0.38,0.13,11.34,2.66,2.04,---,2.81,---,61.34,1.36,0.11,0.00,16.88,16.38,20.40,1.81,3.10,3.00,---,---,---,3.14,71.28,75.13,2023-03-11 05:00:00
6,6~7,4.37,48.47,5.19,27.19,0.21,0.06,10.00,2.32,0.89,---,2.84,---,63.66,1.46,0.12,0.00,17.26,16.62,43.55,1.75,3.53,2.87,---,---,---,3.17,71.29,77.12,2023-03-11 06:00:00
7,7~8,4.44,48.37,4.49,27.81,0.11,0.03,19.13,2.04,0.65,---,2.91,---,63.72,1.21,0.18,0.00,17.10,18.50,31.70,1.78,3.54,3.10,---,---,---,2.80,71.81,77.88,2023-03-11 07:00:00
8,8~9,1.44,15.85,1.62,28.37,0.04,0.01,81.08,2.03,1.60,---,3.25,---,65.22,1.25,0.16,0.00,18.21,18.88,25.74,1.75,3.54,3.47,---,---,---,3.67,72.49,79.44,2023-03-11 08:00:00
9,9~10,0.00,0.00,0.00,29.63,0.00,0.00,91.28,2.12,1.60,---,3.91,---,69.21,1.01,0.13,0.00,21.92,22.55,30.09,1.72,3.73,3.97,---,---,---,4.58,74.33,79.40,2023-03-11 09:00:00
10,10~11,0.00,0.00,0.00,30.81,0.00,0.00,98.69,2.64,1.60,---,4.49,---,71.76,1.03,0.08,0.00,25.47,26.16,54.76,1.72,3.79,4.34,---,---,---,5.51,74.02,86.82,2023-03-11 10:00:00
11,11~12,0.00,0.00,0.00,32.25,0.00,0.00,91.59,2.44,1.60,---,4.72,---,73.50,1.11,0.06,0.00,26.13,23.32,43.09,1.75,4.02,4.16,---,---,---,4.76,75.33,89.52,2023-03-11 11:00:00
12,12~13,0.00,0.00,0.00,33.00,0.00,0.00,88.07,2.09,1.60,---,4.09,---,72.62,1.16,0.07,0.00,27.14,27.74,29.84,1.69,3.82,4.21,---,---,---,5.07,76.37,93.70,2023-03-11 12:00:00
13,13~14,0.00,0.00,0.00,34.25,0.00,0.00,86.75,2.28,1.57,---,3.66,---,72.81,1.47,0.08,0.00,24.84,28.44,57.49,1.69,3.82,4.81,---,---,---,6.05,77.99,101.84,2023-03-11 13:00:00
14,14~15,10.56,49.47,5.81,34.06,0.10,0.00,84.53,2.24,1.62,---,4.00,---,72.69,1.09,0.07,0.00,25.92,33.19,116.20,1.81,3.77,4.69,---,---,---,6.25,79.46,100.53,2023-03-11 14:00:00
15,15~16,5.69,55.68,5.44,34.13,0.13,0.01,82.89,2.54,1.57,---,4.31,---,72.44,1.62,0.08,0.00,30.91,29.69,53.41,1.72,3.74,4.84,---,---,---,10.76,77.78,91.57,2023-03-11 15:00:00
16,16~17,6.06,57.44,6.40,33.06,0.13,0.03,67.44,2.72,1.63,---,4.97,---,70.65,1.13,0.07,0.00,40.86,25.06,34.10,1.53,3.63,3.44,---,---,---,10.22,77.61,86.59,2023-03-11 16:00:00
17,17~18,8.69,58.65,5.69,32.13,0.23,0.04,34.53,3.45,1.64,---,4.70,---,69.34,1.25,0.06,0.00,35.79,26.37,35.49,1.50,3.57,3.16,---,---,---,3.10,76.27,87.03,2023-03-11 17:00:00
