,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,18.75,69.56,6.70,35.63,0.40,0.11,---,5.74,1.56,96.83,3.59,26.62,66.62,1.55,3.04,0.17,69.46,64.46,134.50,2.47,4.31,3.13,4.37,0.82,198.80,3.44,78.71,88.87,2024-04-03 00:00:00
1,1~2,15.13,66.95,6.92,35.16,0.39,0.12,---,5.33,1.58,93.71,3.10,25.34,65.27,1.07,2.81,0.16,63.42,47.97,107.28,2.47,4.38,2.93,4.39,1.21,193.24,3.03,77.08,86.06,2024-04-03 01:00:00
2,2~3,9.18,66.18,6.63,34.29,0.40,0.12,---,4.81,1.61,94.60,2.84,25.93,65.83,1.02,2.89,0.17,50.41,38.27,47.79,2.37,4.25,2.72,4.39,0.97,190.91,2.84,76.32,84.94,2024-04-03 02:00:00
3,3~4,7.44,66.09,6.71,33.58,0.40,0.11,---,4.78,1.62,93.20,2.78,25.06,65.36,1.03,2.56,0.17,45.66,33.03,41.37,2.28,4.19,3.28,4.39,1.28,190.18,3.22,76.09,84.19,2024-04-03 03:00:00
4,4~5,7.19,65.19,6.53,33.22,0.39,0.03,---,4.15,1.59,91.75,2.66,24.34,64.75,0.98,2.68,0.16,39.38,31.62,38.40,2.28,4.12,2.87,4.38,1.18,189.01,2.79,75.59,83.44,2024-04-03 04:00:00
5,5~6,6.94,63.19,6.70,33.26,0.38,0.01,---,2.01,1.53,92.29,2.68,24.55,65.06,0.91,2.63,0.17,36.18,29.31,36.13,2.25,4.19,3.07,4.41,0.78,187.05,3.11,75.35,82.37,2024-04-03 05:00:00
6,6~7,7.18,64.16,6.89,35.64,0.14,0.06,---,1.50,0.84,93.56,2.54,24.45,66.57,1.19,2.79,0.08,34.58,28.49,38.02,2.25,5.31,3.25,1.93,1.65,189.90,3.60,75.48,83.62,2024-04-03 06:00:00
7,7~8,10.75,64.84,7.32,40.20,0.13,0.07,---,1.46,0.62,96.13,2.72,26.35,67.06,1.36,2.65,0.00,36.81,28.88,45.48,2.32,5.50,3.56,0.00,3.37,193.41,3.38,75.96,85.63,2024-04-03 07:00:00
8,8~9,13.19,71.62,9.39,52.67,0.12,0.11,---,1.72,1.56,107.42,3.00,27.41,77.01,1.09,3.01,0.00,44.33,33.67,56.44,2.59,6.19,6.88,0.00,3.40,206.73,6.56,78.42,93.81,2024-04-03 08:00:00
9,9~10,12.25,83.10,10.85,64.33,0.14,0.04,---,4.62,1.58,127.74,4.78,36.71,86.25,1.32,3.53,0.00,40.90,30.69,60.93,3.41,6.94,8.75,0.00,3.48,236.29,15.34,85.96,104.57,2024-04-03 09:00:00
10,10~11,11.13,100.90,11.46,68.26,0.13,0.06,---,2.51,1.57,142.23,10.94,37.26,94.03,1.31,4.06,0.00,45.61,35.20,77.38,3.50,7.87,9.18,0.00,6.61,247.52,14.09,89.90,111.37,2024-04-03 10:00:00
11,11~12,11.00,108.44,12.45,72.30,0.14,0.23,---,5.25,1.76,149.86,10.38,43.30,96.18,1.25,4.07,0.00,47.63,34.12,47.84,3.68,7.51,9.19,0.00,13.73,256.07,14.57,91.79,115.87,2024-04-03 11:00:00
12,12~13,13.31,117.03,14.78,69.96,0.14,0.20,---,7.62,1.61,147.47,10.99,41.88,94.60,1.18,4.43,0.00,50.58,31.48,49.94,3.78,7.13,8.75,0.00,12.13,258.72,13.75,92.65,118.63,2024-04-03 12:00:00
13,13~14,11.94,120.03,15.36,72.66,0.14,0.11,---,8.17,1.59,149.21,15.72,41.01,92.48,1.17,4.43,0.00,45.76,33.06,45.81,3.66,6.62,9.44,0.00,4.00,270.03,15.50,92.32,129.37,2024-04-03 13:00:00
14,14~15,17.62,118.26,15.04,66.27,0.13,0.06,---,8.21,1.59,154.61,18.00,43.55,93.06,1.38,4.44,0.00,36.61,33.92,42.75,3.69,6.94,7.47,0.00,3.67,277.95,21.46,91.48,132.45,2024-04-03 14:00:00
15,15~16,13.63,112.37,13.29,64.06,0.15,0.08,---,9.12,1.61,157.67,18.13,45.37,94.17,1.19,4.13,0.14,28.49,26.77,47.03,3.56,6.50,3.00,0.02,10.03,266.86,19.75,91.02,124.24,2024-04-03 15:00:00
16,16~17,13.12,115.59,13.98,62.37,0.14,0.07,---,8.98,1.69,148.43,14.03,41.02,93.38,1.22,3.83,0.17,29.83,27.49,52.04,3.84,5.62,2.96,0.78,16.13,255.24,16.54,89.26,117.26,2024-04-03 16:00:00
