,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,12.50,70.26,8.38,37.67,0.44,0.11,10.68,2.07,1.67,76.69,1.75,16.63,58.31,1.11,2.13,0.00,67.60,44.29,65.69,3.62,3.38,5.85,4.59,0.83,230.90,10.56,83.18,109.64,2024-08-22 00:00:00
1,1~2,10.38,66.06,8.11,37.00,0.43,0.11,10.66,2.15,1.70,75.04,1.54,16.08,57.42,1.27,2.27,0.00,59.96,36.53,102.94,3.50,3.31,5.09,4.54,0.74,228.35,10.12,82.64,108.59,2024-08-22 01:00:00
2,2~3,10.50,65.31,8.18,36.41,0.43,0.12,10.77,2.10,1.67,74.08,1.56,16.04,56.48,3.48,1.85,0.00,53.21,34.23,116.74,3.50,3.25,5.16,4.51,1.04,224.46,9.88,81.87,106.31,2024-08-22 02:00:00
3,3~4,11.69,64.25,8.16,36.50,0.44,0.02,12.07,2.06,1.65,74.27,1.65,16.19,56.43,3.33,1.96,0.00,50.83,31.54,45.13,3.47,3.25,5.24,4.51,0.93,222.12,10.06,81.78,105.13,2024-08-22 03:00:00
4,4~5,7.93,62.68,7.97,36.71,0.43,0.03,11.57,2.12,1.69,72.97,1.47,15.82,55.68,2.93,1.89,0.00,48.73,28.71,44.63,3.47,3.25,5.29,4.52,1.50,222.31,10.69,81.38,105.00,2024-08-22 04:00:00
5,5~6,7.69,63.39,7.86,36.27,0.36,0.06,11.24,2.13,1.64,72.60,1.44,15.56,55.60,3.20,2.00,0.00,44.72,28.34,41.99,3.53,3.38,5.63,1.85,0.79,220.12,9.66,80.51,104.09,2024-08-22 05:00:00
6,6~7,8.25,63.49,7.93,36.19,0.17,0.06,14.44,1.81,0.70,75.69,1.32,15.16,59.21,3.08,1.84,0.00,45.09,28.22,41.91,3.59,4.57,5.43,0.00,10.97,220.50,9.24,81.23,103.24,2024-08-22 06:00:00
7,7~8,9.13,65.94,8.84,45.83,0.17,0.08,29.02,1.86,0.66,75.97,1.28,16.41,58.28,2.86,2.22,0.00,45.70,27.30,44.60,3.57,4.62,6.00,0.00,12.72,233.96,13.89,83.54,107.44,2024-08-22 07:00:00
8,8~9,9.87,72.75,10.20,55.07,0.17,0.09,55.15,1.97,0.74,88.03,2.71,24.25,61.07,1.23,2.53,0.00,42.97,26.85,47.47,3.72,5.88,6.82,0.00,3.35,255.24,15.75,88.05,119.84,2024-08-22 08:00:00
9,9~10,11.50,97.62,10.87,64.41,0.18,0.10,70.20,6.80,0.71,97.51,2.88,26.24,68.39,1.21,3.21,0.00,41.48,26.27,41.87,4.56,6.81,7.99,0.00,4.06,301.26,32.40,100.43,131.57,2024-08-22 09:00:00
