,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,19.75,62.85,8.20,31.98,0.37,0.11,9.95,3.39,1.61,104.27,5.72,25.62,72.93,1.98,2.99,0.17,85.07,65.01,164.97,2.41,3.93,4.29,4.39,0.92,184.53,5.30,61.63,91.00,2024-04-17 00:00:00
1,1~2,13.32,61.90,7.46,31.68,0.38,0.11,9.69,2.62,1.65,96.68,3.10,25.54,68.04,1.01,3.21,0.16,75.23,48.63,85.44,2.28,3.94,3.81,4.38,0.97,183.30,5.85,61.31,88.93,2024-04-17 01:00:00
2,2~3,8.37,61.10,7.89,31.97,0.37,0.12,10.47,2.16,1.66,94.23,3.44,23.74,67.05,0.99,2.96,0.17,61.92,40.72,48.24,2.40,4.00,3.50,4.37,1.38,182.30,5.25,61.54,88.44,2024-04-17 02:00:00
3,3~4,8.00,62.50,7.49,32.00,0.37,0.11,10.76,2.36,1.63,91.27,2.94,23.08,65.25,1.04,2.97,0.16,54.53,34.41,43.26,2.35,3.94,3.28,4.39,0.99,179.89,5.16,60.81,87.57,2024-04-17 03:00:00
4,4~5,7.94,62.62,7.63,31.29,0.38,0.05,11.92,2.05,1.65,90.18,2.93,22.71,64.54,1.06,2.95,0.17,48.30,32.44,40.85,2.40,3.75,3.97,4.38,0.94,178.32,5.71,60.12,85.93,2024-04-17 04:00:00
5,5~6,7.87,62.66,7.35,30.96,0.30,0.01,11.79,2.18,1.56,91.04,2.97,23.36,64.71,0.88,3.04,0.17,45.63,30.50,39.55,2.44,3.87,3.69,4.38,0.98,177.21,5.78,59.33,85.94,2024-04-17 05:00:00
6,6~7,6.82,60.69,7.39,34.58,0.11,0.04,10.85,2.02,0.91,91.52,3.09,22.63,65.80,1.48,3.29,0.11,45.03,31.53,42.60,2.44,6.19,3.41,1.79,1.62,177.74,5.44,59.71,85.94,2024-04-17 06:00:00
7,7~8,7.62,65.34,7.84,39.47,0.11,0.01,16.33,2.02,0.61,100.10,3.41,27.72,68.97,1.00,3.07,0.00,44.54,32.28,48.87,2.40,6.31,4.06,0.00,2.83,185.17,5.81,60.68,89.81,2024-04-17 07:00:00
8,8~9,12.06,68.82,10.50,49.38,0.11,0.02,36.95,2.33,1.22,115.51,4.37,32.40,78.74,1.02,3.53,0.00,48.36,34.58,61.22,2.60,6.57,6.93,0.00,3.89,208.91,20.13,64.01,93.81,2024-04-17 08:00:00
9,9~10,13.88,92.27,9.03,56.57,0.11,0.04,43.77,7.04,1.57,130.31,9.20,37.82,83.29,0.95,3.85,0.00,46.58,36.24,80.40,2.94,7.13,9.75,0.00,3.68,251.95,36.91,74.03,105.38,2024-04-17 09:00:00
