,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,19.25,52.21,5.23,24.44,0.37,0.13,9.86,2.47,1.94,---,3.63,---,55.76,1.24,0.19,0.00,50.38,56.55,180.73,1.69,3.14,2.91,---,---,---,5.25,68.77,69.07,2023-02-22 00:00:00
1,1~2,13.62,50.10,5.38,24.00,0.37,0.13,9.30,2.17,1.98,---,3.12,---,56.06,1.45,0.18,0.00,35.74,43.94,85.53,1.69,3.20,2.63,---,---,---,5.25,68.57,69.52,2023-02-22 01:00:00
2,2~3,6.69,49.15,5.19,24.06,0.36,0.13,7.98,2.19,1.96,---,3.10,---,55.15,1.46,0.19,0.00,25.38,21.72,124.85,1.72,3.14,2.69,---,---,---,5.06,68.71,68.01,2023-02-22 02:00:00
3,3~4,6.06,49.85,5.34,24.19,0.36,0.14,9.54,2.17,2.01,---,3.06,---,55.62,1.40,0.16,0.00,19.99,21.00,49.79,1.69,3.23,2.75,---,---,---,4.73,67.94,67.81,2023-02-22 03:00:00
4,4~5,5.31,49.22,5.28,24.31,0.37,0.02,10.12,2.22,1.97,---,3.09,---,56.22,1.37,0.10,0.00,17.79,17.16,25.62,1.78,3.26,2.75,---,---,---,5.21,67.79,67.54,2023-02-22 04:00:00
5,5~6,5.32,50.00,5.47,24.50,0.37,0.02,10.72,2.28,1.96,---,3.31,---,55.19,1.36,0.08,0.00,17.12,17.41,19.04,1.78,3.29,2.52,---,---,---,5.09,68.90,66.99,2023-02-22 05:00:00
6,6~7,4.25,49.18,6.87,25.25,0.28,0.03,9.22,1.80,1.13,---,3.31,---,58.16,1.25,0.19,0.00,15.34,15.73,44.04,1.81,4.15,2.48,---,---,---,5.07,67.95,69.84,2023-02-22 06:00:00
7,7~8,4.75,50.35,6.13,26.44,0.09,0.00,12.05,1.73,0.69,---,3.70,---,58.06,1.63,0.18,0.00,15.95,16.98,52.43,1.78,4.16,2.75,---,---,---,4.78,68.40,70.35,2023-02-22 07:00:00
8,8~9,5.87,53.25,6.16,31.93,0.10,0.02,19.28,1.79,1.92,---,4.62,---,58.65,1.42,0.18,0.00,23.37,24.33,31.35,1.81,4.04,3.87,---,---,---,8.98,70.49,71.78,2023-02-22 08:00:00
9,9~10,6.94,67.28,7.76,36.94,0.09,0.03,28.10,3.03,2.07,---,7.38,---,68.50,1.30,0.19,0.00,23.40,29.29,30.25,1.94,4.43,4.41,---,---,---,14.85,81.17,75.53,2023-02-22 09:00:00
