,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,19.50,61.59,6.13,30.75,0.35,0.10,11.56,6.70,2.19,---,4.06,---,68.91,1.16,0.13,0.00,67.09,64.41,145.61,1.53,3.14,3.90,---,---,---,2.93,76.66,82.31,2023-04-18 00:00:00
1,1~2,14.25,60.94,6.46,30.94,0.35,0.11,11.47,4.57,2.17,---,3.87,---,67.62,1.23,0.10,0.00,50.63,61.30,62.30,1.47,2.99,3.84,---,---,---,3.13,75.97,81.84,2023-04-18 01:00:00
2,2~3,11.57,60.34,6.47,31.00,0.36,0.08,12.01,4.03,2.21,---,3.88,---,65.82,1.19,0.07,0.00,43.21,46.69,45.54,1.38,3.00,3.72,---,---,---,2.97,73.40,79.82,2023-04-18 02:00:00
3,3~4,8.00,59.64,6.38,31.81,0.35,0.10,13.16,3.98,2.20,---,3.68,---,66.69,1.20,0.06,0.00,37.62,37.60,41.30,1.37,2.99,4.31,---,---,---,3.12,73.50,79.90,2023-04-18 03:00:00
4,4~5,8.00,59.87,6.57,31.19,0.35,0.01,13.08,4.00,2.17,---,3.66,---,65.97,1.17,0.07,0.00,34.41,35.41,38.78,1.44,2.98,3.85,---,---,---,3.01,73.82,77.35,2023-04-18 04:00:00
5,5~6,7.00,58.09,6.31,30.56,0.29,0.01,13.53,4.11,1.63,---,3.68,---,66.24,1.35,0.06,0.00,31.85,32.05,58.38,1.47,3.08,3.96,---,---,---,3.34,72.99,77.52,2023-04-18 05:00:00
6,6~7,7.06,60.25,7.34,30.88,0.09,0.01,11.97,3.58,0.94,---,3.44,---,67.63,1.05,0.07,0.00,32.59,31.67,50.06,1.47,4.35,3.85,---,---,---,2.78,73.35,79.38,2023-04-18 06:00:00
7,7~8,8.69,62.57,7.61,34.00,0.09,0.05,16.84,3.14,0.83,---,3.79,---,72.91,1.31,0.06,0.00,33.98,31.03,38.08,1.46,4.07,4.00,---,---,---,3.13,75.36,80.85,2023-04-18 07:00:00
8,8~9,11.18,68.24,8.39,41.12,0.10,0.07,28.04,4.95,1.74,---,5.27,---,78.46,1.44,0.06,0.00,35.72,33.18,41.60,1.69,4.24,7.16,---,---,---,6.31,79.81,87.43,2023-04-18 08:00:00
9,9~10,11.19,94.34,10.88,46.82,0.09,0.07,43.54,6.57,1.81,---,8.13,---,86.67,1.31,0.44,0.00,44.35,34.19,45.30,1.75,5.45,8.34,---,---,---,14.25,84.61,95.26,2023-04-18 09:00:00
10,10~11,14.63,109.94,13.04,51.93,0.11,0.03,42.91,7.20,1.77,---,11.47,---,96.58,1.95,0.76,0.00,38.71,31.40,67.21,1.97,5.70,8.65,---,---,---,23.47,90.55,104.99,2023-04-18 10:00:00
11,11~12,15.00,115.91,15.70,53.75,0.10,0.04,49.75,6.98,2.09,---,12.44,---,91.57,2.15,2.46,0.00,37.97,36.32,40.12,1.88,5.34,8.79,---,---,---,24.97,92.86,116.70,2023-04-18 11:00:00
12,12~13,13.00,114.53,14.39,58.82,0.10,0.05,52.43,9.16,2.11,---,12.59,---,95.66,2.03,1.99,0.00,44.01,36.72,42.96,1.90,5.39,8.59,---,---,---,19.43,96.41,126.12,2023-04-18 12:00:00
13,13~14,11.43,125.06,14.83,60.75,0.10,0.04,59.17,11.52,2.10,---,22.29,---,95.88,2.44,2.16,0.00,44.63,41.09,48.29,1.75,5.34,10.59,---,---,---,20.12,96.14,127.09,2023-04-18 13:00:00
14,14~15,10.50,114.04,15.75,63.06,0.11,0.06,67.56,13.41,2.19,---,23.03,---,94.89,3.00,2.46,0.00,39.88,39.25,44.05,1.72,5.42,10.00,---,---,---,34.14,96.38,126.81,2023-04-18 14:00:00
15,15~16,10.50,108.46,15.92,63.62,0.09,0.04,70.57,12.74,1.86,---,20.59,---,95.60,2.23,2.83,0.00,36.46,35.31,53.00,1.84,5.30,8.63,---,---,---,37.56,93.39,124.50,2023-04-18 15:00:00
16,16~17,14.32,107.04,14.51,60.38,0.11,0.03,60.07,12.68,1.69,---,19.25,---,94.53,1.43,2.28,0.00,39.18,37.63,57.31,1.79,4.86,8.25,---,---,---,23.96,93.08,128.16,2023-04-18 16:00:00
17,17~18,12.43,102.52,14.23,51.44,0.12,0.04,98.46,13.29,1.75,---,18.53,---,91.78,1.33,0.75,0.00,43.70,38.63,52.17,1.84,4.02,5.75,---,---,---,5.45,91.64,124.47,2023-04-18 17:00:00
18,18~19,15.19,98.16,14.37,47.31,0.36,0.11,137.25,12.33,2.06,---,18.19,---,92.13,1.45,0.40,0.00,45.82,37.08,55.36,1.78,3.36,5.12,---,---,---,5.24,89.89,115.56,2023-04-18 18:00:00
19,19~20,18.31,90.28,14.14,42.75,0.36,0.12,125.61,9.34,2.20,---,16.75,---,87.90,1.36,0.77,0.00,50.40,47.32,155.52,1.69,3.24,4.97,---,---,---,3.85,86.14,113.34,2023-04-18 19:00:00
20,20~21,16.63,82.41,6.85,40.31,0.36,0.11,109.88,8.89,2.22,---,17.43,---,84.97,1.49,0.83,0.00,60.19,51.85,76.42,1.75,3.29,4.38,---,---,---,3.74,82.15,111.44,2023-04-18 20:00:00
21,21~22,16.12,81.19,6.35,38.69,0.36,0.12,80.07,9.01,2.24,---,17.38,---,84.12,1.52,0.61,0.00,63.51,59.71,90.76,1.81,3.33,4.37,---,---,---,3.38,81.02,108.69,2023-04-18 21:00:00
22,22~23,20.13,70.03,6.24,35.62,0.35,0.11,13.25,8.39,2.22,---,11.60,---,78.32,1.33,0.07,0.00,75.61,64.69,171.54,1.75,3.37,4.66,---,---,---,3.50,80.92,107.82,2023-04-18 22:00:00
23,23~24,19.50,69.00,6.30,32.32,0.36,0.11,9.92,5.92,2.24,---,10.53,---,75.53,1.29,0.08,0.00,87.03,73.81,137.67,1.75,3.22,4.84,---,---,---,4.03,79.97,104.18,2023-04-18 23:00:00
