,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,17.81,79.65,8.77,34.49,0.47,0.10,15.75,2.22,1.71,---,1.90,---,61.14,3.91,3.60,0.17,82.46,53.49,128.19,2.93,2.76,6.32,2.58,0.98,---,8.62,80.22,112.60,2024-07-15 00:00:00
1,1~2,11.63,76.76,9.20,33.87,0.46,0.11,14.94,3.12,1.68,---,1.54,---,58.08,1.88,3.30,0.16,76.45,51.36,93.62,2.60,2.68,5.87,2.60,0.79,---,7.68,79.58,110.20,2024-07-15 01:00:00
2,2~3,11.69,75.47,9.10,33.64,0.46,0.09,13.59,4.71,1.70,---,1.60,---,57.91,1.28,3.60,0.17,69.13,43.61,60.16,2.65,2.69,5.62,2.59,1.21,---,8.19,79.40,107.92,2024-07-15 02:00:00
3,3~4,10.56,75.37,8.82,33.07,0.47,0.03,13.65,4.22,1.71,---,1.52,---,55.27,1.46,3.52,0.16,65.15,39.10,54.69,2.60,2.70,5.60,2.59,0.86,---,8.10,79.37,108.14,2024-07-15 03:00:00
4,4~5,9.62,76.47,8.94,32.45,0.47,0.00,15.83,4.04,1.68,---,1.51,---,52.62,1.26,3.86,0.17,60.52,36.74,51.81,2.62,2.75,5.81,2.59,0.94,---,7.72,78.88,108.36,2024-07-15 04:00:00
5,5~6,8.94,73.32,8.87,32.77,0.32,0.00,15.87,3.82,1.60,---,1.52,---,52.90,1.38,3.00,0.17,56.74,35.63,49.79,2.57,2.81,5.85,1.04,0.82,---,7.47,80.10,108.20,2024-07-15 05:00:00
6,6~7,8.63,73.58,8.75,37.40,0.21,0.02,18.26,2.89,0.81,---,1.41,---,53.60,1.04,3.63,0.14,54.60,34.84,48.43,2.65,3.75,6.05,0.00,10.77,---,8.49,79.92,111.41,2024-07-15 06:00:00
7,7~8,10.43,77.54,9.27,45.66,0.20,0.32,25.31,2.25,0.66,---,4.50,---,55.48,1.07,3.63,0.00,53.13,33.23,49.10,2.81,4.25,7.41,0.00,13.12,---,10.38,80.72,115.28,2024-07-15 07:00:00
8,8~9,11.00,95.47,10.90,59.12,0.21,0.70,49.16,2.31,0.74,---,8.54,---,71.95,1.09,4.27,0.00,51.35,32.98,49.31,3.25,4.94,8.66,0.00,4.81,---,21.19,83.64,122.63,2024-07-15 08:00:00
9,9~10,11.19,128.49,11.33,67.35,0.22,2.33,35.26,3.77,0.75,---,12.36,---,88.23,1.31,4.02,0.00,51.25,31.30,72.97,3.63,5.62,10.12,0.00,4.50,---,24.99,96.43,131.14,2024-07-15 09:00:00
