,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,19.50,61.66,6.32,33.79,0.40,0.11,9.20,4.74,1.67,98.75,7.07,26.56,65.12,1.66,3.21,0.17,75.80,60.34,139.91,2.53,3.06,4.38,4.27,0.86,197.87,3.44,69.29,97.19,2024-05-06 00:00:00
1,1~2,16.50,61.53,6.39,33.42,0.41,0.12,8.69,4.62,1.65,96.56,5.91,24.81,65.84,1.32,2.83,0.17,73.03,48.10,64.25,2.54,3.13,3.94,4.27,1.59,194.29,3.21,69.45,94.62,2024-05-06 01:00:00
2,2~3,11.13,59.63,7.12,31.79,0.40,0.11,9.63,4.31,1.69,93.05,5.50,23.88,63.67,1.31,2.86,0.16,61.11,37.95,52.22,2.59,3.06,3.86,4.26,0.91,194.47,3.56,68.93,94.87,2024-05-06 02:00:00
3,3~4,10.44,58.81,6.53,31.76,0.40,0.11,10.70,3.24,1.63,88.70,4.03,23.00,61.67,1.27,2.87,0.17,52.66,34.16,48.74,2.56,3.01,4.03,4.26,0.96,192.84,3.54,68.68,93.69,2024-05-06 03:00:00
4,4~5,8.81,58.35,6.23,31.60,0.40,0.11,11.47,2.84,1.66,89.04,3.94,22.96,62.14,1.29,3.24,0.17,46.84,31.66,40.19,2.56,3.00,3.94,4.27,0.70,191.38,3.37,68.47,92.26,2024-05-06 04:00:00
5,5~6,7.50,58.97,6.15,31.44,0.25,0.03,11.18,2.76,1.52,85.88,3.77,20.13,61.98,1.56,2.96,0.16,42.92,31.52,41.56,2.60,3.25,4.16,4.10,0.89,189.43,3.85,67.92,91.37,2024-05-06 05:00:00
6,6~7,7.25,57.71,6.49,34.47,0.14,0.03,10.37,2.38,0.69,87.09,3.69,20.40,63.00,1.45,3.20,0.17,42.47,35.66,44.50,2.65,5.44,4.15,3.72,1.65,192.53,3.34,68.27,92.74,2024-05-06 06:00:00
7,7~8,6.81,59.44,7.85,40.70,0.13,0.02,18.01,1.99,0.61,89.73,3.75,21.22,64.76,1.44,3.33,0.00,44.58,29.22,50.60,2.60,5.75,5.04,1.69,3.49,201.73,4.31,70.94,95.13,2024-05-06 07:00:00
8,8~9,8.44,69.37,8.78,51.41,0.13,0.02,38.80,2.20,1.51,101.92,6.75,25.38,69.79,1.35,3.25,0.00,49.17,33.40,66.66,2.40,6.68,8.25,0.00,4.02,229.98,16.97,73.67,106.12,2024-05-06 08:00:00
9,9~10,13.06,83.09,9.90,59.94,0.13,0.02,47.20,6.74,1.54,123.95,7.41,32.86,83.68,1.30,4.22,0.00,46.83,32.18,78.53,2.88,6.14,9.22,0.00,3.50,259.09,28.25,78.80,117.19,2024-05-06 09:00:00
