,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,8.94,44.76,5.23,22.00,0.36,0.12,7.11,2.30,1.91,---,3.94,---,48.60,1.03,0.07,0.00,21.68,21.62,24.25,2.56,3.01,2.42,---,---,---,5.26,56.97,48.24,2023-01-30 00:00:00
1,1~2,7.31,43.81,5.08,22.12,0.37,0.12,6.85,2.17,1.93,---,3.13,---,48.06,1.20,0.06,0.00,21.06,24.42,48.14,2.57,3.02,2.34,---,---,---,4.87,57.26,47.61,2023-01-30 01:00:00
2,2~3,6.56,43.84,5.18,22.07,0.36,0.12,7.09,2.33,1.90,---,3.06,---,48.00,1.09,0.07,0.00,18.94,15.47,49.17,2.59,3.07,2.41,---,---,---,5.08,56.45,46.48,2023-01-30 02:00:00
3,3~4,6.88,44.57,5.29,21.93,0.37,0.12,7.48,2.28,1.90,---,3.13,---,48.44,0.99,0.05,0.00,15.13,13.49,16.35,2.66,3.04,2.43,---,---,---,5.15,56.83,47.00,2023-01-30 03:00:00
4,4~5,5.93,44.65,5.41,22.07,0.36,0.13,7.26,2.36,1.83,---,3.06,---,48.53,1.06,0.07,0.00,14.00,13.26,18.04,2.72,3.07,2.35,---,---,---,4.93,57.09,46.22,2023-01-30 04:00:00
5,5~6,5.57,44.44,5.80,22.18,0.37,0.09,7.63,2.28,1.84,---,3.03,---,48.87,1.53,0.07,0.00,13.72,12.37,46.16,2.75,3.13,2.37,---,---,---,5.20,57.01,46.86,2023-01-30 05:00:00
6,6~7,4.43,44.56,6.51,22.69,0.32,0.09,7.14,1.89,1.10,---,2.97,---,50.82,1.17,0.06,0.00,13.87,11.12,33.39,2.65,3.49,2.37,---,---,---,4.95,57.25,48.32,2023-01-30 06:00:00
7,7~8,3.75,44.53,7.70,22.88,0.11,0.04,8.79,2.08,0.65,---,3.56,---,50.04,1.30,0.09,0.00,13.85,10.69,14.53,2.63,3.51,2.44,---,---,---,5.25,56.86,50.40,2023-01-30 07:00:00
8,8~9,4.50,47.32,7.45,23.93,0.10,0.03,12.14,2.08,1.91,---,4.40,---,53.71,1.00,0.10,0.00,12.77,11.54,35.78,2.78,3.54,2.66,---,---,---,5.20,60.02,52.67,2023-01-30 08:00:00
9,9~10,4.63,51.65,9.06,26.00,0.10,0.02,14.92,2.54,1.87,---,4.64,---,55.44,1.24,0.07,0.00,12.29,11.14,36.20,2.97,3.54,2.82,---,---,---,5.50,63.60,54.50,2023-01-30 09:00:00
10,10~11,4.50,54.31,10.85,28.69,0.10,0.03,19.47,4.28,1.88,---,4.86,---,58.56,1.00,0.07,0.00,12.53,12.16,22.22,2.93,3.76,2.93,---,---,---,5.11,65.68,56.54,2023-01-30 10:00:00
11,11~12,3.56,56.82,9.63,28.88,0.10,0.01,22.09,4.40,1.87,---,5.23,---,60.99,1.06,0.08,0.00,13.22,12.16,16.40,2.94,4.02,2.81,---,---,---,5.49,66.80,59.31,2023-01-30 11:00:00
12,12~13,4.75,60.99,10.30,29.18,0.10,0.02,24.61,4.86,1.87,---,4.62,---,62.03,1.05,0.08,0.00,12.96,13.04,23.53,3.06,3.82,2.69,---,---,---,5.03,66.55,60.44,2023-01-30 12:00:00
13,13~14,5.19,57.98,9.70,28.88,0.11,0.03,21.70,5.06,1.91,---,6.22,---,61.33,1.01,0.08,0.00,14.90,14.39,49.40,2.88,4.21,2.59,---,---,---,6.18,67.30,62.73,2023-01-30 13:00:00
14,14~15,4.94,59.59,9.68,30.37,0.10,0.03,18.95,6.30,1.88,---,5.72,---,62.21,1.39,0.07,0.00,14.62,16.53,27.15,2.78,3.97,2.62,---,---,---,6.20,66.82,65.44,2023-01-30 14:00:00
15,15~16,7.06,61.25,9.43,30.57,0.10,0.02,17.86,7.51,1.88,---,5.82,---,61.03,1.10,0.08,0.00,15.37,15.23,17.53,2.75,3.87,2.79,---,---,---,6.15,66.23,64.13,2023-01-30 15:00:00
16,16~17,5.12,63.93,8.53,29.25,0.11,0.03,19.46,7.51,1.94,---,5.37,---,63.47,1.50,0.06,0.00,18.53,15.82,41.95,2.78,3.32,2.62,---,---,---,6.26,65.87,61.74,2023-01-30 16:00:00
17,17~18,6.38,60.16,8.25,29.37,0.31,0.10,22.90,5.25,2.05,---,4.63,---,64.43,1.60,0.08,0.00,21.23,14.96,45.95,2.66,3.27,2.60,---,---,---,5.42,64.60,60.16,2023-01-30 17:00:00
18,18~19,11.69,57.50,6.72,28.69,0.37,0.11,23.80,4.38,1.85,---,4.00,---,64.76,1.26,0.08,0.00,19.40,15.31,18.64,2.59,2.99,2.37,---,---,---,6.37,61.56,59.56,2023-01-30 18:00:00
19,19~20,9.00,56.53,6.12,27.56,0.37,0.11,24.75,4.37,1.86,---,3.62,---,61.22,1.40,0.07,0.00,19.50,15.19,100.38,2.75,3.12,2.44,---,---,---,5.00,60.62,58.89,2023-01-30 19:00:00
20,20~21,11.25,56.13,5.91,27.25,0.37,0.11,12.30,4.75,1.84,---,3.38,---,58.43,1.80,0.09,0.00,21.71,17.41,103.51,2.72,3.04,2.19,---,---,---,5.12,59.40,56.86,2023-01-30 20:00:00
21,21~22,8.87,54.84,6.07,27.13,0.37,0.12,11.58,3.86,1.88,---,4.03,---,58.31,1.61,0.07,0.00,22.82,21.27,38.62,2.78,3.17,2.53,---,---,---,4.85,58.85,55.48,2023-01-30 21:00:00
22,22~23,11.06,53.66,6.06,25.43,0.37,0.12,8.76,2.93,1.87,---,3.18,---,58.32,1.66,0.07,0.00,32.22,26.72,27.03,2.47,3.10,2.31,---,---,---,5.89,58.40,54.75,2023-01-30 22:00:00
23,23~24,8.82,52.66,5.93,24.00,0.37,0.12,7.73,2.89,1.85,---,3.28,---,59.21,1.36,0.08,0.00,31.46,20.73,29.32,2.50,3.17,2.44,---,---,---,5.81,58.39,54.22,2023-01-30 23:00:00
