,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,19.25,75.18,8.19,34.53,0.44,0.11,10.61,3.58,1.61,97.73,2.63,19.70,75.40,1.13,2.64,0.00,96.23,67.89,142.78,3.00,2.57,5.31,4.72,0.73,200.11,8.22,71.24,90.17,2024-09-09 00:00:00
1,1~2,11.37,75.25,8.16,33.64,0.46,0.11,11.87,2.63,1.58,97.40,2.31,19.45,75.64,1.48,2.58,0.00,81.52,62.10,77.13,2.91,2.37,4.60,4.69,0.95,201.75,8.12,71.49,91.25,2024-09-09 01:00:00
2,2~3,10.44,73.88,8.02,33.30,0.45,0.11,11.28,2.53,1.65,95.95,2.31,18.66,74.98,4.06,2.54,0.00,73.73,47.21,66.50,2.94,2.38,4.69,4.70,0.99,199.62,8.50,71.43,89.24,2024-09-09 02:00:00
3,3~4,9.06,74.31,8.23,32.77,0.45,0.06,11.21,2.60,1.61,91.07,2.31,19.04,69.72,3.66,2.52,0.00,67.90,42.73,57.87,2.93,2.31,4.81,4.66,1.42,196.78,8.01,70.97,88.06,2024-09-09 03:00:00
4,4~5,8.32,72.63,8.24,33.11,0.45,0.00,11.62,2.45,1.59,83.64,2.22,18.94,62.48,3.26,2.53,0.00,62.40,37.59,56.50,2.94,2.37,5.49,4.61,1.01,195.67,7.53,70.83,86.96,2024-09-09 04:00:00
5,5~6,7.68,70.80,8.51,33.03,0.41,0.05,11.88,2.43,1.58,84.07,2.19,18.30,63.58,3.71,2.53,0.00,58.94,36.82,53.19,2.91,2.94,5.57,2.00,0.94,195.21,7.94,70.71,86.78,2024-09-09 05:00:00
6,6~7,11.57,70.13,7.65,38.81,0.19,0.06,14.24,2.07,0.71,85.48,2.06,18.81,64.61,3.21,2.51,0.00,57.65,35.23,55.84,2.84,3.50,5.74,0.00,9.98,198.79,7.81,71.49,88.48,2024-09-09 06:00:00
7,7~8,10.43,75.06,8.94,45.78,0.19,0.46,21.15,1.98,0.68,91.12,2.19,21.23,67.70,3.29,2.84,0.00,59.19,37.93,95.72,2.85,3.75,7.63,0.00,12.62,213.62,12.43,72.16,93.61,2024-09-09 07:00:00
8,8~9,12.57,82.88,10.26,62.89,0.19,1.53,40.53,7.53,1.68,110.70,4.19,32.44,74.07,1.36,4.45,0.00,66.57,42.56,73.50,3.12,4.88,9.60,0.00,6.84,239.63,24.38,77.38,100.82,2024-09-09 08:00:00
9,9~10,15.31,111.81,11.95,77.58,0.20,2.06,48.03,11.53,1.67,127.17,6.75,37.97,82.45,1.36,5.50,0.00,59.06,37.50,60.65,3.72,4.93,11.97,0.00,5.14,301.60,50.28,87.75,117.89,2024-09-09 09:00:00
