Unnamed: 0,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,9.25,54.79,5.96,25.37,0.38,0.11,8.69,4.13,2.13,---,2.43,---,49.78,2.18,0.06,0.0,29.94,20.37,42.63,1.72,3.1,2.84,---,---,---,5.75,68.84,61.98,2023-01-01 00:00:00
1,1~2,8.75,53.0,5.19,25.31,0.38,0.12,8.42,4.51,2.25,---,2.38,---,49.69,1.93,0.07,0.0,26.25,20.28,26.87,1.75,3.06,2.94,---,---,---,5.5,68.67,62.71,2023-01-01 01:00:00
2,2~3,8.5,52.37,5.25,25.38,0.37,0.09,8.33,3.95,2.16,---,2.44,---,49.31,1.94,0.07,0.0,26.51,22.97,26.93,1.75,3.1,2.9,---,---,---,5.99,68.52,61.45,2023-01-01 02:00:00
3,3~4,11.75,53.6,5.32,25.25,0.38,0.12,9.7,3.64,2.06,---,2.41,---,49.1,1.92,0.07,0.0,26.94,20.07,38.28,1.81,3.12,2.79,---,---,---,5.5,68.98,61.19,2023-01-01 03:00:00
4,4~5,6.94,52.15,5.39,25.94,0.38,0.12,10.42,3.3,2.16,---,2.56,---,49.96,1.92,0.06,0.0,24.07,17.44,70.05,1.87,3.07,3.24,---,---,---,5.72,69.12,61.37,2023-01-01 04:00:00
5,5~6,6.62,53.26,5.05,25.43,0.38,0.12,11.09,3.12,1.99,---,2.46,---,50.72,2.23,0.06,0.0,22.57,15.43,118.92,1.88,3.2,2.85,---,---,---,6.2,68.78,61.87,2023-01-01 05:00:00
6,6~7,5.57,52.55,5.39,25.75,0.35,0.12,9.57,2.58,1.29,---,2.75,---,50.35,2.55,0.07,0.0,17.66,17.8,36.74,1.84,3.51,2.91,---,---,---,5.21,69.62,63.68,2023-01-01 06:00:00
7,7~8,4.93,52.94,5.41,25.75,0.11,0.07,16.91,2.65,0.65,---,2.97,---,49.63,1.95,0.07,0.0,21.12,14.83,18.73,1.88,3.57,3.1,---,---,---,5.58,69.2,62.88,2023-01-01 07:00:00
8,8~9,5.5,53.47,5.2,26.25,0.12,0.05,25.3,2.54,1.81,---,3.28,---,50.49,2.15,0.07,0.0,18.0,21.93,20.48,1.87,3.5,3.37,---,---,---,5.53,69.63,63.04,2023-01-01 08:00:00
9,9~10,5.44,56.07,6.05,26.0,0.11,0.06,28.25,2.54,1.82,---,3.47,---,52.81,1.92,0.06,0.0,17.35,19.28,26.11,1.85,3.26,3.5,---,---,---,5.43,69.66,61.37,2023-01-01 09:00:00
10,10~11,5.81,57.43,6.01,26.38,0.11,0.04,26.08,2.49,1.85,---,3.94,---,52.41,1.86,0.06,0.0,15.21,19.75,56.3,1.78,3.28,3.93,---,---,---,5.65,70.81,63.17,2023-01-01 10:00:00
11,11~12,5.25,58.16,5.57,26.19,0.12,0.04,16.61,2.54,1.82,---,3.97,---,52.4,1.88,0.07,0.0,16.88,16.63,33.92,1.94,3.25,3.54,---,---,---,5.43,71.81,63.81,2023-01-01 11:00:00
12,12~13,5.63,59.0,5.45,25.93,0.11,0.04,12.79,2.56,1.79,---,3.53,---,53.39,2.16,0.07,0.0,16.49,19.94,26.86,1.96,3.49,3.24,---,---,---,5.78,71.14,65.24,2023-01-01 12:00:00
13,13~14,8.25,57.25,6.16,26.32,0.11,0.04,12.4,2.48,1.81,---,4.03,---,52.9,1.89,0.07,0.0,17.73,20.06,26.86,2.0,3.33,3.32,---,---,---,6.4,71.12,65.49,2023-01-01 13:00:00
14,14~15,7.0,58.47,5.41,27.12,0.12,0.04,11.89,2.55,1.85,---,4.47,---,54.09,1.66,0.05,0.0,18.65,19.37,57.04,1.91,3.31,3.12,---,---,---,5.66,71.38,66.83,2023-01-01 14:00:00
15,15~16,8.0,57.52,5.7,27.88,0.11,0.04,12.3,2.62,1.82,---,3.71,---,52.91,1.36,0.07,0.0,21.0,22.66,39.45,1.81,3.34,3.28,---,---,---,5.47,69.97,66.83,2023-01-01 15:00:00
16,16~17,7.62,56.1,5.39,27.12,0.16,0.04,11.84,3.62,1.91,---,3.29,---,52.35,0.98,0.07,0.0,26.62,26.62,28.84,1.72,3.18,3.19,---,---,---,5.59,70.42,66.7,2023-01-01 16:00:00
17,17~18,14.63,58.47,5.39,27.06,0.37,0.09,13.7,2.91,2.29,---,2.94,---,52.02,1.22,0.07,0.0,26.54,24.62,37.41,1.78,3.08,2.94,---,---,---,5.78,69.17,64.67,2023-01-01 17:00:00
18,18~19,18.37,58.34,5.28,27.19,0.37,0.11,13.54,3.38,1.82,---,3.09,---,52.32,1.19,0.08,0.0,27.51,22.88,62.76,1.78,2.95,2.47,---,---,---,5.3,69.67,66.52,2023-01-01 18:00:00
19,19~20,11.25,56.82,5.18,27.31,0.38,0.09,13.8,3.18,1.81,---,3.09,---,51.93,1.21,0.07,0.0,24.84,24.53,35.78,1.82,2.89,2.97,---,---,---,5.6,69.74,65.74,2023-01-01 19:00:00
20,20~21,9.88,56.05,5.08,27.32,0.37,0.1,12.06,3.27,1.82,---,2.85,---,52.57,1.4,0.06,0.0,28.0,29.91,31.0,1.81,2.99,2.84,---,---,---,5.38,69.79,65.44,2023-01-01 20:00:00
21,21~22,9.75,56.51,5.1,27.0,0.37,0.09,11.45,2.91,1.85,---,2.59,---,52.86,1.19,0.08,0.0,32.79,31.99,68.38,1.75,3.01,2.59,---,---,---,5.75,69.86,63.86,2023-01-01 21:00:00
22,22~23,12.62,55.93,5.33,26.56,0.38,0.1,9.13,2.87,1.84,---,3.16,---,52.2,1.17,0.05,0.0,31.65,34.1,141.45,1.81,3.08,3.13,---,---,---,6.38,69.73,63.64,2023-01-01 22:00:00
23,23~24,11.88,55.22,5.19,26.31,0.38,0.11,8.36,3.18,1.83,---,2.97,---,50.62,1.03,0.08,0.0,30.31,38.54,59.1,1.85,3.17,2.93,---,---,---,5.42,70.12,64.03,2023-01-01 23:00:00
0,0~1,16.0,52.97,5.57,26.13,0.38,0.12,8.63,3.3,1.85,---,3.41,---,50.26,1.33,0.07,0.0,26.91,32.03,89.54,1.81,3.08,3.29,---,---,---,5.91,69.7,63.53,2023-01-02 00:00:00
1,1~2,9.62,51.94,5.35,25.75,0.38,0.11,8.3,3.24,1.84,---,2.47,---,49.96,1.07,0.07,0.0,31.28,23.31,115.69,1.75,3.05,2.97,---,---,---,5.57,70.19,63.1,2023-01-02 01:00:00
2,2~3,8.0,51.22,5.28,25.75,0.37,0.12,8.16,3.24,1.84,---,2.43,---,49.69,1.08,0.08,0.0,24.81,18.81,37.48,1.78,3.01,2.87,---,---,---,5.66,69.62,62.55,2023-01-02 02:00:00
3,3~4,7.44,51.87,5.33,25.25,0.39,0.1,9.65,3.26,1.85,---,2.5,---,49.37,1.12,0.06,0.0,33.04,16.5,22.43,1.81,3.07,2.69,---,---,---,5.8,70.07,63.03,2023-01-02 03:00:00
4,4~5,6.31,51.31,5.42,25.5,0.38,0.12,10.65,3.28,1.85,---,2.44,---,49.41,1.13,0.12,0.0,21.31,19.48,19.17,1.91,2.98,2.96,---,---,---,5.55,70.44,62.48,2023-01-02 04:00:00
5,5~6,6.13,51.76,5.33,25.25,0.38,0.12,11.24,3.26,1.84,---,2.62,---,49.5,1.06,0.07,0.0,21.03,15.98,45.35,1.97,3.08,3.23,---,---,---,5.92,70.12,62.82,2023-01-02 05:00:00
6,6~7,5.5,51.34,6.76,26.0,0.34,0.08,9.27,2.37,1.28,---,2.59,---,50.0,0.99,0.07,0.0,17.97,15.7,27.95,1.93,3.52,2.49,---,---,---,5.54,70.12,65.09,2023-01-02 06:00:00
7,7~8,5.06,51.88,7.04,26.06,0.12,0.07,10.67,2.88,0.72,---,2.95,---,49.57,1.36,0.07,0.0,17.45,13.81,17.6,2.0,3.58,3.07,---,---,---,6.11,69.64,64.08,2023-01-02 07:00:00
8,8~9,4.69,54.59,7.03,25.81,0.11,0.05,10.49,2.91,1.87,---,3.62,---,51.65,1.03,0.06,0.0,15.49,13.47,22.22,2.0,3.45,3.4,---,---,---,5.88,70.53,64.28,2023-01-02 08:00:00
9,9~10,5.19,53.75,7.63,26.38,0.12,0.04,11.19,2.71,1.85,---,3.37,---,52.31,1.34,0.08,0.0,17.04,16.65,50.04,1.94,3.39,3.66,---,---,---,5.37,71.34,62.97,2023-01-02 09:00:00
10,10~11,5.93,57.06,8.2,27.43,0.11,0.04,11.83,1.98,1.91,---,3.35,---,52.88,1.16,0.08,0.0,20.71,15.69,28.59,1.94,3.38,3.56,---,---,---,5.68,72.33,66.75,2023-01-02 10:00:00
11,11~12,9.75,59.34,8.63,27.25,0.11,0.03,13.75,1.94,1.88,---,3.15,---,53.06,1.39,0.07,0.0,19.81,19.22,23.29,2.06,3.35,3.66,---,---,---,5.81,70.74,67.1,2023-01-02 11:00:00
12,12~13,7.25,58.67,8.24,27.5,0.12,0.04,13.8,2.1,1.89,---,3.59,---,54.16,1.36,0.09,0.0,18.67,16.03,29.49,1.94,3.35,3.12,---,---,---,5.69,70.87,69.71,2023-01-02 12:00:00
13,13~14,7.19,58.12,9.03,28.07,0.11,0.03,12.82,2.57,1.87,---,4.22,---,56.77,1.35,0.07,0.0,21.53,15.94,51.78,2.0,3.42,3.48,---,---,---,5.53,71.23,70.55,2023-01-02 13:00:00
14,14~15,13.81,59.34,8.49,28.75,0.11,0.04,12.75,2.87,1.85,---,5.26,---,56.48,1.4,0.07,0.0,21.71,17.44,48.05,1.94,3.39,3.34,---,---,---,5.91,70.53,73.2,2023-01-02 14:00:00
15,15~16,11.25,59.72,8.81,29.06,0.12,0.04,12.32,2.86,1.89,---,4.24,---,58.18,1.39,0.07,0.0,23.06,21.5,30.48,1.9,3.41,3.37,---,---,---,5.71,71.83,75.14,2023-01-02 15:00:00
16,16~17,9.94,58.5,9.08,29.12,0.14,0.05,11.96,2.65,1.88,---,4.2,---,57.79,1.19,0.07,0.0,20.73,21.81,34.13,1.97,3.29,3.47,---,---,---,5.45,71.12,76.18,2023-01-02 16:00:00
17,17~18,8.25,59.5,9.96,29.75,0.38,0.08,14.26,3.26,2.32,---,4.46,---,55.9,1.39,0.08,0.0,21.72,25.91,60.65,1.91,3.17,3.22,---,---,---,5.81,71.25,73.75,2023-01-02 17:00:00
18,18~19,9.06,57.94,7.15,29.32,0.38,0.1,13.73,3.65,1.84,---,3.79,---,55.44,1.55,0.08,0.0,27.35,21.59,34.43,1.94,2.94,2.97,---,---,---,5.76,69.86,74.76,2023-01-02 18:00:00
19,19~20,8.63,60.06,5.75,29.0,0.38,0.1,13.81,3.78,1.89,---,3.12,---,53.09,1.84,0.07,0.0,28.65,25.38,47.11,1.87,3.02,2.75,---,---,---,6.67,69.57,71.34,2023-01-02 19:00:00
20,20~21,9.19,59.34,5.94,28.43,0.37,0.11,12.43,3.9,1.84,---,2.94,---,51.35,2.3,0.07,0.0,27.72,30.5,141.54,1.88,2.97,2.82,---,---,---,5.66,68.81,69.75,2023-01-02 20:00:00
21,21~22,9.75,57.98,5.69,28.38,0.38,0.1,12.53,3.82,1.85,---,2.75,---,50.69,2.06,0.07,0.0,29.34,37.13,76.47,1.81,3.1,2.96,---,---,---,5.68,69.33,68.09,2023-01-02 21:00:00
22,22~23,11.31,57.03,5.68,28.0,0.38,0.1,9.79,3.26,1.88,---,2.68,---,49.99,1.89,0.07,0.0,32.13,35.71,43.15,1.84,3.19,3.03,---,---,---,5.5,68.78,67.18,2023-01-02 22:00:00
23,23~24,13.75,59.5,6.12,26.31,0.37,0.12,9.4,3.11,1.85,---,2.53,---,50.28,1.24,0.07,0.0,38.31,30.59,93.92,1.78,3.3,2.65,---,---,---,5.82,68.17,66.2,2023-01-02 23:00:00
0,0~1,18.81,52.96,5.62,26.0,0.38,0.12,8.38,2.93,1.87,---,2.51,---,50.54,1.17,0.08,0.0,30.91,34.04,140.46,1.78,3.26,2.73,---,---,---,5.85,69.18,65.53,2023-01-03 00:00:00
1,1~2,12.81,52.41,5.92,25.69,0.38,0.11,7.98,2.91,1.89,---,2.43,---,48.97,1.29,0.06,0.0,27.66,23.78,51.94,1.85,3.32,3.05,---,---,---,5.56,68.47,65.13,2023-01-03 01:00:00
2,2~3,10.07,51.84,5.66,25.62,0.38,0.11,8.03,2.82,1.84,---,2.38,---,49.5,1.46,0.07,0.0,29.28,21.21,31.31,1.81,3.32,2.67,---,---,---,5.71,68.69,63.84,2023-01-03 02:00:00
3,3~4,9.56,51.41,5.77,25.57,0.38,0.12,9.48,2.49,1.87,---,2.43,---,48.77,1.7,0.07,0.0,20.68,18.78,31.04,1.81,3.29,2.93,---,---,---,5.4,68.91,63.52,2023-01-03 03:00:00
4,4~5,6.56,51.35,5.96,25.62,0.38,0.08,10.35,2.88,1.88,---,2.32,---,48.95,1.46,0.05,0.0,19.57,15.76,57.24,1.88,3.07,2.82,---,---,---,5.6,68.82,62.92,2023-01-03 04:00:00
5,5~6,6.38,50.83,5.77,26.06,0.38,0.02,11.06,2.81,1.84,---,2.31,---,49.46,1.35,0.08,0.0,15.37,14.65,22.91,1.87,3.22,2.8,---,---,---,5.84,68.68,63.31,2023-01-03 05:00:00
6,6~7,6.25,50.79,6.51,26.38,0.35,0.01,9.04,1.9,1.15,---,2.34,---,49.22,1.28,0.06,0.0,13.81,12.75,125.39,1.88,3.81,2.73,---,---,---,5.47,69.15,65.22,2023-01-03 06:00:00
7,7~8,6.62,52.37,6.93,27.19,0.11,0.03,12.01,2.23,0.7,---,3.35,---,49.12,1.58,0.07,0.0,14.23,12.56,59.61,1.84,4.04,3.9,---,---,---,5.66,68.52,64.82,2023-01-03 07:00:00
8,8~9,6.56,56.1,7.26,32.5,0.11,0.02,20.44,2.56,1.87,---,9.68,---,51.29,1.5,0.06,0.0,15.51,18.19,20.91,1.94,3.85,4.81,---,---,---,8.36,70.13,69.04,2023-01-03 08:00:00
9,9~10,9.07,61.03,7.25,34.12,0.11,0.03,27.84,2.35,1.88,---,12.57,---,53.68,1.1,0.11,0.0,15.97,21.53,21.98,2.37,4.0,5.13,---,---,---,8.93,72.92,69.3,2023-01-03 09:00:00
10,10~11,8.31,66.75,8.4,36.75,0.12,0.04,26.26,2.34,1.84,---,11.59,---,58.28,1.35,0.07,0.0,18.34,16.72,37.17,1.94,4.35,5.03,---,---,---,9.55,75.7,74.14,2023-01-03 10:00:00
11,11~12,7.69,71.97,10.95,36.69,0.11,0.05,28.93,3.32,1.85,---,12.0,---,58.19,1.21,0.07,0.0,20.99,17.47,61.45,2.03,3.7,5.41,---,---,---,9.38,77.6,77.49,2023-01-03 11:00:00
12,12~13,9.81,68.84,12.94,35.31,0.11,0.06,28.61,3.17,1.86,---,7.9,---,58.44,1.49,0.07,0.0,17.44,19.28,33.08,2.03,3.63,5.28,---,---,---,9.39,78.68,80.15,2023-01-03 12:00:00
13,13~14,9.06,68.0,10.86,37.25,0.12,0.02,29.81,3.18,1.81,---,12.57,---,62.25,1.12,0.05,0.0,18.98,25.72,26.74,2.07,3.65,7.1,---,---,---,10.78,80.17,81.98,2023-01-03 13:00:00
14,14~15,10.94,67.97,9.67,38.88,0.1,0.02,34.29,3.5,1.82,---,12.15,---,62.78,1.18,0.06,0.0,21.4,23.94,35.68,2.15,3.98,7.18,---,---,---,11.98,80.76,83.87,2023-01-03 14:00:00
15,15~16,11.12,73.0,11.6,38.81,0.13,0.03,31.88,3.51,1.81,---,12.1,---,61.94,1.18,0.07,0.0,20.97,20.62,59.63,2.1,4.16,6.91,---,---,---,12.11,79.61,84.01,2023-01-03 15:00:00
16,16~17,8.88,75.09,10.13,38.06,0.14,0.06,28.79,3.18,1.98,---,9.9,---,64.72,1.45,0.07,0.0,22.9,24.38,38.79,1.9,3.69,6.72,---,---,---,12.24,78.67,83.56,2023-01-03 16:00:00
17,17~18,8.75,74.5,9.85,36.88,0.39,0.09,35.72,3.78,2.29,---,5.85,---,61.66,2.52,0.08,0.0,23.97,22.57,29.94,1.97,3.78,6.28,---,---,---,7.97,76.7,84.49,2023-01-03 17:00:00
18,18~19,7.31,73.26,8.21,33.75,0.38,0.11,34.11,4.81,1.84,---,4.78,---,59.43,2.82,0.07,0.0,26.51,24.21,37.15,2.0,4.13,6.18,---,---,---,7.01,74.63,87.68,2023-01-03 18:00:00
19,19~20,9.44,64.18,7.49,32.81,0.37,0.11,33.41,5.08,1.87,---,4.91,---,56.0,2.55,0.08,0.0,28.56,23.43,65.1,1.88,4.1,6.22,---,---,---,6.29,70.75,86.83,2023-01-03 19:00:00
20,20~21,12.37,62.97,7.15,31.0,0.38,0.1,28.0,4.43,1.95,---,3.15,---,56.54,2.54,0.08,0.0,29.21,33.07,44.19,1.87,4.12,5.62,---,---,---,6.16,69.2,87.75,2023-01-03 20:00:00
21,21~22,15.57,61.74,6.91,30.37,0.38,0.1,22.31,4.06,1.87,---,2.85,---,55.18,2.44,0.07,0.0,36.63,29.06,61.37,1.78,4.13,5.26,---,---,---,6.54,68.22,86.94,2023-01-03 21:00:00
22,22~23,11.87,61.54,7.0,28.44,0.38,0.11,10.67,3.44,1.91,---,2.87,---,55.87,2.43,0.05,0.0,32.19,32.31,144.59,1.78,4.1,5.09,---,---,---,6.37,68.19,83.35,2023-01-03 22:00:00
23,23~24,14.88,59.12,7.11,26.5,0.38,0.11,8.65,3.24,1.91,---,2.44,---,54.7,1.98,0.07,0.0,35.16,34.35,75.42,1.85,4.09,5.01,---,---,---,6.72,68.19,77.97,2023-01-03 23:00:00
0,0~1,19.87,55.69,7.27,25.75,0.38,0.13,8.45,3.66,1.91,---,2.44,---,52.46,1.33,0.07,0.0,31.62,30.06,113.16,1.75,3.97,4.8,---,---,---,6.25,68.19,76.19,2023-01-04 00:00:00
1,1~2,13.88,54.69,6.92,25.25,0.37,0.12,8.21,3.09,1.98,---,2.4,---,51.15,1.05,0.07,0.0,31.55,28.31,104.63,1.81,3.97,4.29,---,---,---,6.03,68.14,76.55,2023-01-04 01:00:00
2,2~3,8.81,---,7.21,25.38,0.38,0.11,8.13,3.1,1.84,---,2.38,---,50.32,1.03,0.06,0.0,27.32,19.62,33.49,1.75,3.66,4.09,---,---,---,5.47,68.23,76.75,2023-01-04 02:00:00
3,3~4,5.5,---,6.87,25.37,0.39,0.12,9.37,3.05,1.86,---,2.37,---,50.35,1.54,0.07,0.0,20.71,15.51,22.59,1.84,3.73,3.34,---,---,---,5.8,68.1,76.09,2023-01-04 03:00:00
4,4~5,5.75,---,7.38,25.5,0.37,0.02,10.23,2.72,1.85,---,2.38,---,50.87,1.91,0.06,0.0,17.66,15.13,28.08,1.88,3.72,3.35,---,---,---,5.65,68.34,73.16,2023-01-04 04:00:00
5,5~6,7.25,---,7.09,25.94,0.38,0.0,11.03,3.04,1.84,---,2.31,---,50.69,1.77,0.07,0.0,18.62,16.5,54.11,1.84,3.75,3.19,---,---,---,5.54,68.19,72.93,2023-01-04 05:00:00
6,6~7,5.0,---,7.9,26.56,0.36,0.02,10.48,2.36,1.31,---,2.44,---,51.22,1.08,0.06,0.0,14.69,12.56,31.14,1.85,4.29,2.77,---,---,---,5.19,68.1,74.6,2023-01-04 06:00:00
7,7~8,5.19,---,8.31,27.19,0.11,0.03,13.74,2.13,0.65,---,3.41,---,49.8,1.01,0.06,0.0,13.87,12.1,22.67,1.81,4.31,3.1,---,---,---,6.23,68.21,74.31,2023-01-04 07:00:00
8,8~9,6.0,---,8.73,32.37,0.11,0.02,23.34,2.55,1.86,---,11.0,---,52.07,1.23,0.07,0.0,14.16,12.55,44.03,1.97,4.44,3.78,---,---,---,7.06,69.34,75.2,2023-01-04 08:00:00
9,9~10,6.56,---,10.88,33.75,0.12,0.05,25.88,2.69,1.84,---,11.44,---,55.57,1.04,0.07,0.0,16.68,12.63,41.78,1.97,3.76,3.4,---,---,---,10.94,74.96,78.0,2023-01-04 09:00:00
10,10~11,6.25,---,11.19,36.38,0.11,0.09,25.25,2.74,1.82,---,10.77,---,58.15,0.98,0.06,0.0,18.59,16.09,24.44,2.0,4.06,4.63,---,---,---,11.17,77.1,82.38,2023-01-04 10:00:00
11,11~12,8.06,---,11.1,38.62,0.12,0.07,28.73,3.9,1.84,---,8.81,---,60.56,1.24,0.06,0.0,19.9,17.34,37.78,1.9,3.72,6.85,---,---,---,11.42,77.84,85.27,2023-01-04 11:00:00
12,12~13,10.88,---,10.88,38.0,0.11,0.09,26.57,3.92,1.85,---,7.22,---,60.04,1.24,0.07,0.0,19.13,18.48,59.72,2.07,3.66,5.81,---,---,---,11.17,79.01,90.5,2023-01-04 12:00:00
13,13~14,13.37,---,10.89,38.07,0.11,0.08,27.87,3.52,1.82,---,11.0,---,64.49,1.1,0.06,0.0,24.19,18.37,32.42,2.0,3.75,6.03,---,---,---,11.38,79.84,90.51,2023-01-04 13:00:00
14,14~15,9.63,---,11.13,38.12,0.11,0.07,31.72,3.41,1.85,---,10.1,---,64.88,1.38,0.06,0.0,21.4,16.49,27.92,2.12,4.13,6.53,---,---,---,11.59,79.35,90.02,2023-01-04 14:00:00
15,15~16,7.93,---,12.35,38.06,0.11,0.06,31.87,3.61,1.84,---,10.69,---,64.68,1.06,0.08,0.24,24.68,16.26,50.23,2.09,4.15,6.44,---,---,---,11.38,81.11,88.88,2023-01-04 15:00:00
16,16~17,7.94,---,9.47,37.63,0.15,0.08,30.81,3.52,1.95,---,8.96,---,63.44,1.55,0.05,0.0,21.03,19.65,46.4,2.07,3.48,6.19,---,---,---,9.81,79.33,87.31,2023-01-04 16:00:00
17,17~18,9.75,---,9.7,36.94,0.37,0.1,38.47,2.83,2.34,---,6.09,---,62.19,1.99,0.06,0.0,22.06,20.72,24.91,1.87,3.19,6.28,---,---,---,7.68,76.32,85.99,2023-01-04 17:00:00
18,18~19,11.63,---,8.7,34.06,0.38,0.08,47.37,3.17,1.91,---,4.92,---,60.57,2.27,0.07,0.0,20.63,23.69,33.67,1.88,2.94,5.72,---,---,---,7.52,77.1,81.91,2023-01-04 18:00:00
19,19~20,8.25,---,6.76,31.94,0.37,0.09,45.94,2.71,1.91,---,4.68,---,57.93,2.44,0.07,0.0,22.81,21.91,55.89,1.9,3.02,5.34,---,---,---,5.87,74.4,83.0,2023-01-04 19:00:00
20,20~21,12.0,---,5.87,29.75,0.37,0.08,40.04,2.53,1.91,---,5.22,---,54.38,2.12,0.07,0.0,26.68,30.34,77.94,1.91,2.98,4.88,---,---,---,5.21,74.23,84.7,2023-01-04 20:00:00
21,21~22,9.87,---,5.72,29.31,0.38,0.08,34.77,2.59,1.89,---,5.5,---,53.19,2.11,0.1,0.0,32.12,39.32,125.39,2.16,3.09,5.34,---,---,---,5.8,74.37,81.78,2023-01-04 21:00:00
22,22~23,10.31,---,5.9,28.19,0.37,0.11,14.08,2.45,1.9,---,4.31,---,52.59,1.78,0.08,0.0,29.81,34.52,53.15,1.71,3.1,5.25,---,---,---,5.56,72.38,82.4,2023-01-04 22:00:00
23,23~24,15.69,---,5.46,26.37,0.37,0.12,9.29,2.18,1.94,---,4.37,---,52.4,1.13,0.06,0.0,34.53,34.69,90.6,1.82,3.14,4.71,---,---,---,5.68,70.26,78.7,2023-01-04 23:00:00
0,0~1,17.81,---,5.79,25.63,0.38,0.11,8.73,2.2,1.87,---,4.19,---,51.54,1.09,0.06,0.0,37.51,33.6,111.37,1.72,3.0,4.57,---,---,---,5.93,69.47,74.59,2023-01-05 00:00:00
1,1~2,13.69,---,5.6,25.93,0.38,0.11,8.13,2.24,1.88,---,4.1,---,51.78,1.13,0.07,0.0,26.58,29.06,32.82,1.75,2.97,4.0,---,---,---,5.66,69.51,72.92,2023-01-05 01:00:00
2,2~3,11.69,---,5.44,26.0,0.37,0.13,7.92,2.22,1.87,---,3.87,---,51.47,1.12,0.06,0.0,31.1,32.47,25.33,1.78,3.04,3.53,---,---,---,5.49,70.34,72.7,2023-01-05 02:00:00
3,3~4,6.44,---,5.71,26.19,0.38,0.12,9.61,2.23,1.88,---,3.88,---,52.18,1.21,0.06,0.0,19.02,24.19,21.75,1.78,3.04,3.53,---,---,---,5.44,69.43,72.38,2023-01-05 03:00:00
4,4~5,5.87,---,5.73,26.44,0.38,0.01,10.04,2.28,1.88,---,3.94,---,51.6,1.12,0.06,0.0,18.38,19.24,51.07,1.81,3.04,3.47,---,---,---,5.83,70.2,71.15,2023-01-05 04:00:00
5,5~6,6.25,---,5.84,26.62,0.37,0.02,10.76,2.27,2.0,---,3.71,---,52.05,1.08,0.07,0.0,17.65,15.13,102.69,1.88,3.07,2.97,---,---,---,5.31,69.31,70.79,2023-01-05 05:00:00
6,6~7,8.63,---,7.43,27.19,0.35,0.02,9.23,1.89,1.34,---,3.82,---,51.14,1.53,0.08,0.0,15.53,12.81,75.69,1.84,3.97,2.78,---,---,---,5.66,69.63,72.95,2023-01-05 06:00:00
7,7~8,5.56,---,7.77,27.94,0.12,0.01,12.37,1.7,0.66,---,5.31,---,51.8,1.34,0.09,0.0,14.38,12.75,20.46,1.87,4.07,3.15,---,---,---,5.26,69.47,72.58,2023-01-05 07:00:00
8,8~9,5.0,---,8.46,32.62,0.1,0.02,21.75,1.74,1.86,---,8.66,---,53.92,1.28,0.08,0.0,14.4,14.04,19.47,2.0,4.1,3.63,---,---,---,8.29,73.48,74.58,2023-01-05 08:00:00
9,9~10,6.31,---,8.02,35.13,0.11,0.05,27.36,2.58,1.87,---,9.84,---,57.55,1.16,0.08,0.0,15.75,14.81,22.78,2.16,3.97,4.97,---,---,---,11.93,78.39,78.88,2023-01-05 09:00:00
10,10~11,7.19,---,12.06,38.87,0.12,0.07,29.5,2.32,2.5,---,9.25,---,61.38,1.23,0.07,0.0,16.09,18.02,43.35,2.16,4.32,5.97,---,---,---,12.94,80.13,85.81,2023-01-05 10:00:00
11,11~12,7.62,---,10.18,38.13,0.12,0.02,32.46,3.16,2.54,---,8.9,---,62.13,1.14,0.06,0.0,20.18,19.04,52.14,2.28,3.83,6.75,---,---,---,12.2,81.1,86.84,2023-01-05 11:00:00
12,12~13,7.94,---,12.5,35.94,0.12,0.04,30.32,3.81,2.52,---,6.38,---,61.4,1.21,0.06,0.0,18.43,23.13,23.42,2.09,3.66,5.72,---,---,---,13.49,80.88,87.19,2023-01-05 12:00:00
13,13~14,9.63,---,10.52,36.93,0.12,0.04,31.43,3.14,1.88,---,10.81,---,64.91,1.17,0.07,0.0,18.37,27.18,23.69,2.06,3.57,6.22,---,---,---,12.98,81.04,88.67,2023-01-05 13:00:00
14,14~15,11.75,---,12.7,37.75,0.11,0.04,32.93,2.86,1.87,---,10.91,---,64.69,1.53,0.06,0.0,19.63,19.54,27.96,2.0,4.17,7.12,---,---,---,13.35,81.87,89.33,2023-01-05 14:00:00
15,15~16,7.81,---,11.58,38.0,0.12,0.04,28.91,3.14,1.89,---,11.1,---,63.71,1.27,0.06,0.0,27.13,17.52,56.47,2.04,4.19,7.47,---,---,---,13.18,81.93,90.25,2023-01-05 15:00:00
16,16~17,7.5,---,11.39,38.38,0.15,0.05,28.85,3.44,1.94,---,8.62,---,65.32,1.37,0.07,0.0,26.16,17.1,32.08,2.12,3.45,6.69,---,---,---,15.53,81.47,87.42,2023-01-05 16:00:00
17,17~18,9.06,---,11.6,37.06,0.38,0.09,29.87,3.5,2.32,---,5.53,---,62.78,1.29,0.09,0.0,24.62,22.94,25.24,2.28,3.19,6.09,---,---,---,10.33,78.96,86.04,2023-01-05 17:00:00
