,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,8.19,50.60,5.63,27.25,0.36,0.12,9.25,3.94,1.69,---,4.00,---,58.48,1.01,1.15,0.16,22.47,20.42,26.60,1.63,4.33,1.65,4.42,0.86,---,3.44,54.56,65.94,2024-01-01 00:00:00
1,1~2,7.37,50.74,5.45,26.81,0.35,0.13,8.76,3.55,1.66,---,4.66,---,59.48,1.23,1.13,0.17,21.97,21.40,36.40,1.65,4.35,1.72,4.42,0.86,---,3.62,53.79,65.43,2024-01-01 01:00:00
2,2~3,9.69,50.20,5.34,26.69,0.36,0.14,9.37,3.76,1.69,---,4.59,---,59.36,1.44,1.12,0.16,21.98,24.52,57.55,1.60,4.48,1.53,4.42,0.91,---,3.69,54.14,65.19,2024-01-01 02:00:00
3,3~4,8.62,50.15,5.11,26.44,0.36,0.13,10.18,3.63,1.70,---,4.81,---,59.16,1.46,1.15,0.16,21.17,21.96,39.15,1.62,4.47,1.90,4.42,0.87,---,3.60,54.24,64.06,2024-01-01 03:00:00
4,4~5,7.88,50.32,5.38,26.06,0.35,0.13,11.58,3.32,1.69,---,4.78,---,58.67,1.49,1.10,0.17,20.91,22.39,74.40,1.66,4.48,1.79,4.43,0.87,---,3.78,54.05,64.07,2024-01-01 04:00:00
5,5~6,8.06,49.99,5.92,26.06,0.36,0.10,11.78,2.44,1.66,---,4.68,---,58.49,1.24,1.06,0.17,18.42,16.53,118.98,1.62,4.53,1.93,4.41,1.26,---,3.49,54.11,63.75,2024-01-01 05:00:00
6,6~7,7.81,49.84,5.93,26.13,0.32,0.13,10.61,2.11,1.29,---,4.57,---,60.20,1.31,1.13,0.16,15.54,15.33,40.60,1.63,5.47,1.79,2.37,1.19,---,3.85,56.01,63.43,2024-01-01 06:00:00
7,7~8,4.75,50.60,5.91,26.06,0.09,0.07,12.68,2.07,0.62,---,4.15,---,60.47,1.24,1.17,0.17,15.59,14.28,23.89,1.59,5.35,1.99,0.00,0.84,---,3.38,55.18,64.01,2024-01-01 07:00:00
8,8~9,4.88,50.62,5.75,26.81,0.09,0.08,12.86,1.95,1.67,---,4.10,---,60.57,1.00,1.13,0.04,16.90,13.18,27.36,1.63,5.16,2.10,0.00,0.84,---,3.68,54.16,63.62,2024-01-01 08:00:00
9,9~10,4.56,51.41,6.82,26.82,0.09,0.08,14.10,1.94,1.62,---,4.34,---,62.02,1.32,1.09,0.00,13.98,13.60,22.65,1.62,4.84,2.40,0.00,0.87,---,3.32,54.37,63.19,2024-01-01 09:00:00
10,10~11,5.69,52.54,6.81,27.18,0.09,0.09,13.92,1.79,1.63,---,4.85,---,62.39,0.94,1.18,0.00,14.70,16.49,40.62,1.63,4.41,2.41,0.00,0.82,---,3.65,54.64,63.87,2024-01-01 10:00:00
11,11~12,6.06,53.65,6.33,27.19,0.09,0.06,13.79,1.84,1.64,---,5.50,---,61.87,1.13,1.17,0.00,14.94,23.10,55.46,1.62,4.33,2.44,0.00,0.80,---,3.31,53.88,64.82,2024-01-01 11:00:00
12,12~13,5.75,53.41,5.79,28.13,0.09,0.06,13.57,1.84,1.62,---,5.46,---,63.55,1.64,1.83,0.00,17.45,19.30,39.82,1.59,4.28,2.56,0.00,0.84,---,4.07,54.69,65.81,2024-01-01 12:00:00
13,13~14,6.44,54.56,7.47,28.56,0.09,0.07,14.07,2.55,1.63,---,5.60,---,64.46,0.96,1.71,0.00,22.56,19.86,25.35,1.63,4.46,2.47,0.00,1.48,---,3.50,55.45,64.57,2024-01-01 13:00:00
14,14~15,6.94,53.81,7.87,29.00,0.10,0.06,13.83,2.73,1.66,---,5.65,---,66.22,1.26,1.80,0.00,26.32,17.87,35.77,1.59,4.47,2.59,0.00,0.83,---,3.44,54.55,65.87,2024-01-01 14:00:00
15,15~16,7.00,53.72,7.31,28.94,0.09,0.07,14.24,2.67,1.63,---,5.45,---,68.18,0.96,1.70,0.00,23.64,16.79,34.30,1.60,4.54,2.57,0.00,0.79,---,3.62,55.51,66.50,2024-01-01 15:00:00
16,16~17,6.12,53.24,6.88,28.81,0.12,0.07,14.18,2.41,1.76,---,6.93,---,66.72,1.07,1.70,0.10,21.97,19.14,62.60,1.65,4.65,2.49,0.28,0.84,---,3.53,55.82,67.75,2024-01-01 16:00:00
17,17~18,9.38,52.85,6.72,27.94,0.35,0.11,15.83,2.55,2.09,---,6.47,---,67.31,1.04,1.71,0.17,24.75,20.13,64.06,1.60,4.84,2.35,4.49,0.85,---,3.82,58.41,66.87,2024-01-01 17:00:00
18,18~19,9.75,53.72,6.37,26.81,0.35,0.09,15.80,3.42,1.70,---,6.75,---,65.17,1.14,1.66,0.16,24.60,26.39,32.42,1.59,4.97,2.12,4.45,0.88,---,4.25,68.53,65.75,2024-01-01 18:00:00
19,19~20,9.62,53.78,6.12,27.37,0.35,0.11,15.25,3.50,1.67,---,7.37,---,65.03,1.25,1.69,0.17,22.08,26.30,36.07,1.59,4.71,2.19,4.42,0.85,---,3.31,63.98,64.88,2024-01-01 19:00:00
20,20~21,9.38,51.79,6.74,26.57,0.35,0.10,15.19,3.46,1.65,---,9.44,---,63.76,1.22,1.52,0.17,25.57,26.79,40.61,1.57,4.28,1.94,4.43,1.57,---,3.78,56.93,64.18,2024-01-01 20:00:00
21,21~22,11.68,49.65,6.32,26.62,0.36,0.11,15.73,3.21,1.70,---,8.56,---,65.13,1.24,1.60,0.17,28.51,35.04,137.22,1.59,4.59,1.91,4.41,0.91,---,3.65,56.42,63.70,2024-01-01 21:00:00
22,22~23,14.32,48.72,6.29,26.56,0.35,0.11,11.15,2.79,1.65,---,7.66,---,61.19,1.15,1.45,0.16,36.39,34.17,134.50,1.56,4.59,1.81,4.40,0.93,---,4.91,55.45,64.18,2024-01-01 22:00:00
23,23~24,13.87,48.63,6.20,26.50,0.35,0.12,10.28,2.75,1.70,---,6.57,---,61.17,1.38,0.91,0.17,28.59,32.78,53.11,1.57,4.72,1.71,4.40,0.92,---,3.69,55.27,64.75,2024-01-01 23:00:00
