,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,16.19,52.62,5.35,25.50,0.33,0.10,8.99,2.51,1.70,83.38,3.15,20.66,59.57,1.03,0.65,0.16,38.42,36.91,150.44,2.66,2.59,2.49,4.25,1.26,149.40,5.50,58.46,64.50,2023-12-03 00:00:00
1,1~2,10.31,52.37,4.98,25.31,0.32,0.11,8.66,2.37,1.73,82.09,3.09,20.62,58.38,0.94,0.66,0.17,35.07,36.37,44.84,2.62,2.56,3.29,4.25,0.95,148.93,5.35,57.82,64.93,2023-12-03 01:00:00
2,2~3,8.87,51.79,5.00,25.13,0.33,0.13,9.22,2.06,1.68,82.94,3.04,19.97,59.93,0.98,0.65,0.17,30.60,26.96,30.45,2.60,2.64,3.28,4.25,0.84,149.62,5.49,58.02,65.19,2023-12-03 02:00:00
3,3~4,7.38,51.59,4.83,25.12,0.33,0.11,9.50,2.16,1.73,82.71,2.84,20.72,59.15,1.02,0.65,0.17,19.94,23.62,29.80,2.59,2.66,2.59,4.24,0.88,150.68,5.98,58.48,65.50,2023-12-03 03:00:00
4,4~5,6.94,51.00,4.86,25.00,0.32,0.12,10.90,2.10,1.70,81.84,2.46,20.28,59.10,0.93,0.66,0.16,18.48,16.71,126.59,2.50,2.66,3.10,4.25,0.93,148.92,5.06,58.42,65.07,2023-12-03 04:00:00
5,5~6,7.12,51.04,4.97,25.38,0.33,0.08,11.18,2.16,1.68,82.32,2.44,20.25,59.63,0.94,0.64,0.17,17.41,15.96,54.93,2.50,2.68,3.90,4.25,0.92,149.75,5.56,57.90,64.94,2023-12-03 05:00:00
6,6~7,7.75,50.96,5.00,25.06,0.22,0.02,10.36,1.89,1.29,82.03,2.38,19.88,59.77,1.25,0.66,0.17,15.79,14.34,18.95,2.47,3.44,3.53,2.23,0.84,150.08,5.69,58.05,65.87,2023-12-03 06:00:00
7,7~8,9.44,51.63,6.12,25.31,0.06,0.05,14.39,1.86,0.67,83.37,2.31,20.81,60.25,1.16,0.66,0.16,16.06,13.90,19.90,2.44,3.36,3.07,0.00,0.81,150.00,4.97,58.68,65.44,2023-12-03 07:00:00
8,8~9,6.62,52.50,6.37,26.19,0.06,0.05,36.28,2.35,0.66,84.10,2.31,21.57,60.22,1.09,0.65,0.08,18.04,16.22,26.60,2.50,3.41,3.21,0.00,1.40,150.78,5.59,57.53,66.81,2023-12-03 08:00:00
9,9~10,7.69,52.46,5.66,26.69,0.07,0.04,42.81,2.47,0.67,85.96,2.59,21.27,62.10,1.30,0.65,0.07,18.44,18.99,56.06,2.47,3.31,5.56,0.00,0.96,149.19,5.69,57.59,64.94,2023-12-03 09:00:00
10,10~11,7.69,53.66,4.96,26.81,0.05,0.02,43.61,2.86,0.63,89.32,2.79,22.32,64.21,0.92,0.64,0.00,23.63,23.18,36.53,2.40,3.33,5.32,0.00,0.64,148.86,5.12,58.30,65.31,2023-12-03 10:00:00
11,11~12,9.75,55.41,4.93,26.81,0.07,0.03,44.04,3.43,0.66,90.53,2.74,22.72,65.07,0.95,0.64,0.00,24.26,26.18,34.67,2.31,3.34,5.63,0.00,0.85,150.38,5.65,58.20,65.44,2023-12-03 11:00:00
12,12~13,10.12,54.62,5.32,27.07,0.06,0.02,38.96,3.19,0.66,91.78,2.54,23.67,65.57,0.99,0.66,0.00,26.98,21.33,34.44,2.35,3.34,4.72,0.00,0.87,148.80,5.35,57.83,64.99,2023-12-03 12:00:00
13,13~14,11.82,55.59,5.61,29.00,0.06,0.03,39.23,3.02,0.67,90.30,2.97,21.93,65.40,1.22,0.64,0.00,30.33,26.67,55.70,2.34,3.34,5.77,0.00,0.78,150.48,5.47,58.94,65.07,2023-12-03 13:00:00
