,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,12.81,65.25,6.38,31.57,0.44,0.11,8.42,3.51,1.78,103.70,4.82,29.88,69.00,2.25,1.11,0.17,73.45,60.11,69.61,2.53,2.84,4.12,4.73,0.92,191.83,6.94,73.26,82.50,2023-10-07 00:00:00
1,1~2,14.63,64.20,6.75,31.31,0.44,0.12,8.46,3.32,1.77,101.36,2.77,29.97,68.62,1.25,1.09,0.16,69.76,51.75,58.85,2.56,2.88,4.38,4.74,0.77,191.39,7.28,72.86,81.84,2023-10-07 01:00:00
2,2~3,8.75,64.05,6.62,31.19,0.43,0.12,8.86,3.08,1.77,98.75,2.41,28.07,68.27,1.27,1.16,0.17,52.02,47.21,106.94,2.53,2.88,3.69,4.74,0.91,190.29,7.41,73.24,80.19,2023-10-07 02:00:00
3,3~4,7.87,62.08,6.50,30.93,0.45,0.11,9.75,2.78,1.72,97.21,2.54,26.60,68.07,1.24,1.00,0.17,48.38,42.39,101.95,2.63,2.89,3.81,4.75,1.10,188.16,7.00,72.99,78.50,2023-10-07 03:00:00
4,4~5,7.38,61.36,6.37,31.13,0.43,0.12,10.78,2.97,1.70,95.30,2.43,26.65,66.22,1.24,1.03,0.16,43.72,36.52,47.63,2.28,2.87,3.87,4.75,0.81,187.74,7.53,71.90,78.72,2023-10-07 04:00:00
5,5~6,7.25,61.00,6.58,30.56,0.44,0.13,11.02,2.86,1.66,95.16,2.50,26.31,66.35,1.09,1.08,0.17,41.06,34.49,41.91,2.22,2.95,3.72,3.56,0.74,186.44,7.28,71.17,78.91,2023-10-07 05:00:00
6,6~7,6.87,61.36,6.58,30.81,0.18,0.07,9.80,2.79,0.95,98.47,2.31,27.54,68.62,1.12,0.97,0.16,39.34,32.93,40.02,2.15,3.50,3.59,0.04,1.10,188.42,6.91,71.43,80.63,2023-10-07 06:00:00
7,7~8,7.00,61.94,6.53,31.32,0.17,0.07,12.93,2.60,0.68,97.23,2.32,26.78,68.13,1.07,1.09,0.03,38.33,31.30,40.27,2.22,3.59,3.97,0.00,1.39,190.55,6.84,71.53,82.99,2023-10-07 07:00:00
8,8~9,8.00,64.39,6.50,32.43,0.18,0.05,17.11,2.67,0.73,101.16,3.28,26.94,70.94,1.66,1.24,0.00,38.87,33.68,70.03,2.22,3.69,6.38,0.00,0.82,202.62,7.97,78.63,86.32,2023-10-07 08:00:00
9,9~10,7.88,65.39,8.02,32.88,0.17,0.06,18.74,4.89,0.75,112.43,5.94,29.06,77.43,1.08,1.30,0.00,42.35,36.87,52.67,2.28,3.84,7.93,0.00,0.73,208.75,7.15,84.03,87.37,2023-10-07 09:00:00
10,10~11,10.31,65.71,8.94,32.94,0.16,0.06,17.92,2.80,0.77,121.64,11.74,29.37,80.53,1.06,1.34,0.00,38.93,35.20,51.39,2.28,4.00,8.63,0.00,0.85,220.66,7.06,86.03,97.69,2023-10-07 10:00:00
11,11~12,14.94,73.14,8.93,34.93,0.18,0.05,18.03,2.44,0.71,122.56,11.98,29.51,81.07,0.99,1.63,0.00,43.18,46.88,51.65,3.28,4.50,8.72,0.00,0.90,226.09,8.29,86.31,101.44,2023-10-07 11:00:00
12,12~13,12.62,74.57,10.08,35.38,0.16,0.05,19.12,3.53,0.71,123.43,11.46,31.03,80.94,0.99,1.66,0.00,44.12,44.06,45.95,3.47,4.78,9.07,0.00,0.80,230.12,7.18,86.75,105.83,2023-10-07 12:00:00
13,13~14,10.25,77.97,9.11,36.44,0.17,0.05,17.21,7.07,0.74,134.74,10.54,37.55,86.65,1.17,1.69,0.00,38.94,37.69,48.43,3.41,4.65,9.08,0.00,0.93,230.95,7.16,86.12,107.54,2023-10-07 13:00:00
14,14~15,10.19,85.17,9.88,37.31,0.18,0.06,17.54,8.90,0.72,140.56,11.99,40.89,87.68,1.09,2.81,0.00,37.78,38.91,67.55,3.62,4.66,8.92,0.00,0.89,235.81,9.54,87.69,107.50,2023-10-07 14:00:00
15,15~16,9.69,83.03,9.13,37.56,0.17,0.07,18.10,8.90,0.73,143.39,11.85,43.29,88.25,1.43,2.25,0.00,35.44,37.68,62.48,3.50,4.25,8.68,0.00,0.71,234.64,10.24,88.49,105.78,2023-10-07 15:00:00
16,16~17,13.12,79.08,8.02,37.69,0.17,0.06,15.36,11.67,0.85,137.43,10.59,43.18,83.66,1.37,2.06,0.14,33.85,31.74,43.04,3.10,3.65,8.12,0.36,0.72,227.67,10.09,89.60,98.41,2023-10-07 16:00:00
17,17~18,11.31,75.64,8.58,35.69,0.38,0.10,14.23,10.27,1.65,129.61,7.38,39.35,82.88,1.26,1.50,0.17,36.15,33.07,43.70,2.87,3.47,5.69,4.84,1.57,220.71,7.44,88.84,95.15,2023-10-07 17:00:00
18,18~19,11.32,65.28,7.40,35.43,0.43,0.12,14.28,8.38,1.81,124.27,5.34,38.18,80.75,2.11,1.41,0.16,35.33,32.76,42.04,2.94,3.50,4.91,4.79,0.86,215.39,7.09,84.43,94.50,2023-10-07 18:00:00
19,19~20,12.25,64.18,7.42,34.82,0.43,0.10,14.33,7.79,1.81,116.47,5.16,35.47,75.84,3.11,1.27,0.17,37.64,33.21,40.54,2.87,3.38,4.53,4.78,0.94,219.58,8.35,85.13,96.54,2023-10-07 19:00:00
20,20~21,12.75,63.50,6.32,34.25,0.43,0.11,13.94,7.75,1.80,111.11,3.99,33.12,74.00,3.03,1.10,0.17,41.78,38.51,69.51,2.88,2.87,4.12,4.77,0.89,215.16,7.21,84.40,93.81,2023-10-07 20:00:00
