,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,16.12,77.93,9.79,38.56,0.45,0.10,14.15,7.72,1.62,101.32,4.13,23.94,73.25,1.14,2.58,0.00,97.72,69.42,91.72,3.56,2.57,5.00,4.55,0.85,204.70,4.44,73.35,94.07,2024-09-10 00:00:00
1,1~2,14.69,69.00,8.98,37.09,0.44,0.11,13.76,6.87,1.61,100.52,3.93,23.69,72.90,1.33,2.63,0.00,87.04,52.52,96.22,3.47,2.43,4.21,4.54,0.71,201.66,4.35,71.62,92.95,2024-09-10 01:00:00
2,2~3,10.56,67.44,9.09,36.75,0.43,0.11,13.85,6.90,1.65,99.70,4.32,24.03,71.35,3.81,2.15,0.00,74.16,48.90,128.75,3.34,2.38,4.07,4.53,1.60,197.82,4.69,69.39,91.89,2024-09-10 02:00:00
3,3~4,8.44,67.56,9.22,36.70,0.45,0.04,13.86,6.08,1.60,97.20,5.09,23.23,68.88,3.44,2.45,0.00,64.80,40.46,57.24,3.38,2.37,4.18,4.53,0.87,195.33,4.31,68.78,90.81,2024-09-10 03:00:00
4,4~5,7.56,67.75,9.25,36.75,0.44,0.01,13.98,6.08,1.63,95.05,5.03,22.96,67.06,3.07,2.33,0.00,61.63,38.36,54.26,3.44,2.38,4.72,4.53,1.02,193.88,4.59,68.66,89.14,2024-09-10 04:00:00
5,5~6,7.31,66.50,9.20,37.05,0.40,0.04,14.40,6.22,1.58,90.53,4.78,22.56,63.19,3.35,2.22,0.00,59.48,36.83,53.59,3.40,3.00,4.69,1.98,0.81,192.12,4.47,68.09,87.81,2024-09-10 05:00:00
6,6~7,7.63,66.81,8.67,40.14,0.17,0.05,19.59,5.91,0.68,91.56,3.66,22.69,65.21,3.07,2.40,0.00,58.04,36.27,52.41,3.31,3.44,5.09,0.00,11.04,199.89,7.49,68.97,90.38,2024-09-10 06:00:00
7,7~8,9.25,67.94,9.69,49.03,0.18,0.03,21.32,5.81,0.68,96.21,3.85,24.46,67.90,3.19,2.48,0.00,59.40,35.42,53.90,3.38,3.56,5.07,0.00,12.48,208.89,9.82,70.95,91.81,2024-09-10 07:00:00
8,8~9,10.31,74.57,15.34,60.27,0.18,0.17,38.63,5.56,1.69,111.39,6.00,29.16,76.23,1.30,2.74,0.00,60.99,39.06,59.85,3.56,3.81,6.74,0.00,3.82,227.09,20.12,73.97,97.14,2024-09-10 08:00:00
9,9~10,11.19,100.93,18.99,69.19,0.19,1.04,47.80,11.63,1.66,123.79,8.84,33.79,81.16,1.08,3.13,0.00,59.34,41.86,72.72,3.72,4.81,8.75,0.00,4.30,276.71,44.29,84.11,106.10,2024-09-10 09:00:00
10,10~11,11.81,132.19,16.45,77.82,0.19,1.87,54.65,15.35,1.71,140.09,15.87,34.57,89.65,1.33,3.22,0.00,54.89,35.36,79.28,4.31,6.13,8.85,0.00,10.67,294.29,45.65,87.84,114.95,2024-09-10 10:00:00
11,11~12,14.63,139.57,16.83,80.80,0.20,1.83,59.47,14.41,1.65,146.53,15.32,35.78,95.43,1.09,3.49,0.00,53.88,42.87,53.31,4.38,5.69,9.19,0.00,17.90,302.30,38.07,89.87,122.24,2024-09-10 11:00:00
12,12~13,16.56,136.74,18.30,79.74,0.20,2.09,68.74,11.95,1.67,156.80,18.81,36.47,101.52,1.13,4.12,0.00,56.77,40.73,52.66,4.34,5.26,9.59,0.00,16.05,303.84,19.99,96.61,137.62,2024-09-10 12:00:00
13,13~14,14.19,147.06,18.32,83.76,0.20,1.83,72.18,13.00,1.72,164.71,22.37,43.94,98.40,1.11,5.41,0.00,59.81,40.99,50.71,5.10,4.56,11.47,0.00,7.79,328.25,41.63,90.98,146.67,2024-09-10 13:00:00
14,14~15,11.31,146.13,18.85,91.60,0.20,1.81,66.41,16.03,1.66,169.75,24.66,44.33,100.76,1.33,6.15,0.00,50.01,36.44,41.72,5.75,5.87,10.84,0.00,4.24,350.27,60.53,91.54,147.75,2024-09-10 14:00:00
15,15~16,11.50,146.25,19.07,93.84,0.20,2.36,58.73,13.96,1.71,169.11,23.41,46.06,99.64,1.13,5.97,0.00,45.09,34.16,44.31,5.71,6.25,10.97,0.00,17.22,341.32,58.97,89.86,145.89,2024-09-10 15:00:00
16,16~17,11.94,137.68,18.62,86.75,0.20,1.80,56.10,15.27,1.80,162.60,21.28,41.98,99.34,1.14,5.29,0.00,51.27,41.78,49.25,5.57,3.94,9.09,0.00,12.44,313.36,38.53,87.46,140.60,2024-09-10 16:00:00
17,17~18,16.43,130.57,19.12,73.20,0.28,0.43,88.10,14.09,1.72,156.36,17.50,40.25,98.61,1.16,5.21,0.00,52.58,42.67,61.09,4.93,2.95,7.62,0.26,1.65,270.97,13.72,86.90,129.72,2024-09-10 17:00:00
18,18~19,16.50,118.69,16.90,61.77,0.46,0.10,83.83,11.48,1.71,146.13,14.06,38.75,93.32,1.50,3.68,0.00,58.24,49.32,66.23,4.54,2.69,6.64,4.50,0.76,255.49,11.13,81.30,124.82,2024-09-10 18:00:00
19,19~20,18.13,113.81,16.27,56.01,0.45,0.11,80.08,9.05,1.63,142.00,14.57,36.60,90.83,1.22,2.93,0.00,63.44,61.82,100.91,4.40,2.62,5.68,4.61,0.82,244.77,10.55,79.10,118.92,2024-09-10 19:00:00
20,20~21,23.75,107.75,15.53,49.86,0.45,0.07,71.65,7.85,1.70,129.84,15.90,30.06,83.88,1.23,2.89,0.00,72.25,58.45,86.21,4.41,2.69,6.03,4.57,1.14,230.98,7.23,76.04,113.70,2024-09-10 20:00:00
21,21~22,16.94,96.50,14.79,44.36,0.45,0.10,55.80,8.64,1.66,119.27,13.31,28.06,77.90,1.21,2.70,0.00,78.23,65.62,151.38,4.22,2.62,6.38,4.56,0.78,225.73,7.96,75.61,108.78,2024-09-10 21:00:00
22,22~23,24.18,90.06,12.76,40.78,0.45,0.11,16.53,8.65,1.63,114.80,10.22,27.53,77.05,1.77,2.76,0.00,102.55,79.57,128.44,3.81,2.57,6.22,4.54,0.75,219.64,7.34,75.28,103.74,2024-09-10 22:00:00
23,23~24,28.00,83.32,9.21,38.99,0.43,0.10,12.05,8.08,1.66,105.15,4.84,22.56,77.75,1.37,2.81,0.00,105.12,85.18,170.24,3.81,2.56,5.31,4.51,1.10,213.74,7.79,72.03,101.14,2024-09-10 23:00:00
