,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,22.82,53.19,5.37,26.18,0.37,0.11,9.38,3.56,1.61,91.91,3.47,20.85,67.59,1.18,1.68,0.17,34.86,40.79,94.81,2.38,3.50,3.00,4.37,1.37,153.26,2.78,59.72,70.01,2024-03-16 00:00:00
1,1~2,15.06,51.40,5.40,26.25,0.37,0.09,8.60,4.06,1.60,90.77,3.32,20.75,66.70,1.35,1.68,0.17,33.96,35.12,138.16,2.40,3.56,2.90,4.39,1.05,153.45,3.15,59.18,70.31,2024-03-16 01:00:00
2,2~3,9.25,50.76,5.42,26.34,0.38,0.11,8.99,2.04,1.59,89.15,3.06,20.66,65.43,1.07,1.67,0.17,23.54,21.89,86.34,2.38,3.44,3.07,4.38,0.86,152.74,2.79,59.56,69.38,2024-03-16 02:00:00
3,3~4,7.19,50.87,5.35,26.13,0.37,0.12,9.45,1.67,1.56,86.68,3.00,20.00,63.68,1.14,1.64,0.16,19.86,17.64,19.69,2.37,3.56,3.19,4.38,0.98,153.77,3.31,59.69,69.37,2024-03-16 03:00:00
4,4~5,6.31,50.31,5.56,25.88,0.38,0.12,10.50,1.60,1.60,84.58,2.94,19.06,62.58,1.14,1.53,0.17,17.65,16.66,19.19,2.47,3.57,2.97,4.40,0.72,152.94,3.28,59.18,69.31,2024-03-16 04:00:00
5,5~6,6.06,50.13,5.56,26.17,0.37,0.12,10.97,1.65,1.56,84.73,2.84,18.69,63.20,1.03,1.69,0.17,16.06,16.51,20.00,2.41,3.50,3.09,4.38,1.13,152.39,2.78,59.60,69.01,2024-03-16 05:00:00
6,6~7,5.25,50.68,5.40,25.95,0.19,0.07,9.71,1.26,0.91,85.69,2.88,19.16,63.65,0.91,1.66,0.17,14.41,15.47,21.75,2.37,4.31,2.85,2.06,0.67,152.66,3.21,58.82,69.68,2024-03-16 06:00:00
7,7~8,5.69,51.75,5.12,26.03,0.11,0.05,16.60,1.31,0.57,85.52,2.75,18.34,64.43,1.19,1.66,0.08,14.14,15.16,28.18,2.35,4.31,3.02,0.00,1.26,154.00,3.07,59.68,70.31,2024-03-16 07:00:00
8,8~9,7.56,50.88,5.23,26.72,0.10,0.03,53.59,1.22,1.64,86.67,2.84,18.97,64.86,1.33,1.47,0.00,16.18,17.93,52.73,2.40,4.31,3.66,0.00,1.21,154.38,3.66,58.94,70.63,2024-03-16 08:00:00
9,9~10,6.94,52.37,6.62,28.26,0.11,0.04,65.71,1.29,1.60,91.40,3.81,20.75,66.84,1.03,1.29,0.00,23.84,21.94,40.09,2.38,4.38,4.82,0.00,1.04,158.88,6.09,61.07,70.25,2024-03-16 09:00:00
10,10~11,12.37,55.66,6.82,29.87,0.11,0.03,68.95,1.36,1.63,93.97,5.22,21.03,67.72,1.06,1.85,0.00,24.14,29.95,29.49,2.25,4.37,5.11,0.00,0.95,160.51,6.65,60.49,72.00,2024-03-16 10:00:00
11,11~12,17.94,65.68,7.13,30.64,0.12,0.02,71.23,1.24,1.60,99.75,5.03,23.67,71.05,1.12,2.12,0.00,31.22,22.39,36.26,2.31,4.44,4.60,0.00,0.68,163.16,6.75,61.41,73.37,2024-03-16 11:00:00
12,12~13,11.56,65.88,9.28,30.94,0.11,0.03,67.56,1.44,1.62,98.94,5.82,23.65,69.47,1.08,1.88,0.00,36.32,28.03,43.37,2.50,4.75,3.88,0.00,0.93,163.47,6.19,62.13,74.13,2024-03-16 12:00:00
13,13~14,11.63,68.00,8.18,30.75,0.11,0.02,68.50,2.22,1.58,102.73,6.27,24.47,71.99,1.12,2.03,0.00,30.80,29.43,55.69,2.50,5.13,5.56,0.00,0.83,167.51,6.47,63.14,76.62,2024-03-16 13:00:00
14,14~15,9.12,63.10,7.92,30.28,0.11,0.04,68.60,2.24,1.60,105.24,7.13,23.48,74.63,1.41,2.95,0.00,29.03,26.51,34.31,2.56,5.31,6.19,0.00,0.87,168.92,5.73,63.85,77.38,2024-03-16 14:00:00
