,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,22.94,81.25,8.17,35.65,0.43,0.10,11.54,3.65,1.63,96.86,2.12,21.78,72.96,1.15,2.74,0.00,100.91,65.32,97.41,3.65,2.50,5.37,4.50,1.58,220.05,13.81,72.72,102.81,2024-09-12 00:00:00
1,1~2,16.43,79.31,7.79,34.02,0.44,0.11,11.17,2.64,1.65,94.90,2.22,21.20,71.48,1.50,2.71,0.00,89.66,53.09,122.47,3.63,2.37,4.68,4.49,0.81,215.60,13.06,72.04,100.03,2024-09-12 01:00:00
2,2~3,13.69,78.12,7.94,35.39,0.43,0.11,12.35,2.59,1.65,95.30,2.13,21.33,71.84,4.21,2.62,0.00,78.92,52.26,116.44,3.69,2.32,4.63,4.49,0.98,214.59,13.97,72.63,97.35,2024-09-12 02:00:00
3,3~4,10.81,74.88,8.04,33.97,0.44,0.04,12.64,2.48,1.59,93.18,2.21,20.57,70.40,3.69,2.50,0.00,67.69,41.88,57.62,3.68,2.31,4.78,4.50,0.96,211.64,12.97,72.35,96.22,2024-09-12 03:00:00
4,4~5,8.82,74.50,8.45,33.51,0.44,0.02,12.47,2.47,1.67,92.72,2.13,20.57,70.02,3.46,2.50,0.00,65.03,40.65,57.22,3.69,2.37,5.16,4.49,0.95,211.16,12.53,72.74,95.91,2024-09-12 04:00:00
5,5~6,7.75,75.06,7.84,33.80,0.39,0.05,12.49,2.39,1.57,91.69,2.18,19.93,69.58,3.52,2.24,0.00,60.36,38.14,53.47,3.75,2.94,5.50,1.96,0.80,210.96,13.00,71.99,95.65,2024-09-12 05:00:00
6,6~7,7.00,76.69,8.00,36.16,0.18,0.06,15.12,2.19,0.72,88.08,2.10,19.69,66.29,3.07,2.56,0.00,60.00,35.82,53.54,3.75,3.38,5.37,0.00,1.75,213.09,12.41,72.34,97.36,2024-09-12 06:00:00
7,7~8,7.37,78.69,8.60,45.25,0.17,0.06,41.30,1.95,0.68,97.61,2.75,21.52,73.34,3.17,2.70,0.00,60.18,36.81,57.30,3.78,3.56,5.88,0.00,10.96,227.02,16.91,74.04,101.41,2024-09-12 07:00:00
8,8~9,10.69,97.25,12.88,56.54,0.18,0.04,98.50,5.12,1.68,118.74,6.37,32.14,80.23,1.33,3.11,0.00,66.67,42.97,65.25,4.19,4.70,7.62,0.00,4.97,246.31,27.09,77.22,105.85,2024-09-12 08:00:00
9,9~10,11.25,119.50,13.23,67.61,0.18,0.05,93.40,9.04,1.67,135.22,10.51,37.56,87.15,1.42,3.02,0.00,63.93,39.75,61.85,4.66,5.75,9.26,0.00,4.53,299.98,50.99,89.35,116.63,2024-09-12 09:00:00
10,10~11,10.06,136.50,16.12,77.91,0.20,0.09,95.29,10.15,1.72,146.17,16.09,41.00,89.08,1.15,3.36,0.00,50.96,36.44,78.03,4.87,5.93,10.24,0.00,13.94,326.00,52.41,93.81,135.22,2024-09-12 10:00:00
11,11~12,10.19,146.18,17.23,80.11,0.19,0.09,95.42,11.02,1.64,154.19,15.40,44.85,93.94,1.11,3.77,0.00,49.93,43.15,59.56,4.84,5.75,11.32,0.00,16.99,328.21,44.88,94.12,143.95,2024-09-12 11:00:00
12,12~13,14.44,150.07,18.86,80.33,0.20,0.06,120.75,12.56,1.68,171.58,16.63,49.94,105.01,1.18,4.53,0.00,53.67,45.71,52.19,4.94,5.25,11.19,0.00,16.01,325.48,37.59,97.71,147.44,2024-09-12 12:00:00
13,13~14,17.75,150.19,18.30,84.12,0.19,0.48,111.11,12.76,1.71,175.88,20.07,57.44,98.37,1.32,5.65,0.00,55.43,41.92,52.25,5.06,4.51,13.49,0.00,4.10,328.08,41.94,96.97,144.63,2024-09-12 13:00:00
14,14~15,12.43,151.55,18.44,86.60,0.19,0.35,115.79,14.46,1.69,181.18,23.49,53.06,104.63,1.35,6.75,0.00,44.03,39.32,42.53,5.04,5.94,12.79,0.00,8.19,342.16,55.37,97.76,145.87,2024-09-12 14:00:00
15,15~16,12.07,149.69,18.94,82.67,0.20,0.06,105.50,14.57,1.73,171.52,25.34,48.03,98.15,1.25,4.83,0.00,42.37,34.79,45.62,5.09,6.19,12.65,0.00,18.99,346.90,55.04,97.72,149.12,2024-09-12 15:00:00
16,16~17,14.56,139.38,20.01,78.56,0.19,0.06,92.98,13.77,1.79,160.81,22.60,45.90,92.31,1.28,4.58,0.00,42.14,40.42,48.53,5.19,4.19,9.56,0.00,13.01,317.21,32.59,93.23,148.30,2024-09-12 16:00:00
17,17~18,15.44,133.50,18.45,69.55,0.29,0.07,98.92,13.76,1.71,153.80,14.66,45.24,93.90,1.22,3.92,0.00,47.43,39.82,57.13,5.00,2.87,8.19,0.28,0.82,292.59,23.34,95.50,135.35,2024-09-12 17:00:00
18,18~19,15.37,124.56,19.10,57.84,0.44,0.10,104.22,12.10,1.69,146.87,12.62,41.29,92.96,1.27,3.60,0.00,56.48,48.02,64.25,4.87,2.75,7.60,4.42,1.09,265.39,9.59,95.83,123.68,2024-09-12 18:00:00
19,19~20,17.50,108.37,17.83,49.88,0.45,0.11,90.47,12.71,1.59,149.93,19.72,38.20,92.01,1.55,2.90,0.00,60.92,50.63,79.32,4.72,2.63,7.00,4.55,1.01,256.48,9.35,89.89,120.96,2024-09-12 19:00:00
20,20~21,17.19,103.95,16.56,47.46,0.44,0.10,78.52,13.92,1.68,130.74,16.28,31.88,82.58,1.29,2.96,0.00,68.98,67.85,105.30,4.56,2.56,7.22,4.52,0.82,240.90,8.44,80.02,117.96,2024-09-12 20:00:00
21,21~22,20.31,95.62,11.80,45.58,0.44,0.11,66.11,15.39,1.63,117.54,13.03,28.90,75.61,1.35,3.11,0.00,82.87,72.74,128.20,4.44,2.62,7.15,4.50,0.87,234.32,9.44,77.82,114.90,2024-09-12 21:00:00
22,22~23,21.88,88.06,12.60,42.58,0.44,0.10,15.17,15.52,1.60,103.52,6.53,22.13,74.86,1.25,2.88,0.00,95.53,78.02,154.46,4.38,2.57,7.37,4.50,1.79,225.09,9.15,75.74,107.92,2024-09-12 22:00:00
23,23~24,18.31,83.25,10.66,39.17,0.43,0.10,13.19,8.62,1.66,99.10,6.00,20.43,72.67,1.19,2.91,0.00,101.74,77.13,112.85,4.18,2.50,6.32,4.48,0.79,217.99,7.75,73.43,104.20,2024-09-12 23:00:00
