,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
0,0~1,8.75,58.45,5.82,28.25,0.39,0.13,9.28,2.51,2.29,---,3.65,---,59.22,1.11,0.05,0.00,36.62,26.97,31.56,1.38,3.37,3.91,---,---,---,5.34,73.06,70.78,2023-01-15 00:00:00
1,1~2,8.32,57.96,6.20,27.94,0.39,0.13,9.01,2.67,2.13,---,3.31,---,58.81,1.22,0.07,0.00,25.73,26.19,33.94,1.34,3.32,3.62,---,---,---,6.15,72.81,69.93,2023-01-15 01:00:00
2,2~3,6.56,55.04,5.80,27.50,0.38,0.12,9.12,2.52,2.25,---,3.29,---,58.09,1.45,0.07,0.00,21.44,21.62,42.30,1.31,3.46,3.28,---,---,---,5.45,72.18,67.76,2023-01-15 02:00:00
3,3~4,5.87,54.28,6.34,27.75,0.39,0.14,10.87,2.56,2.23,---,3.12,---,57.41,1.54,0.07,0.00,17.59,18.53,46.21,1.29,3.33,3.56,---,---,---,5.71,71.80,66.94,2023-01-15 03:00:00
4,4~5,5.32,53.62,6.31,27.18,0.39,0.13,11.17,2.51,2.05,---,3.13,---,57.15,1.42,0.07,0.00,16.25,17.54,21.59,1.25,3.21,3.06,---,---,---,5.50,71.04,65.17,2023-01-15 04:00:00
5,5~6,5.25,52.81,5.85,27.25,0.38,0.12,11.67,2.20,2.10,---,3.13,---,57.75,1.40,0.06,0.00,15.37,16.68,19.27,1.28,3.32,3.04,---,---,---,5.57,69.95,64.69,2023-01-15 05:00:00
6,6~7,4.50,52.66,6.01,27.57,0.36,0.07,9.99,1.74,1.26,---,3.34,---,58.85,1.13,0.06,0.00,14.85,14.41,38.04,1.28,3.66,2.90,---,---,---,5.77,69.74,65.87,2023-01-15 06:00:00
7,7~8,5.25,53.85,5.66,27.81,0.12,0.05,15.43,1.71,0.66,---,3.37,---,59.50,1.39,0.10,0.00,13.94,12.81,34.21,1.28,3.69,2.72,---,---,---,5.72,69.83,65.34,2023-01-15 07:00:00
8,8~9,8.43,54.06,5.90,28.37,0.11,0.07,34.89,1.76,1.90,---,3.94,---,61.72,2.25,0.10,0.00,14.18,12.91,19.65,1.25,3.65,3.78,---,---,---,5.14,69.73,65.71,2023-01-15 08:00:00
9,9~10,5.38,55.34,5.97,27.69,0.12,0.05,39.67,1.70,1.91,---,4.12,---,63.03,1.94,0.05,0.00,14.38,14.66,34.60,1.28,3.60,4.13,---,---,---,5.22,70.02,65.08,2023-01-15 09:00:00
10,10~11,7.31,55.31,5.59,28.06,0.11,0.04,39.66,1.76,1.86,---,4.06,---,63.96,2.19,0.07,0.00,15.53,16.21,48.29,1.34,3.71,4.41,---,---,---,5.47,70.11,64.98,2023-01-15 10:00:00
11,11~12,11.06,56.41,5.77,27.63,0.11,0.03,39.06,1.80,1.92,---,4.04,---,68.38,1.53,0.07,0.00,17.18,15.01,21.48,1.47,3.60,4.47,---,---,---,5.25,69.78,65.91,2023-01-15 11:00:00
