time,batt_num
2024-05-01 10:03:45,21
2024-05-01 10:05:39,21
2024-05-01 10:36:45,21
2024-05-01 10:57:28,19
2024-05-01 11:24:46,19
2024-05-01 11:29:49,19
2024-05-01 12:02:39,15
2024-05-01 12:13:46,15
2024-05-01 12:24:57,17
2024-05-01 12:30:17,17
2024-05-01 12:42:47,15
2024-05-01 13:14:51,17
2024-05-01 13:29:57,21
2024-05-01 13:41:02,23
2024-05-01 13:56:48,23
2024-05-01 14:12:39,23
2024-05-01 14:40:59,21
2024-05-01 15:12:39,19
2024-05-01 15:32:40,21
2024-05-01 15:41:26,19
2024-05-01 16:00:01,23
2024-05-01 17:22:02,27
2024-05-01 17:32:05,29
2024-05-01 17:42:40,29
2024-05-01 18:03:55,29
2024-05-01 18:13:48,27
2024-05-01 19:11:23,27
2024-05-01 19:35:04,25
2024-05-01 19:45:06,25
2024-05-01 19:47:32,25
2024-05-01 19:57:33,25
2024-05-01 20:20:50,25
2024-05-01 21:38:56,25
2024-05-01 22:02:39,25
2024-05-01 22:32:41,25
2024-05-01 22:42:39,25
2024-05-01 23:10:07,25
2024-05-01 23:28:55,25
2024-05-01 23:44:06,25
2024-05-02 00:03:09,27
2024-05-02 00:32:39,27
2024-05-02 00:44:08,27
2024-05-02 01:42:40,27
2024-05-02 01:52:40,27
2024-05-02 02:02:39,27
2024-05-02 02:12:40,27
2024-05-02 02:32:40,27
2024-05-02 03:20:05,27
2024-05-02 03:51:11,29
2024-05-02 04:22:39,29
2024-05-02 04:57:17,27
2024-05-02 05:12:40,27
2024-05-02 05:32:39,27
2024-05-02 05:36:03,27
2024-05-02 06:16:06,27
2024-05-02 06:33:59,25
2024-05-02 06:55:15,23
2024-05-02 07:05:22,23
2024-05-02 07:28:55,23
2024-05-02 07:35:14,23
2024-05-02 07:42:06,21
2024-05-02 08:31:47,25
2024-05-02 08:46:07,25
2024-05-02 09:04:12,25
2024-05-02 09:14:54,23
2024-05-02 09:23:16,23
2024-05-02 09:40:10,23
2024-05-02 09:50:12,23
2024-05-02 10:10:45,19
2024-05-02 10:48:18,19
2024-05-02 10:59:11,17
2024-05-02 11:15:18,17
2024-05-02 11:22:58,17
2024-05-02 11:59:42,17
2024-05-02 12:04:20,19
2024-05-02 12:31:13,19
2024-05-02 13:05:44,17
2024-05-02 13:21:08,17
2024-05-02 13:35:13,17
2024-05-02 13:49:20,19
2024-05-02 14:26:14,21
2024-05-02 15:22:57,29
2024-05-02 15:32:57,29
2024-05-02 16:00:42,27
2024-05-02 16:24:25,27
2024-05-02 16:55:59,23
2024-05-02 17:05:51,19
2024-05-02 17:28:05,19
2024-05-02 17:34:40,19
2024-05-02 18:01:35,19
2024-05-02 18:09:20,19
2024-05-02 18:21:28,17
2024-05-02 18:51:15,17
2024-05-02 18:57:28,17
2024-05-02 19:07:26,15
2024-05-02 19:22:24,17
2024-05-02 20:09:25,19
2024-05-02 20:13:24,19
2024-05-02 20:52:38,15
2024-05-02 21:24:30,19
2024-05-02 21:43:26,17
2024-05-02 22:05:10,15
2024-05-02 22:13:40,15
2024-05-02 22:15:31,17
2024-05-02 22:25:22,17
2024-05-02 22:27:28,19
2024-05-02 23:03:30,23
2024-05-02 23:22:23,19
2024-05-03 00:03:31,19
2024-05-03 00:13:37,21
2024-05-03 00:33:26,21
2024-05-03 00:45:32,25
2024-05-03 01:02:32,25
2024-05-03 01:10:25,25
2024-05-03 01:25:37,27
2024-05-03 01:43:24,27
2024-05-03 01:53:24,27
2024-05-03 02:47:26,27
2024-05-03 02:55:26,27
2024-05-03 03:00:35,29
2024-05-03 03:13:25,29
2024-05-03 04:00:15,27
2024-05-03 04:21:36,25
2024-05-03 04:53:24,25
2024-05-03 05:01:35,23
2024-05-03 05:07:00,23
2024-05-03 05:21:29,23
2024-05-03 05:51:37,25
2024-05-03 06:26:03,23
2024-05-03 06:46:46,23
2024-05-03 06:58:50,23
2024-05-03 07:43:38,21
