time,batt_num
2024-01-28 08:35:24,14
2024-01-28 08:48:13,14
2024-01-28 09:02:56,12
2024-01-28 09:08:38,12
2024-01-28 09:22:56,14
2024-01-28 09:38:38,14
2024-01-28 09:52:16,16
2024-01-28 10:15:16,18
2024-01-28 10:15:16,18
2024-01-28 10:27:35,18
2024-01-28 10:39:49,16
2024-01-28 10:39:49,16
2024-01-28 11:19:41,12
2024-01-28 11:19:41,12
2024-01-28 11:36:21,12
2024-01-28 11:52:56,12
2024-01-28 12:01:17,14
2024-01-28 12:17:13,14
2024-01-28 12:29:18,18
2024-01-28 12:40:46,16
2024-01-28 12:52:56,16
2024-01-28 13:02:17,14
2024-01-28 13:15:37,12
2024-01-28 13:33:23,10
2024-01-28 13:43:23,8
2024-01-28 14:05:09,10
2024-01-28 14:05:09,10
2024-01-28 14:35:31,10
2024-01-28 14:36:20,12
2024-01-28 14:45:26,12
2024-01-28 15:07:20,18
2024-01-28 15:07:20,18
2024-01-28 15:27:20,14
2024-01-28 15:31:26,16
2024-01-28 16:00:13,20
2024-01-28 16:00:13,20
2024-01-28 16:28:38,34
2024-01-28 16:38:02,20
2024-01-28 16:48:38,20
2024-01-28 16:58:38,18
2024-01-28 17:11:36,16
2024-01-28 17:20:34,16
2024-01-28 17:46:23,16
2024-01-28 17:53:42,16
2024-01-28 18:00:40,14
2024-01-28 18:17:04,12
2024-01-28 18:33:42,12
2024-01-28 18:48:26,12
2024-01-28 18:48:26,12
2024-01-28 19:18:38,10
2024-01-28 19:18:38,10
2024-01-28 19:30:32,12
2024-01-28 19:30:32,12
2024-01-28 20:23:42,10
2024-01-28 20:23:42,10
2024-01-28 20:28:38,10
2024-01-28 20:47:29,10
2024-01-28 20:47:29,10
2024-01-28 21:24:56,6
2024-01-28 21:24:56,6
2024-01-28 21:37:00,6
2024-01-28 21:49:30,10
2024-01-28 21:59:31,10
2024-01-28 22:09:33,10
2024-01-28 22:19:37,8
2024-01-28 22:44:28,12
2024-01-28 22:51:34,10
2024-01-28 23:05:29,14
2024-01-28 23:22:34,14
2024-01-28 23:27:28,16
2024-01-28 23:44:28,18
2024-01-29 00:01:31,18
2024-01-29 00:01:31,18
2024-01-29 00:25:27,20
2024-01-29 00:35:34,22
2024-01-29 00:59:31,22
2024-01-29 00:59:31,22
2024-01-29 01:13:42,20
2024-01-29 01:28:39,22
2024-01-29 01:28:39,22
2024-01-29 02:03:42,22
2024-01-29 02:03:42,22
2024-01-29 02:13:43,22
2024-01-29 02:28:39,22
2024-01-29 02:43:43,22
2024-01-29 03:03:43,22
2024-01-29 03:13:43,22
2024-01-29 03:23:43,22
2024-01-29 03:33:43,22
2024-01-29 03:33:43,22
2024-01-29 04:08:39,22
2024-01-29 04:18:39,22
2024-01-29 04:40:35,22
2024-01-29 04:40:35,22
2024-01-29 05:03:45,22
2024-01-29 05:03:45,22
2024-01-29 05:18:39,22
2024-01-29 05:28:39,22
2024-01-29 05:51:39,24
2024-01-29 06:01:25,22
2024-01-29 06:17:50,18
2024-01-29 06:31:22,34
2024-01-29 06:42:33,18
2024-01-29 06:54:40,18
2024-01-29 07:03:43,18
2024-01-29 07:19:27,16
2024-01-29 07:29:15,12
2024-01-29 07:43:33,14
2024-01-29 07:59:18,16
2024-01-29 08:08:39,14
2024-01-29 08:19:34,14
2024-01-29 08:39:18,8
2024-01-29 08:46:05,8
2024-01-29 08:58:41,6
2024-01-29 09:12:45,6
2024-01-29 09:32:43,4
2024-01-29 09:39:57,4
2024-01-29 10:08:36,12
2024-01-29 10:08:36,12
2024-01-29 10:23:43,8
2024-01-29 10:34:43,10
2024-01-29 10:52:37,12
2024-01-29 11:05:58,10
2024-01-29 11:05:58,10
2024-01-29 11:05:58,10
